Место хранения,Наименование,Кол-во
Улица,Насос НЦВП 315/10 новый,1
Фойе,Насос НЦВС 40/20,1
Фойе,Насос НЦВ 40/65,2
Фойе,Насос НЦВ 40/65 б/у ?,1
Фойе,Насос НЦВ 40/20 б/у ?,4
Фойе,Насос НЦВС 40/20 б/у ?,1
Фойе,Сепаратор СЦ-3,1
Фойе,Сепаратор СЦ-3 (не комплект),1
Фойе,"Сепаратор СЦ-1,5",1
Фойе,"Сепаратор СЦ 1,5 (не комплект)",2
Улица,Брашпиль Б3,1
Улица,Брашпиль Б4,1
Улица,Лебедка ЛЭ74,2
Улица,Подруливающее устройство ПУ-130,2
Улица,Кран-балка,1
Улица,Блок цилиндров NVD48A2U,1
Улица,Трал ЛЭТРС-2,1
Улица,Вентилятор,1
Улица,Кранец курский б/у,1
Гараж 1,Коленвал 18/22,1
Гараж 2,Весы для ЛБАШ (похоже на вентиляцию),4
Гараж 2,Насос,2
Гараж 2,"Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м",1
Гараж 2,Компрессор 2ОК1 синий,1
Гараж 2,Электропривод к задвижке,1
Гараж 2,Ротор ?,1
Контейнер 2,Блокформы LBH немец. круглые (отверстие посредине),71
Контейнер 2,Блокформы LBH русск. овальные,45
