Место хранения,Наименование,Кол-во
Гараж 2,Иллюминатор круглый в сборе Ф250мм створчатый б/у,27
Гараж 2,Иллюминатор круглый в сборе Ф300мм створчатый б/у,
Гараж 2,Иллюминатор круглый в сборе Ф300мм глухой б/у,
Фойе,Иллюминатор круглый в сборе Ф300мм створчатый Китай,1
Фойе,Иллюминатор круглый в сборе Ф300мм глухой,3
Контейнер,Иллюминатор глухой 355х500 б/у,3
Контейнер,Иллюминатор глухой 261-03.028 (475*670 просвет),7
Контейнер,Иллюминатор глухой 560х800 261-01.138-17,6
Контейнер,Крышка легкая 450*600 (задрайках) 263-03.389,10
Контейнер,Крышка легкая 800*800,6
Улица,Крышка ВГН б/у,12
Гараж 1,Крышка ВГН 450*600 (задрайка) РОССИЯ б/у,1
Гараж 1,Крышка ВГН 800*800 (Проницаемая),1
Гараж 1,Дверь ВГН 1300*500 правая,1
Гараж 1,Дверь ВГН 1400*600 КИТАЙ левая,1
Гараж 1,Дверь ВГН 1400*600 КИТАЙ правая,2
Гараж 1,Дверь ВГН 1400*600 б/у левая,1
Гараж 1,Двери АМГ 1400*600 с иллюминат. б/у правая,1
Гараж 1,Дверь ВГН 1800х750 правая черт. 262-01-002.26,1
Гараж 1,Дверь ВГН 1600х750 правая,1
Улица,Дверь ВГН 1400*600 б/у,3
Гараж 2,Дверь ВГН 1400*600 КИТАЙ правая,5
Гараж 2,Дверь ВГН 1400*600 КИТАЙ левая,4
Гараж 2,Дверь легкая 1750*650 левая без иллюминатора,27
Гараж 2,Дверь легкая 1750*650 левая с иллюминатором,13
Фойе,Дверь легкая правая с иллюминатором 1600*600,10
