Место хранения,Группа,Наименование,Кол-во
Гараж 1,,Пульт 1-маленький 1-большой,2
Гараж 1,,"Трансформатор ОСЗ-10/0,5 10кВт 50Hz",2
Гараж 1,,"Трансформатор ОСВ-0,5 50Hz",1
Гараж 1,,"Трансформатор ОСВМ-2,5-74 50Hz",1
Гараж 1,,"Трансформатор ОСВМ-0,63-74",1
Гараж 1,,РНП-1А 230 Ампер,2
Гараж 1,,Ящик с ЗИП,1
Менеджерская,Контакторы,КМ 2311-9,20
Менеджерская,Контакторы,КМ 2351-9,17
Менеджерская,Контакторы,КМ 2351-8Д,39
Менеджерская,Контакторы,КМ2312-18,6
Менеджерская,Контакторы,КМ 2244-9,2
Менеджерская,Контакторы,КМ 2211-9,4
Менеджерская,Контакторы,КМ 2521-7,1
Менеджерская,Контакторы,КПМ-121 ОМ,4
Фойе,,Плита ПКЭ-50 (в разборе),2
Фойе,,"Плита ПКЭ-300, 127В",1
Фойе,,Светильник СС328 без амортизаторов,2622
