Наименование,Кол-во
6 NVD26 А3,
Крышка 6 NVD26 А3,3
"Мотылевый болт ,572-08006",12
"Кольцо к/с ,**511-26702",54
"Насосы, сепаратор",
Насос НЦВП 315/10 новый,1
"Насос НЦВС 40/20, кап. ремонт",1
"Насос НЦВ40/65, кап ремонт",2
Насос  НЦВ 40/65 б/у,1
Насос НЦВ 40/20 б/у,4
Насос НЦВС 40/20 б/у,1
Насос ЭВН 5/5,2
Сепаратор СЦ-3,1
Сепаратор  СЦ-3 ( не комплект),1
"Сепаратор СЦ -1,5",1
"Сепаратор СЦ 1,5 (не комплект)",2
Брашпиль Б3,1
Брашпиль Б4,1
Лебедка ЛЭ74,2
Подруливающее устройство ПУ-130,2
Кран-балка,1
Блок цилиндров NVD48A2U,1
Трал ЛЭТРС -2,1
Вентилятор,1
Кранец курский б/у,1
Коленвал 18/22,1
Весы для ЛБАШ,4
Насос,2
"Насос ЭСН-11А   пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м",1
Компрессор 2ОК1 синий,1
Электропривод к задвижке,1
Ротор,1
Блокформы LBH немец.круглые (отверстие посредине),71
Блокформы LBH русск.овальные,45
