;;;;;https://www.wildberries.ru/seller/32220?sort=popular&page=1&fbrand=19794;;;;;;;;;;;;;
;;;;;https://www.wildberries.ru/seller/koreanbutik;;;;;;;;;;;;;
"Product List
MYUNGIN COSMETICS CO., LTD.";;;;;;;;;;;;;;;;;;
NO.;Image;SKU No.;"SKU No.
(NEW)";Product Name (KOR);Product Name (ENG);TYPE;Volume;"MOQ QTY
(PCS/CT)";CT WEIGHT(kg);CT SIZE(cm); MSRP ;"SUPPLY PRICE
(-VAT)";UPDATED BARCODES;HS코드;REMARKS;;;
1;;SST001;5C0637;팜스테이 그레이프 스템 셀 3종 세트;FARMSTAY GRAPE STEM CELL SKIN CARE 3SET;SET;-;16;21,8;60*52*28; ₩50 000 ; ₩14 240 ;8809317284859 ;3304.99.1000;;;;
2;;SST005;5C0638;팜스테이 스네일 뮤커스 모이스쳐 4종 세트;FARMSTAY SNAIL MUCUS MOISTURE SKIN CARE 4 SET;SET;-;16;22;60*49*27.5; ₩60 000 ; ₩11 970 ;8809317117836 ;3304.99.1000;;;;
3;;SST006;5C0639;팜스테이 허니＆골드 3종 세트;FARMSTAY HONEY & GOLD ESSENTIAL SKIN CARE 3SET;SET;-;16;21,5;59*51.5*27; ₩70 000 ; ₩15 030 ;8809237820892 ;3304.99.1000;;;;
4;;SST007;5C0640;팜스테이 에스까르고 노블레스 인텐시브 3종 세트;FARMSTAY ESCARGOT NOBLESSE INTENSIVE SKIN CARE 3 SET;SET;-;16;22,3;52*45*34; ₩60 000 ; ₩15 300 ;8809317289304 ;3304.99.1000;;;;
5;;SES001;5C0412;팜스테이 그레이프 스템 셀 링클 리프팅 에센스;FARMSTAY GRAPE STEM CELL WHITENING LIFTING ESSENCE;ESSENCE;50ml;100;19,3;46*25.5*32; ₩20 000 ; ₩3 940 ;8809317284873 ;3304.99.1000;47 шт ;;;
6;;SAM001;5C0229;팜스테이 그레이프 스템 셀 브라이트닝 앰플;FARMSTAY GRAPE STEM CELL BRIGHETNING AMPOULE;AMPOULE;30ml;100;16,5;57*32.5*22; ₩20 000 ; ₩3 860 ;8809317284897 ;3304.99.1000;;;;
7;;SEC001;5C0347;팜스테이 그레이프 스템 셀 링클 리페어 아이크림;FARMSTAY GRAPE STEM CELL WRINKLE REPAIR EYE CREAM;EYE CREAM;50ml;100;23,5;35*35*31; ₩20 000 ; ₩3 810 ;8809317284880 ;3304.99.1000;;;;
8;;SCR001;5C0271;팜스테이 그레이프 스템 셀 링클 리프팅 크림;FARMSTAY GRAPE STEM CELL WRINKLE LIFTING CREAM;CREAM;50ml;100;23,4;34.5*33.5*33.5; ₩20 000 ; ₩3 940 ;8809317284934 ;3304.99.1000;;;;
9;;STO001;5C0684;팜스테이 그레이프 스템 셀 토너;FARMSTAY GRAPE STEM CELL TONER; TONER;130ml;60;24;54*36.5*21; ₩20 000 ; ₩4 060 ;8809317284910 ;3304.99.1000;68 шт ;;;
10;;SEM001;5C0382;팜스테이 그레이프 스템 셀 에멀젼;FARMSTAY GRAPE STEM CELL EMULSION;EMULSION;130ml;60;24;54*36.5*21; ₩20 000 ; ₩4 060 ;8809317284927 ;3304.99.1000;;;;
11;;SCR002;5C0272;팜스테이 스네일 리페어 크림;FARMSTAY SNAIL REPAIR CREAM;CREAM;100g;100;17;41.5*41.5*32.5; ₩30 000 ; ₩3 890 ;8809317284613 ;3304.99.1000;;;;
12;;EYE001;5C0119;팜스테이 비저블 디퍼런스 볼륨 업 마스카라;FARMSTAY VISIBLE DIFFERENCE VOLUME UP MASCARA;EYE MAKEUP;12g;300;12,8;36.5*26*34; ₩12 000 ; ₩1 890 ;8809324208589 ;3304.99.1000;;;;
13;;SSC001-R;5C0589;팜스테이 오일프리 UV 디펜스 썬크림;FARMSTAY OIL-FREE UV DEFENCE SUN CREAM;SUN CREAM;70ml;100;10,5;66*35.5*18; ₩9 000 ; ₩2 640 ;8809809804732 ;3304.99.1000;;;;
14;;MUP006;5C0189;팜스테이 그린티 씨드 퓨어 안티 링클 비비크림;FARMSTAY GREEN TEA SEED PURE ANTI-WRINKLE BB CREAM;MAKEUP;40 g;100;6,5;58*28.5*16; ₩10 000 ; ₩1 790 ;8809317286365 ;3304.99.2000;;;;
15;;MUP007;5C0190;팜스테이 포뮬라 올인원 갈락토미세스 씨씨크림;FARMSTAY FORMULA ALL-IN_ONE GALACTOMYCES C.C CREAM;MAKEUP;50g;100;8;59*29*16; ₩20 000 ; ₩3 890 ;8809317285665 ;3304.99.2000;;;;
16;;SSG001;5C0624;팜스테이 모이스쳐 수딩젤 스네일;FARMSTAY MOISTURE SOOTHING GEL SNAIL;SOOTHING GEL;300ml;30;12;54*33*13; ₩5 900 ; ₩1 570 ;8809809800253 ;3304.99.1000;33 ;;;
17;;SSG002;5C0626;팜스테이 모이스쳐 수딩젤 알로에베라;FARMSTAY MOISTURE SOOTHING GEL ALOEVERA;SOOTHING GEL;300ml;30;12;54*33*13; ₩5 900 ; ₩1 570 ;8809809800260 ;3304.99.1000;117 ;;;
18;;SCR003;5C0273;팜스테이 그린티 씨드 브라이트닝 워터 크림;FARMSTAY GREEN TEA SEED BRIGHTENING WATER CREAM;CREAM;100g;100;18;41.5*41.5*30.5; ₩20 000 ; ₩3 490 ;8809317287065 ;3304.99.1000;49 ;;;
