;ARENCIA;;;;;;;;;;
;NO;IMAGE;BARCODE;NAME (KOR);NAME (ENG); RETAIL PRICE ; SUPPLY PRICE ; 1 BOX ;ORDER BOX;ORDER QTY; TOTAL 
;1;;8809562190738 ;아렌시아 프레시 그린 라이스 모찌 클렌저 120g;Arencia Fresh Green Rice Mochi Cleanser 120g; ₩23 000 ; ₩8 855 ;54;;0; ₩- 
;2;;8809562190745 ;아렌시아 프레시 로즈힙 라이스 모찌 클렌저 120g;Arencia Fresh Rosehip Rice Mochi Cleanser 120g; ₩23 000 ; ₩8 855 ;54;;0; ₩- 
;3;;8809562192909 ;아렌시아 프레시 블루 히솝 라이스 모찌 클렌저 120g;Arencia Blue Hyssop+ Rice Mochi Cleanser 120g; ₩23 000 ; ₩8 855 ;54;;0; ₩- 
;4;;8809562191438 ;아렌시아 카렌듈라 라이스 모찌 클렌저 120g;Arencia Calendula Rice Mochi Cleanser 120g; ₩23 000 ; ₩8 855 ;54;;0; ₩- 
;5;;8809562191179 ;아렌시아 블랙 티 라이스 모찌 클렌저 120g;"Arencia Black Tea Rice Mochi Cleanser 120g
"; ₩23 000 ; ₩8 855 ;54;;0; ₩- 
;6;;8809562191629 ;아렌시아 홀리 히솝 세럼 12 30ml;Arencia Holy Hyssop Serum 12 30ml; ₩29 000 ; ₩10 439 ;56;;0; ₩- 
;7;;8809562190820 ;아렌시아 홀리 히솝 세럼 30 50g;Arencia Holy Hyssop Serum 30 50g; ₩42 000 ; ₩11 814 ;84;;0; ₩- 
;8;;8809562 191612;아렌시아 홀리 히솝 마스크 (5매입);Arencia Holy Hyssop Sheet Mask (5ea); ₩20 000 ; ₩6 611 ;40;;0; ₩- 
;9;;8809562191735 ;아렌시아 프레시 레드 스무디 세럼 8 30ml;Arencia Fresh Red Smoothie Serum 8 30ml; ₩29 000 ; ₩10 439 ;56;;0; ₩- 
;10;;8809562191889 ;아렌시아 프레시 레드 스무디 세럼 30 50g;Arencia Fresh Red Smoothie Serum 30 50g; ₩42 000 ; ₩11 814 ;84;;0; ₩- 
;11;;8809562192251 ;아렌시아 레드 콜라겐 젤로 마스크 (4매입);Arencia Red Collagen Jello Mask (4ea); ₩20 000 ; ₩8 305 ;27;;0; ₩- 
;12;;8809562191971 ;아렌시아 그린 티+ LHA 딥 포어 떡솝 150g;Arencia Green Tea + LHA Deep Pore Rice Cake Cleanser 150g; ₩28 000 ; ₩10 780 ;36;;0; ₩- 
;13;;8809562192176 ;로즈힙 마일드 PH 밸런싱 떡솝 150ml;Arencia Rosehip Mild PH Balancing Rice Cake Cleanser 150ml; ₩28 000 ; ₩10 780 ;88;;0; ₩- 
;14;;8809562192169 ;아렌시아 라이스 + LHA 포어 컨트롤 떡솝 150ml;Arencia Rice + LHA Pore Control Rice Cake Cleanser 150ml; ₩28 000 ; ₩10 780 ;36;;0; ₩- 
;15;;8809562192145 ;아렌시아 딥 워터 써지 세럼 30ml;Arencia Deep Water Surge Serum 30ml; ₩21 000 ; ₩7 843 ;56;;0; ₩- 
;16;;8809562192138 ;아렌시아 딥 워터 써지 세럼 30 50g;Arencia Deep Water Surge Serum 30 50g; ₩29 000 ; ₩10 318 ;108;;0; ₩- 
;17;;8809562192220 ;아렌시아 딥 워터 써지 수딩 크림 110ml;Arencia Deep Water Surge Soothing Cream 110ml; ₩25 000 ; ₩9 625 ;54;;0; ₩- 
;18;;8809562192121 ;아렌시아 딥 워터 썬 세럼 30 50g;Arencia Deep Water Surge Sun Serum 50ml; ₩25 000 ; ₩8 899 ;180;;0; ₩- 
;19;;8809562192268 ;아렌시아 클라우드 썬 스틱 18g; Arencia Cloud Sun Stick 18g; ₩23 000 ; ₩8 855 ;380;;0; ₩- 
;20;;8809562192565 ;아렌시아 레드 스무디 로션 5 200ml;Red Smoothie Lotion 5 200ml; ₩26 000 ; ₩10 010 ;70;;0; ₩- 
;21;;8809562192572 ;아렌시아 포어 멜트 모찌 클렌징 오일 200ml;Arencia Pore Melt Mochi Cleansing Oil 200ml; ₩20 000 ; ₩7 700 ;50;;0; ₩- 
;22;;8809562192640 ;허니 글레이즈드 콜라겐 립 마스크 15g;Honey Glazed Collagen Lip Mask 15g; ₩18 000 ; ₩7 777 ;100;;0; ₩- 
;23;;8809562192763 ;아렌시아 레틴알 부스터 샷 30ml;Arencia Retinal Booster Shot 30ml; ₩25 000 ; ₩9 020 ;90;;0; ₩- 
;24;;8809562192770 ;아렌시아 비타민 부스터 샷 30ml;Arencia Vitamin C Booster Shot 30ml; ₩25 000 ; ₩9 020 ;90;;0; ₩- 
;25;;8809562193173 ;아렌시아 PDRN 부스터샷 30ml;Arencia PDRN Booster Shot 30ml; ₩25 000 ; ₩9 020 ;90;;0; ₩- 
;26;;8809562192725 ;레틴알 부스팅 아이 마스크;Arencia Retinal Boosting Eye Mask 60ea 84g; ₩23 000 ; ₩8 371 ;60;;0; ₩- 
;27;;8809562192664 ;PDRN+히알루로닉 딥 하이드레이션 패드_90매;Arencia PDRN + Hyaluronic Deep Hydration Pads 90ea 200ml; ₩26 000 ; ₩9 284 ;50;;0; ₩- 
;28;;8809562192701 ;포어 멜트 클렌징 오일 패드;Pore Melt Cleansing Oil Pad; ₩26 000 ; ₩10 252 ;72 ;;0; ₩- 
;29;;8809562192800 ;블루 콜라겐 크라이오 젤로 마스크 1매입;Blue Collagen Cryo Jello Mask 35gx 1EA; ₩5 000 ; ₩2 409 ;200 ;;0; ₩- 
;30;;8809562192817 ;블루 콜라겐 크라이오 젤로 마스크 4매입;Blue Collagen Cryo Jello Mask 35gx 4EA; ₩20 000 ; ₩8 305 ;54 ;;0; ₩- 
;31;;8809562193326 ;아렌시아 TXA 부스터샷 30ml;Arencia TXA Booster Shot 30ml; ₩25 000 ; ₩9 020 ;90 ;;0; ₩- 
;32;;8809562193487 ;아렌시아 NAD+ 부스터샷 30ml;Arencia NAD+ Booster Shot 30ml; ₩25 000 ; ₩9 020 ;90 ;;0; ₩- 
;33;;8809562193302 ;아렌시아 이레이져샷 30ml;Arencia Eraser Shot Glycolic Acid Booster 30ml; ₩25 000 ; ₩9 020 ;90 ;;0; ₩- 
;34;;8809562193531 ;아렌시아 비타민 C 부스터 샷 마스크 27ml (5ea);Arencia Vitamin C Booster Shot Mask (5ea); ₩20 000 ; ₩6 611 ;40 ;;0; ₩- 
;35;;8809562193562 ;아렌시아 비타 콜라겐 래디언스 젤로 마스크 30g (4ea);Arencia Vita Collagen Radiance Jello Mask (4ea); ₩20 000 ; ₩8 305 ;24 ;;0; ₩- 
;36;;8809562193500 ;아렌시아 이레이저샷 글리콜릭애시드 엑스폴리에이터;Arencia Eraser Shot Glycolic Acid Exfoliator; ₩24 000 ; ₩9 240 ;45 ;;0; ₩- 
;37;;8809562193036 ;아렌시아 비타민C 글루타치온 스킨 부스터 미스트;Arencia Vitamin C Glutathione Skin Booster Mist; ₩28 000 ; ₩10 780 ;72 ;;0; ₩- 
;38;;8809562193265 ;아렌시아 비타민C 글루타치온 부스터샷 에센스;Arencia Vitamin C Glutathione Booster Shot Essence; ₩36 000 ; ₩13 860 ;55 ;;0; ₩- 
;39;;8809562193319 ;아렌시아 이레이저 수딩크림;Arencia Eraser Soothing Cream; ₩25 000 ; ₩9 625 ;108 ;;0; ₩- 
;40;;8809562193197 ;아렌시아 비타민C 글로우 부스터 젤크림;Arencia Vitamin C Glow Booster Gel Cream; ₩23 000 ; ₩8 855 ;108 ;;0; ₩- 
;41;;8809562193227 ;아렌시아 비타민 부스터 샷 10ml;Arencia Vitamin C Booster Shot 10ml; ₩12 000 ; ₩4 620 ;198 ;;0; ₩- 
;42;;8809562193449 ;아렌시아 PDRN 부스터샷 10ml;Arencia PDRN Booster Shot 10ml; ₩12 000 ; ₩4 620 ;198 ;;0; ₩- 
;43;;8809562193463 ;아렌시아 NAD+ 부스터샷 10ml;Arencia NAD+ Booster Shot 10ml; ₩12 000 ; ₩4 620 ;198 ;;0; ₩- 
;44;;8809562193456 ;아렌시아 이레이져샷 10ml;Arencia Eraser Shot Glycolic Acid Booster 10ml; ₩12 000 ; ₩4 620 ;198 ;;0; ₩- 
;45;;8809562193432 ;아렌시아 레틴알 부스터 샷 10ml;Arencia Retinal Booster Shot 10ml; ₩12 000 ; ₩4 620 ;198 ;;0; ₩- 
;46;;8809562191209 ;아렌시아 프레시 그린 라이스 모찌 클렌저 15g;Arencia Fresh Green Cleanser 15g; - ; ₩1 636 ;256 ;;0; ₩- 
;47;;8809562191254 ;아렌시아 프레시 로즈힙 라이스 모찌 클렌저 15g;Arencia Fresh Royal Rosehip Cleanser 15g; - ; ₩1 636 ;696 ;;0; ₩- 
;47;;8809562191216 ;아렌시아 프레시 블루 히솝 라이스 모찌 클렌저 15g;Arencia Fresh Royal Blue Hyssop Cleanser 15g; - ; ₩1 636 ;696 ;;0; ₩- 
;47;;8809562191223 ;아렌시아 카렌듈라 라이스 모찌 클렌저 15g;Arencia L' Aromatique Calendula Cleanser 15g; - ; ₩1 636 ;696 ;;0; ₩- 
;47;;8809562191230 ;프레시 화이트 캐모마일 티 클렌저 15g;Arencia White Chamomile Tea Cleanser 15g; - ; ₩1 636 ;696 ;;0; ₩- 
;47;;8809562191247 ;프레시 라임 히비스커스 클렌저 15g;Arencia Fresh Lime Hibiscus Cleanser 15g; - ; ₩1 636 ;696 ;;0; ₩- 
;47;;8809562191667 ;홀리히솝세럼30_2g;Arencia Holy Hyssop Serum 30 2g; - ; ₩378 ;2800 ;;0; ₩- 
;47;;8809562191773 ;아렌시아 프레시 레드 스무디 세럼 30 2g;Arencia Red Smoothie Serum 30 2g; - ; ₩378 ;2800 ;;0; ₩- 
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
