FARMSTAY;;;;;;;;
NO;IMAGE;BARCODE;NAME (KOR);NAME (ENG);VOL;1 BOX; RETAIL PRICE ;SUPPLY PRICE
1;;8809317284859 ;팜스테이 그레이프 스템 셀 3종 세트;FARMSTAY GRAPE STEM CELL SKIN CARE 3SET;-;16; ₩50 000 ; ₩15 301 
2;;8809317117836 ;팜스테이 스네일 뮤커스 모이스쳐 4종 세트;FARMSTAY SNAIL MUCUS MOISTURE SKIN CARE 4 SET;-;16; ₩60 000 ; ₩12 870 
3;;8809237820892 ;팜스테이 허니＆골드 3종 세트;FARMSTAY HONEY & GOLD ESSENTIAL SKIN CARE 3SET;-;16; ₩70 000 ; ₩16 159 
4;;8809317289304 ;팜스테이 에스까르고 노블레스 인텐시브 3종 세트;FARMSTAY ESCARGOT NOBLESSE INTENSIVE SKIN CARE 3 SET;-;16; ₩60 000 ; ₩16 445 
5;;8809317284873 ;팜스테이 그레이프 스템 셀 링클 리프팅 에센스;FARMSTAY GRAPE STEM CELL WHITENING LIFTING ESSENCE;50ml;100; ₩20 000 ; ₩4 235 
6;;8809317284897 ;팜스테이 그레이프 스템 셀 브라이트닝 앰플;FARMSTAY GRAPE STEM CELL BRIGHETNING AMPOULE;30ml;100; ₩20 000 ; ₩4 147 
7;;8809317284880 ;팜스테이 그레이프 스템 셀 링클 리페어 아이크림;FARMSTAY GRAPE STEM CELL WRINKLE REPAIR EYE CREAM;50ml;100; ₩20 000 ; ₩4 092 
8;;8809317284934 ;팜스테이 그레이프 스템 셀 링클 리프팅 크림;FARMSTAY GRAPE STEM CELL WRINKLE LIFTING CREAM;50ml;100; ₩20 000 ; ₩4 235 
9;;8809317284910 ;팜스테이 그레이프 스템 셀 토너;FARMSTAY GRAPE STEM CELL TONER;130ml;60; ₩20 000 ; ₩4 367 
10;;8809317284927 ;팜스테이 그레이프 스템 셀 에멀젼;FARMSTAY GRAPE STEM CELL EMULSION;130ml;60; ₩20 000 ; ₩4 367 
11;;8809317284613 ;팜스테이 스네일 리페어 크림;FARMSTAY SNAIL REPAIR CREAM;100g;100; ₩30 000 ; ₩4 807 
12;;8809324208589 ;팜스테이 비저블 디퍼런스 볼륨 업 마스카라;FARMSTAY VISIBLE DIFFERENCE VOLUME UP MASCARA;12g;300; ₩12 000 ; ₩2 035 
13;;;팜스테이 오일프리 UV 쉴드 썬크림;FARMSTAY OIL-FREE UV SHIELD SUN CREAM;70g;100; ₩9 000 ;#Н/Д
14;;8800260032160 ;팜스테이 오일프리 UV 디펜스 썬크림;FARMSTAY OIL-FREE UV DEFENCE SUN CREAM;50g;60; ₩9 000 ; ₩3 718 
15;;8809317286365 ;팜스테이 그린티 씨드 퓨어 안티 링클 비비크림;FARMSTAY GREEN TEA SEED PURE ANTI-WRINKLE BB CREAM;40 g;100; ₩10 000 ; ₩2 222 
16;;8809317285665 ;팜스테이 포뮬라 올인원 갈락토미세스 씨씨크림;FARMSTAY FORMULA ALL-IN_ONE GALACTOMYCES C.C CREAM;50g;100; ₩20 000 ; ₩4 180 
17;;8809809800253 ;팜스테이 모이스쳐 수딩젤 스네일;FARMSTAY MOISTURE SOOTHING GEL SNAIL;300ml;30; ₩5 900 ; ₩1 694 
18;;8809809800260 ;팜스테이 모이스쳐 수딩젤 알로에베라;FARMSTAY MOISTURE SOOTHING GEL ALOEVERA;300ml;30; ₩5 900 ; ₩1 694 
19;;8809317287065 ;팜스테이 그린티 씨드 브라이트닝 워터 크림;FARMSTAY GREEN TEA SEED BRIGHTENING WATER CREAM;100g;100; ₩20 000 ; ₩4 323 
20;;8800260032030 ;팜스테이 비저블 디퍼런스 마스크 시트 그린티씨드;FARMSTAY VISIBLE DIFFERENCE MASK SHEET GREENTEA SEED;1sheet;600; ₩1 000 ; ₩201 
21;;8800260032047 ;팜스테이 비저블 디퍼런스 마스크 시트 스네일;FARMSTAY VISIBLE DIFFERENCE MASK SHEET SNAIL;1sheet;600; ₩1 000 ; ₩201 
22;;8800260032054 ;팜스테이 비저블 디퍼런스 마스크 시트 아세로라;FARMSTAY VISIBLE DIFFERENCE MASK SHEET ACEROLA;1sheet;600; ₩1 000 ; ₩201 
23;;8800260032061 ;팜스테이 비저블 디퍼런스 마스크 시트 알로에;FARMSTAY VISIBLE DIFFERENCE MASK SHEET ALOE;1sheet;600; ₩1 000 ; ₩201 
24;;8800260032078 ;팜스테이 비저블 디퍼런스 마스크 시트 진주;FARMSTAY VISIBLE DIFFERENCE MASK SHEET PEARL;1sheet;600; ₩1 000 ; ₩201 
25;;8800260032085 ;팜스테이 비저블 디퍼런스 마스크 시트 콜라겐;FARMSTAY VISIBLE DIFFERENCE MASK SHEET COLLAGEN;1sheet;600; ₩1 000 ; ₩201 
26;;8800260032092 ;팜스테이 비저블 디퍼런스 마스크 시트 홍삼;FARMSTAY VISIBLE DIFFERENCE MASK SHEET RED GINSENG;1sheet;600; ₩1 000 ; ₩201 
27;;8800260032108 ;팜스테이 비저블 디퍼런스 마스크 시트 오이;FARMSTAY VISIBLE DIFFERENCE MASK SHEET CUCUMBER;1sheet;600; ₩1 000 ; ₩201 
