JMSOLUTION;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
1;;제이엠솔루션 꿀광 로얄 프로폴리스 모델링 팩 블랙_22g;JMSOLUTION HONEY LUMINOUS ROYAL PROPOLIS MODELING PACK BLACK;8809696354761 ; 22g ;150; ₩7 000 ; ₩1 320 
2;;제이엠솔루션 청광 마린 진주 모델링 팩 펄_22g;JMSOLUTION MARINE LUMINOUS PEARL MODELING PACK PEARL;8809696354785 ; 22g ;150; ₩7 000 ; ₩1 320 
3;;제이엠솔루션 물광 에스오에스 링거 모델링 팩 블랙_22g;JMSOLUTION WATER LUMINOUS S.O.S RINGER MODELING PACK BLACK;8809696354778 ; 22g ;150; ₩7 000 ; ₩1 320 
4;;제이엠솔루션 콜라겐 PDRN 퍼밍 클렌징 폼_120ml;JMSOLUTION COLLAGEN PDRN FIRMING CLEANSING FOAM;8809696354822 ; 120ml ;80; ₩9 800 ; ₩2 530 
5;;제이엠솔루션 멀티 히아 워터풀 클렌징 폼_120ml;JMSOLUTION MULTI HYA WATERFULL CLEANSING FOAM;8809696354792 ; 120ml ;80; ₩9 800 ; ₩2 530 
6;;제이엠솔루션 비타 듀오 브라이트닝 클렌징 폼_120ml;JMSOLUTION VITA DUO BRIGHTENING CLEANSING FOAM;8809696354808 ; 120ml ;80; ₩9 800 ; ₩2 530 
7;;제이엠솔루션 시카 마데 카밍 클렌징 폼_120 ML;JMSOLUTION CICA MADE CALMING CLEANSING FOAM;8809696354815 ; 120ml ;80; ₩9 800 ; ₩2 530 
8;;제이엠솔루션 데일리 퀵 콜라겐 PDRN 퍼밍 마스크_350ML;JMSOLUTION DAILY QUICK COLLAGEN PDRN FIRMING MASK;8809696356215 ; 350ml / 30ea ;16; ₩29 000 ; ₩8 010 
9;;제이엠솔루션 데일리 퀵 멀티 히아 워터풀 마스크_350ML;JMSOLUTION DAILY QUICK MULTI HYA WATERFULL MASK;8809696356222 ; 350ml / 30ea ;16; ₩29 000 ; ₩8 010 
10;;제이엠솔루션 데일리 퀵 비타 듀오 브라이트닝 마스크_350ML;JMSOLUTION DAILY QUICK VITA DUO BRIGHTENING MASK;8809696356246 ; 350ml / 30ea ;16; ₩29 000 ; ₩8 010 
11;;제이엠솔루션 데일리 퀵 시카 마데 카밍 마스크_350ML;JMSOLUTION DAILY QUICK CICA MADE CALMING MASK;8809696356239 ; 350ml / 30ea ;16; ₩29 000 ; ₩8 010 
12;;제이엠솔루션 콜라겐 피디알엔 퍼밍 세럼 미스트_100ML;JMSOLUTION COLLAGEN PDRN FIRMING SERUM MIST;8809696355416 ; 100ml ;80; ₩29 000 ; ₩5 060 
13;;제이엠솔루션 멀티 히아 워터풀 세럼 미스트_100ML;JMSOLUTION MULTI HYA WATERFULL SERUM MIST;8809696355423 ; 100ml ;80; ₩29 000 ; ₩5 060 
14;;제이엠솔루션 비타 듀오 화이트닝 세럼 미스트_100ML;JMSOLUTION VITA DUO WHITENING SERUM MIST;8809696355447 ; 100ml ;80; ₩29 000 ; ₩5 060 
15;;제이엠솔루션 시카 마데 카밍 세럼 미스트_100ML;JMSOLUTION CICA MADE CALMING SERUM MIST;8809696355430 ; 100ml ;80; ₩29 000 ; ₩5 060 
16;;제이엠솔루션 바이오 콜라겐 PDRN 퍼밍 마스크_4매입;JMSOLUTION BIO-COLLAGEN PDRN FIRMING MASK_34 g*4 EA;8809696354693 ; 34g*4ea ;90; ₩22 000 ; ₩6 710 
17;;제이엠솔루션 바이오 멀티 히아 워터풀 마스크_4매입;JMSOLUTION BIO-MULTI HYA WATERFULL MASK_34 g*4 EA;8809696354716 ; 34g*4ea ;90; ₩22 000 ; ₩6 710 
18;;제이엠솔루션 바이오 비타 듀오 브라이트닝 마스크_4매입;JMSOLUTION BIO-VITA DUO BRIGHTENING MASK_34 g*4 EA;8809696354754 ; 34g*4ea ;90; ₩22 000 ; ₩6 710 
19;;제이엠솔루션 바이오 시카 마데 카밍 마스크_4매입;JMSOLUTION BIO-CICA MADE CALMING MASK_34 g*4 EA;8809696354730 ; 34g*4ea ;90; ₩22 000 ; ₩6 710 
20;;제이엠솔루션 콜라겐 PDRN 퍼밍 선크림_30ML;JMSOLUTION COLLAGEN PDRN FIRMING SUN CREAM;8809562562566 ; 30ml ;80; ₩20 000 ; ₩3 410 
21;;제이엠솔루션 멀티 히아 워터풀 선크림_30ML;JMSOLUTION MULTI HYA WATERFULL SUN CREAM;8809562562573 ; 30ml ;80; ₩20 000 ; ₩3 410 
22;;제이엠솔루션 시카 마데 카밍 선크림_30ML;JMSOLUTION CICA MADE CALMING SUN CREAM;8809562562580 ; 30ml ;80; ₩20 000 ; ₩3 410 
23;;제이엠솔루션 콜라겐 피디알엔 퍼밍 선 스틱_20 G;JMSOLUTION COLLAGEN PDRN FIRMING SUN STICK_20 G;8809562563136 ; 20g ;180; ₩22 000 ; ₩6 160 
24;;제이엠솔루션 비타 듀오 화이트닝 선 스틱_20 G;JMSOLUTION VITA DUO WHITENING SUN STICK_20 G;8809562563129 ; 20g ;180; ₩22 000 ; ₩6 160 
25;;제이엠솔루션 콜라겐 PDRN 퍼밍 선크림_50ML;JMSOLUTION COLLAGEN PDRN FIRMING SUN CREAM;8809562562511 ; 50ml ;80; ₩20 000 ; ₩4 510 
26;;제이엠솔루션 멀티 히아 워터풀 선크림_50ML;JMSOLUTION MULTI HYA WATERFULL SUN CREAM;8809562562535 ; 50ml ;80; ₩20 000 ; ₩4 510 
27;;제이엠솔루션 시카 마데 카밍 선크림_50ML;JMSOLUTION CICA MADE CALMING SUN CREAM;8809562562528 ; 50ml ;80; ₩20 000 ; ₩4 510 
28;★;제이엠솔루션 H9 히아루로닉 앰플 골드 호일 마스크;JMSOLUTION H9 HYARURONIC AMPOULE GOLD FOIL MASK;8809696354150 ; 35ml*10ea ;40; ₩20 000 ; ₩5 511 
29;;제이엠솔루션 V9 비타민 앰플 골드 호일 마스크;JMSOLUTION V9 VITAMIN AMPOULE GOLD FOIL MASK;8809696354174 ; 35ml*10ea ;40; ₩20 000 ; ₩5 511 
