JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
2;;제이멜라 인 프랑스 블루밍 피오니 헤어 샴푸 500ml;JMELLA IN FRANCE BLOOMING PEONY HAIR SHAMPOO;8809711716482 ;500ml;20; ₩7 900 ; ₩2 750 
3;;제이멜라 인 프랑스 블루밍 피오니 헤어 트리트먼트 500ml;JMELLA IN FRANCE BLOOMING PEONY HAIR TREATMENT;8809711716499 ;500ml;20; ₩8 900 ; ₩2 970 
4;;제이멜라 인 프랑스 블루밍 피오니 바디 워시 500ml;JMELLA IN FRANCE BLOOMING PEONY BODY WASH;8809711716833 ;500ml;20; ₩7 900 ; ₩2 750 
5;;제이멜라 인 프랑스 블루밍 피오니 바디 로션 500ml;JMELLA IN FRANCE BLOOMING PEONY BODY LOTION;8809711716840 ;500ml;20; ₩8 900 ; ₩2 970 
6;;제이멜라 인 프랑스 블루밍 피오니 헤어 샴푸 1000ml;JMELLA IN FRANCE BLOOMING PEONY HAIR SHAMPOO;8809711716475 ;1000ml;12; ₩11 800 ; ₩4 510 
7;;제이멜라 인 프랑스 블루밍 피오니 바디 워시 1000ml;JMELLA IN FRANCE BLOOMING PEONY BODY WASH;8809711716901 ;1000ml;12; ₩11 800 ; ₩4 510 
8;;제이멜라 인 프랑스 팜므파탈 헤어 샴푸 500ml;JMELLA IN FRANCE FEMME FATALE HAIR SHAMPOO;8809711716505 ;500ml;20; ₩7 900 ; ₩2 750 
9;;제이멜라 인 프랑스 팜므파탈 헤어 트리트먼트 500ml;JMELLA IN FRANCE FEMME FATALE HAIR TREATMENT;8809711716529 ;500ml;20; ₩8 900 ; ₩2 970 
10;;제이멜라 인 프랑스 팜므파탈 바디 워시 500ml;JMELLA IN FRANCE FEMME FATALE BODY WASH;8809711716857 ;500ml;20; ₩7 900 ; ₩2 750 
11;;제이멜라 인 프랑스 팜므파탈 바디 로션 500ml;JMELLA IN FRANCE FEMME FATALE BODY LOTION;8809711716864 ;500ml;20; ₩8 900 ; ₩2 970 
12;;제이멜라 인 프랑스 팜므파탈 헤어 샴푸 1000ml;JMELLA IN FRANCE FEMME FATALE HAIR SHAMPOO;8809711716512 ;1000ml;12; ₩11 800 ; ₩4 510 
13;;제이멜라 인 프랑스 팜므파탈 바디 워시 1000ml;JMELLA IN FRANCE FEMME FATALE BODY WASH;8809711716925 ;1000ml;12; ₩11 800 ; ₩4 510 
14;;제이멜라 인 프랑스 라임 앤 바질 헤어 샴푸 500ml;JMELLA IN FRANCE LIME & BASIL HAIR SHAMPOO;8809711716444 ;500ml;20; ₩7 900 ; ₩2 750 
15;;제이멜라 인 프랑스 라임 앤 바질 헤어 트리트먼트 500ml;JMELLA IN FRANCE LIME & BASIL HAIR TREATMENT;8809711716451 ;500ml;20; ₩8 900 ; ₩2 970 
16;;제이멜라 인 프랑스 라임 앤 바질 바디 워시 500ml;JMELLA IN FRANCE LIME & BASIL BODY WASH;8809711716826 ;500ml;20; ₩7 900 ; ₩2 750 
17;;제이멜라 인 프랑스 라임 앤 바질 바디 로션 500ml;JMELLA IN FRANCE LIME & BASIL BODY LOTION;8809711716819 ;500ml;20; ₩8 900 ; ₩2 970 
18;;제이멜라 인 프랑스 라임 앤 바질 헤어 샴푸 1000ml;JMELLA IN FRANCE LIME & BASIL HAIR SHAMPOO;8809711716468 ;1000ml;12; ₩11 800 ; ₩4 510 
