Артикул_ВБ	Название	январь_2025|Заказы	февраль_2025|Заказы	март_2025|Заказы	апрель_2025|Заказы	май_2025|Заказы	июнь_2025|Заказы	июль_2025|Заказы	август_2025|Заказы	сентябрь_2025|Заказы	октябрь_2025|Заказы	ноябрь_2025|Заказы	декабрь_2025|Заказы	Итого_2025|Заказы
180852804	Скалер белый v1	1532.0	1321.0	976.0	176.0	70.0	88.0	141.0	99.0	73.0	83.0	40.0	125.0	4724.0
198940045	Camera_WiFi_v1	630.0	416.0	86.0	8.0	2.0	0	0	0	0	4.0	0	0	1146.0
104590122	dm7dm11	1072.0	26.0	1.0	3.0	6.0	2.0	1.0	3.0	23.0	118.0	1446.0	5387.0	8088.0
48905926	dm7dm1	843.0	67.0	53.0	43.0	37.0	0	3.0	0	3.0	2.0	64.0	1630.0	2745.0
198620664	Lamp_RGB_33cm	346.0	1167.0	1135.0	164.0	32.0	1.0	2.0	0	0	0	0	0	2847.0
48906308	dm7dm3	632.0	15.0	2.0	1.0	0	1.0	2.0	1.0	15.0	26.0	206.0	2299.0	3200.0
180852837	Триммер черный v1	301.0	385.0	170.0	141.0	61.0	15.0	11.0	13.0	28.0	84.0	28.0	33.0	1270.0
103431810	dm7dm10	630.0	44.0	41.0	39.0	27.0	1.0	2.0	1.0	5.0	9.0	70.0	1667.0	2536.0
152115510	sBotW200	207.0	51.0	110.0	11.0	95.0	186.0	73.0	49.0	58.0	62.0	40.0	14.0	956.0
102259020	white /3х3/	1096.0	34.0	34.0	12.0	8.0	8.0	3.0	18.0	41.0	325.0	43.0	75.0	1697.0
48908708	dm7dm6	538.0	30.0	16.0	22.0	29.0	2.0	1.0	1.0	2.0	7.0	56.0	1206.0	1910.0
198620596	Lamp_white_26cm	492.0	498.0	475.0	459.0	394.0	123.0	85.0	95.0	26.0	5.0	0	212.0	2864.0
179423815	Массажер подушка коричневая v1	352.0	130.0	10.0	1.0	1.0	0	1.0	0	0	1.0	0	0	496.0
48906952	dm7dm5	383.0	16.0	1.0	0	0	1.0	2.0	1.0	2.0	29.0	361.0	1915.0	2711.0
100680843	sBotW120_100680843	158.0	51.0	206.0	113.0	82.0	150.0	33.0	25.0	39.0	48.0	21.0	23.0	949.0
