Артикул_ВБ	Название	ЗаказыАБС	ВыручкаАБС	МаржаАБС	Тег	Просмотры	Клики	Затраты_стат_руб	Норм_сумма_руб	История_затрат_руб	CTR_%	CPC_руб	CR_%	Заказов_шт	Заказано_шт	Заказано_сумма_руб	ДРР_%	CPO_руб
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	A	A		8964535	240240	1598805	1976131.37		2.68	6.66	4.02	9647	9647	11446193	13.97	165.73
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	A	A		8186727	223896	1782753.45	2787139.44		2.73	7.96	5.72	12817	12817	14990794	11.89	139.09
151313163	Etude Baking Powder Crunch Pore Scrub	A	A	A		5041010	93984	1221318.20	1347406.76		1.86	12.99	9.24	8683	8683	10300791	11.86	140.66
104590122	dm7dm11	C	C	C		4647874	223953	746469.98	967529		4.82	3.33	2.01	4500	4500	5930109	12.59	165.88
207482718	JIGOTT - Snail Lifting Cream [70ml]	A	A	A		4308281	100646	667991.79	1685039.08		2.34	6.64	8.41	8468	8468	5191299	12.87	78.88
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	A	A		4253967	100179	450199.09	4016276.95		2.35	4.49	9.65	9672	9672	5973832	7.54	46.55
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	A	A		3096147	52204	487429.87	834653.34		1.69	9.34	6.69	3493	3493	3591291	13.57	139.54
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	A	A		2641136	150634	827634.28	760607.87		5.70	5.49	6.50	9798	9798	14790554	5.60	84.47
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	A	A	A		2427600	55452	389329.09	710493.15		2.28	7.02	5.87	3254	3254	4076570	9.55	119.65
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	A	A		2368194	51176	384932.39	530849.70		2.16	7.52	3.46	1770	1770	2143437	17.96	217.48
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	A	B	B		1776348	23851	243754.92	292747.65		1.34	10.22	6.06	1445	1445	1391357	17.52	168.69
198143251	Manyo_Ampoule_Lotion	B	B	B		1735863	34530	293991.94	357157.89		1.99	8.51	1.87	647	647	1329451	22.11	454.39
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	B	B	B		1599669	25316	165542.77	188276.06		1.58	6.54	7.50	1899	1899	1372955	12.06	87.17
212757456	JIGOTT - Daily Real Cica Toner [300ml]	A	B	C		1568079	32045	192138.87	213140.05		2.04	6	5.01	1606	1606	1178196	16.31	119.64
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	A	A	A		1534298	44718	653938.85	605651		2.91	14.62	4.70	2103	2103	4173114	15.67	310.96
437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	B	B	C		1515563	27499	229474.86	251349		1.81	8.34	1.35	371	371	837091	27.41	618.53
207483179	JIGOTT - Snail Reparing Cream [100ml]	A	B	B		1487183	29149	198361.11	247622.24		1.96	6.81	7.78	2268	2268	1398844	14.18	87.46
207483780	JIGOTT - Birds Nest Firming Cream [70ml]	B	B	B		1473075	37322	206919.96	258858.31		2.53	5.54	4.96	1850	1850	1153047	17.95	111.85
255574453	JIGOTT - MASK 15	C	C	C		1391919	27290	165945.49	179603.64		1.96	6.08	5.99	1634	1634	1253373	13.24	101.56
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	A	A	A		1320923	25291	182779.85	292902.94		1.91	7.23	6.47	1636	1636	1548161	11.81	111.72
150925322	Collagen_Enough_Moisture_Foundation_21	B	C	C		1316465	27876	322278.55	560420.94		2.12	11.56	5.06	1411	1411	1240232	25.99	228.40
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	A	B	C		1309719	21898	172959.67	266960.83		1.67	7.90	4.80	1052	1052	903272	19.15	164.41
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	B	B	C		1250254	21301	296380.94	294836		1.70	13.91	2.27	483	483	931328	31.82	613.63
307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	C	C	C		1197190	15893	172914.32	181751.58		1.33	10.88	5.20	826	826	829278	20.85	209.34
437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	C	B	C		1180753	21559	172565.36	166548.91		1.83	8	1.42	307	307	647299	26.66	562.10
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	B	C	B		1177784	16527	162019.28	207211.11		1.40	9.80	5.19	857	857	621265	26.08	189.05
170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	B	B	B		1130516	19860	243133.01	312443.25		1.76	12.24	4.11	816	816	821731	29.59	297.96
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	B	B	B		1100676	15205	137752.99	846190.89		1.38	9.06	4.01	610	610	989891	13.92	225.82
205054338	manyo_bifida_biome_toner	C	B	B		1079383	24870	121921.24	253320.67		2.30	4.90	2.32	576	576	1542596	7.90	211.67
198156698	Manyo_Pure_Cleansing_Oil	B	A	A		1065818	16829	129797.23	179516		1.58	7.71	2.50	421	421	1269488	10.22	308.31
150925321	Collagen_Enough_Moisture_Foundation_13	A	B	B		1062463	22546	264368.95	351527.83		2.12	11.73	7.07	1595	1595	1447693	18.26	165.75
190160197	EKEL Ampoule Toner Collagen 150ml	C	C	C		1048409	14147	136425.29	158647.67		1.35	9.64	5.27	745	745	670868	20.34	183.12
868516027	Celimax Dual Barrier Creamy Toner	A	A	A		1027217	38981	249060.83	245118		3.79	6.39	6.38	2488	2488	4410714	5.65	100.10
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	A	A	B		995806	17223	194399.95	184523.11		1.73	11.29	4.60	792	792	1203174	16.16	245.45
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	B	C	B		883002	10872	98016.48	118192.07		1.23	9.02	7.03	764	764	555973	17.63	128.29
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	C	C	C		878706	11776	124906.43	140094		1.34	10.61	1.74	205	205	411760	30.33	609.30
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	B	C		871285	18154	95224.51	1366061.82		2.08	5.25	5.55	1008	1008	625868	15.21	94.47
437238521	ROUND LAB MUGWORT CALMING TONER_300ml	C	C	C		863426	16579	126499.50	153214		1.92	7.63	1.80	299	299	613105	20.63	423.08
212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	C	C	C		850026	21706	148309.05	178949.75		2.55	6.83	0.61	132	132	505281	29.35	1123.55
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	A	A	A		849137	18570	123725.13	157479		2.19	6.66	8.01	1488	1488	1593250	7.77	83.15
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	C	C	C		839462	15038	113233.73	137991.41		1.79	7.53	6.24	939	939	781754	14.48	120.59
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	A	A		839285	13194	110224.29	1176770.67		1.57	8.35	9.16	1208	1208	1334287	8.26	91.25
48906308	dm7dm3	C	C	C		833007	29225	294603.07	569296		3.51	10.08	4.26	1245	1245	1651412	17.84	236.63
437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	B	B	C		822738	18582	228865.16	226953		2.26	12.32	3.18	590	590	1618442	14.14	387.91
