Тип	Номер_документа	Наименование	Номер_отчета	Сумма_руб
	Транзитные поставки			165193.73
	298922281	Услуги доставки транзитных поставок. Поставка №36958326, документ №298922281	727683446	6753.88
	295804056	Услуги доставки транзитных поставок. Поставка №38846809, документ №295804056	706241391	12853.92
	294809416	Услуги доставки транзитных поставок. Поставка №38097049, документ №294809416	699978649	15904.59
	290827287	Услуги доставки транзитных поставок. Поставка №36958380, документ №290827287	678064316	8347.85
	291790958	Услуги доставки транзитных поставок. Поставка №37486273, документ №291790958	678064316	25125.09
	288626907	Услуги доставки транзитных поставок. Поставка №36958418, документ №288626907	657061742	8723.34
	285469293	Услуги доставки транзитных поставок. Поставка №36920306, документ №285469293	640700789	8433.56
	285316706	Услуги доставки транзитных поставок. Поставка №36832219, документ №285316706	634993243	4453.94
	283257258	Услуги доставки транзитных поставок. Поставка №36324507, документ №283257258	620612437	26548.72
	282183331	Услуги доставки транзитных поставок. Поставка №35909372, документ №282183331	614629917	11894.48
	280665784	Услуги доставки транзитных поставок. Поставка №35909341, документ №280665784	608373872	13553.87
	281035301	Услуги доставки транзитных поставок. Поставка №35579413, документ №281035301	608373872	7893.83
	277114551	Услуги доставки транзитных поставок. Поставка №35605164, документ №277114551	588386083	7353.33
	277114551	Услуги доставки транзитных поставок. Поставка №35605164, документ №277114551	586825437	7353.33
	Реклама			15900830.00
	302482858	Витрина Магазина, документ №302482858	757183569	9990.00
	303103820	Предоставление услуг по подписке «Джем», документ №303103820	757183569	42990.00
	303126872	Оказание услуг «WB Продвижение», документ №303126872	757183569	396628.00
	302050208	Отчет об утилизированном товаре (по складу) за май 2026, документ №302050208	750012218	1368.00
	302165316	Оказание услуг «WB Продвижение», документ №302165316	750012218	473679.00
	300140101	Оказание услуг «WB Продвижение», документ №300140101	743791640	51336.00
	301089033	Предоставление услуг по подписке «Джем», документ №301089033	743791640	2800.00
	301205642	Оказание услуг «WB Продвижение», документ №301205642	743791640	396957.00
	300060013	Оказание услуг «WB Продвижение», документ №300060013	735903405	339352.00
	298081625	Витрина Магазина, документ №298081625	727683446	9990.00
	298928594	Предоставление услуг по подписке «Джем», документ №298928594	727683446	42990.00
	298966393	Оказание услуг «WB Продвижение», документ №298966393	727683446	285469.00
	297883437	Отчет об утилизированном товаре (по складу) за апрель 2026, документ №297883437	720773157	874.00
	297935930	Оказание услуг «WB Продвижение», документ №297935930	720773157	289804.00
	296926358	Оказание услуг «WB Продвижение», документ №296926358	712991519	268978.00
	295864513	Оказание услуг «WB Продвижение», документ №295864513	706241391	231134.00
	296011064	Оказание услуг «WB Продвижение», документ №296011064	706241391	117814.00
	294842781	Оказание услуг «WB Продвижение», документ №294842781	699978649	348552.00
	293804555	Акт утилизации товара(склад) за март 2026, документ №293804555	693019770	1026.00
	293844062	Витрина Магазина, документ №293844062	693019770	9990.00
	293920396	Оказание услуг «WB Продвижение», документ №293920396	693019770	407469.00
	293979682	Предоставление услуг по подписке «Джем», документ №293979682	693019770	42990.00
	292822255	Оказание услуг «WB Продвижение», документ №292822255	686297212	464402.00
	291714085	Оказание услуг «WB Продвижение», документ №291714085	678064316	146217.00
	291915429	Оказание услуг «WB Продвижение», документ №291915429	678064316	270850.00
	290666375	Акт утилизации товара(склад) за февраль 2026, документ №290666375	670941852	66.00
	290683177	Оказание услуг «WB Продвижение», документ №290683177	670941852	409928.00
	289612494	Акт утилизации товара(склад) за январь 2026, документ №289612494	664796021	33.00
	289656372	Витрина Магазина, документ №289656372	664796021	9990.00
	289666388	Предоставление услуг по подписке «Джем», документ №289666388	664796021	42990.00
	289679629	Оказание услуг «WB Продвижение», документ №289679629	664796021	547047.00
	288601545	Акт утилизации товара(склад) за февраль 2026, документ №288601545	657061742	858.00
	288671505	Оказание услуг «WB Продвижение», документ №288671505	657061742	454426.00
	287637157	Оказание услуг «WB Продвижение», документ №287637157	649431959	468398.00
	286383113	Оказание услуг «WB Продвижение», документ №286383113	640700789	648744.00
	286488132	Оказание услуг «WB Продвижение», документ №286488132	640700789	26266.00
	284473507	Витрина Магазина, документ №284473507	634993243	9990.00
	285262939	Предоставление услуг по подписке «Джем», документ №285262939	634993243	35990.00
	285326242	Оказание услуг «WB Продвижение», документ №285326242	634993243	565115.00
	284314270	Оказание услуг «WB Продвижение», документ №284314270	628334479	847531.00
	283265559	Акт утилизации товара(склад) за январь 2026, документ №283265559	620612437	1320.00
	283413792	Оказание услуг «WB Продвижение», документ №283413792	620612437	642723.00
	282237137	Оказание услуг «WB Продвижение», документ №282237137	614629917	515657.00
	282382437	Оказание услуг «WB Продвижение», документ №282382437	614629917	30554.00
	280364700	Предоставление услуг по подписке «Джем», документ №280364700	608373872	35990.00
	281332695	Оказание услуг «WB Продвижение», документ №281332695	608373872	475657.00
	280102927	Акт утилизации товара(склад) за декабрь 2025, документ №280102927	600798733	363.00
	280193137	Витрина Магазина, документ №280193137	600798733	9990.00
	280201065	Оказание услуг «WB Продвижение», документ №280201065	600798733	422924.00
	279265314	Оказание услуг «WB Продвижение», документ №279265314	594582878	468076.00
	276495922	Оказание услуг «WB Продвижение», документ №276495922	588386083	647186.00
	277414045	Оказание услуг «WB Продвижение», документ №277414045	586825437	198898.00
	277523911	Оказание услуг «WB Продвижение», документ №277523911	586825437	226617.00
	276495922	Оказание услуг «WB Продвижение», документ №276495922	580875748	647186.00
	275385828	Витрина Магазина, документ №275385828	571569451	9990.00
	275391683	Предоставление услуг по подписке «Джем», документ №275391683	571569451	35990.00
	275406735	Оказание услуг «WB Продвижение», документ №275406735	571569451	1025445.00
	274321425	Акт утилизации товара(склад) за ноябрь 2025, документ №274321425	565580149	264.00
	274375105	Оказание услуг «WB Продвижение», документ №274375105	565580149	987056.00
	273286111	Оказание услуг «WB Продвижение», документ №273286111	559007046	797923.00
	Реклама			52000.00
	277435577	Оказание услуг «WB Продвижение», документ №277435577	587955331	569.00
	277581937	Оказание услуг «WB Продвижение», документ №277581937	587955331	420.00
	276452260	Оказание услуг «WB Продвижение», документ №276452260	580213353	2011.00
