Артикул_ВБ	Название	Штрафы_руб	Штраф_Габариты	Штраф_ПовышЛог	Другие_штрафы	Доплаты	Брак_шт	Брак_руб	Компенсация
100680843	sBotW120_100680843	640.00	0.00	0.00	640.00	0.00	0	0.00	15487.83
100680844	sBotW100_100680844	40.00	0.00	0.00	40.00	0.00	0	0.00	16695.05
102247602	hot /1.5х1.5/	0.00	0.00	0.00	0.00	0.00	0	0.00	749.43
102254770	hot /2х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	370.22
102255837	hot /3х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	812.16
102256288	hot /3х3/	10.00	0.00	0.00	10.00	0.00	0	0.00	5805.83
102258119	white /1.5х1.5/	0.00	0.00	0.00	0.00	0.00	0	0.00	156.97
102258255	white /2х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	725.60
102258636	white /3х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	840.45
102259020	white /3х3/	140.00	0.00	0.00	140.00	0.00	0	0.00	11682.14
102263707	multi /2х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	336.18
102264249	multi  /3х2/	0.00	0.00	0.00	0.00	0.00	0	0.00	678.36
102264744	multi  /3х3/	0.00	0.00	0.00	0.00	0.00	0	0.00	1030.58
103431353	dm7dm9	1686.00	1566.00	0.00	120.00	0.00	0	0.00	6752.83
103431810	dm7dm10	140.00	0.00	0.00	140.00	0.00	0	0.00	11946.65
103441912	dm7dm12	110.00	0.00	0.00	110.00	0.00	0	0.00	12216.21
103442522	dm7dm13	632.00	522.00	0.00	110.00	0.00	0	0.00	4902.37
104590122	dm7dm11	590.00	450.00	0.00	140.00	0.00	0	0.00	22002.11
133070651	СГ1К	20.00	0.00	0.00	20.00	0.00	0	0.00	176.94
150925321	Collagen_Enough_Moisture_Foundation_13	0.00	0.00	0.00	0.00	0.00	0	0.00	660.43
150925322	Collagen_Enough_Moisture_Foundation_21	0.00	0.00	0.00	0.00	0.00	0	0.00	451.68
151132051	ENOUGH COLLAGEN 3IN1 13	10.00	0.00	0.00	10.00	0.00	0	0.00	0.00
151132052	ENOUGH COLLAGEN 3IN1 21	750.00	0.00	0.00	750.00	0.00	0	0.00	1938.55
151175877	Petitfee Agave Cooling Hydrogel Eye Mask	0.00	0.00	0.00	0.00	0.00	0	0.00	655.38
151298064	Elizavecca Witch Piggy Hell Pore Blemish Spot Patch	0.00	0.00	0.00	0.00	0.00	0	0.00	353.35
151313163	Etude Baking Powder Crunch Pore Scrub	0.00	0.00	0.00	0.00	0.00	0	0.00	7925.30
152115510	sBotW200	1410.00	0.00	0.00	1410.00	0.00	0	0.00	12605.32
152498365	KSFTsitSocket	0.00	0.00	0.00	0.00	0.00	0	0.00	1461.58
154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	0.00	0.00	0.00	0.00	0.00	0	0.00	70.84
154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	0.00	0.00	0.00	0.00	0.00	0	0.00	1589.47
154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%	0.00	0.00	0.00	0.00	0.00	0	0.00	3064.35
154522116	Микрофон-колонка розовый	0.00	0.00	0.00	0.00	0.00	0	0.00	1005.03
165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	140.00	0.00	0.00	140.00	0.00	0	0.00	1166.43
165007944	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-168.00
165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]	50.00	0.00	0.00	50.00	0.00	0	0.00	1807.43
165008162	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-73.85
165008990	FARMSTAY OIL-FREE UV DEFENCE SUN CREAM 70ml	0.00	0.00	0.00	0.00	0.00	0	0.00	-52.40
165299450	Masil 8 Seconds Salon Hair Mask Stick Pouch 8 ml 5шт	0.00	0.00	0.00	0.00	0.00	0	0.00	-439.08
165299669	8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт	264.50	264.50	0.00	0.00	0.00	0	0.00	2873.16
165299885	8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт	0.00	0.00	0.00	0.00	0.00	0	0.00	2224.24
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	0.00	0.00	0.00	0.00	0.00	0	0.00	4993.41
168956730	3SALON HAIR CMC SHAMPOO 300ml	0.00	0.00	0.00	0.00	0.00	0	0.00	-514.00
169074006	9 Protein Perfume Silk Balm	746.00	0.00	0.00	746.00	0.00	0	0.00	2785.04
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	40.00	0.00	0.00	40.00	0.00	0	0.00	1246.13
169788801	ENOUGH Collagen Hydro Moisture Two Way Cake SPF 25 тон 21	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00
170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	0.00	0.00	0.00	0.00	0.00	0	0.00	733.76
170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	0.00	0.00	0.00	0.00	0.00	0	0.00	1918.42
170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	20.00	0.00	0.00	20.00	0.00	0	0.00	0.00
174667991	Коврик электрический для ног V1	0.00	0.00	0.00	0.00	0.00	0	0.00	-338.83
174668134	Пистолет перкуссионный V1	560.00	0.00	0.00	560.00	0.00	0	0.00	15037.45
176944957	sBotW300	1410.00	0.00	0.00	1410.00	0.00	0	0.00	7788.53
176945700	sBotW400	80.00	0.00	0.00	80.00	0.00	0	0.00	9437.16
179423815	Массажер подушка коричневая v1	80.00	0.00	0.00	80.00	0.00	0	0.00	2466.15
180588500	Enough Collagen 3in1 Cream 50мл	0.00	0.00	0.00	0.00	0.00	0	0.00	-325.00
180709801	Koelf Royal Jelly	0.00	0.00	0.00	0.00	0.00	0	0.00	803.90
180852804	Скалер белый v1	20.00	0.00	0.00	20.00	0.00	0	0.00	1055.49
180852837	Триммер черный v1	30.00	0.00	0.00	30.00	0.00	0	0.00	4097.98
180987509	Petitfee Pink Vita Brightening Eye Mask	0.00	0.00	0.00	0.00	0.00	0	0.00	-2441.19
180988755	Petitfee B-Glucan Deep Firming Eye Mask	0.00	0.00	0.00	0.00	0.00	0	0.00	0.01
180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	0.00	0.00	0.00	0.00	0.00	0	0.00	2063.60
182676276	W200	50.00	0.00	0.00	50.00	0.00	0	0.00	0.00
182994855	Liquid10	0.00	0.00	0.00	0.00	0.00	0	0.00	-392.64
183028820	Liquid200	0.00	0.00	0.00	0.00	0.00	0	0.00	-716.00
183030830	HairSet/350/8*2	2300.00	0.00	0.00	2300.00	0.00	0	0.00	4383.17
183042837	SuperMild5	0.00	0.00	0.00	0.00	0.00	0	0.00	225.53
18405795	TPE100TPE100	0.00	0.00	0.00	0.00	0.00	0	0.00	-288.68
188825489	Бахрома - 20м - желтого цвета	10.00	0.00	0.00	10.00	0.00	0	0.00	2224.04
190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	0.00	0.00	0.00	0.00	0.00	0	0.00	1376.17
190160197	EKEL Ampoule Toner Collagen 150ml	0.00	0.00	0.00	0.00	0.00	0	0.00	17765.64
190314011	СГ-Белая	522.00	522.00	0.00	0.00	0.00	0	0.00	5400.42
190314124	СГ-Белая с узорами	683.10	0.00	0.00	683.10	0.00	0	0.00	0.00
190314349	СГ-Красная	0.00	0.00	0.00	0.00	0.00	0	0.00	2367.15
190314522	СГ-Синяя	0.00	0.00	0.00	0.00	0.00	0	0.00	615.57
191033857	MASIL 9PROTEIN PERFUME SILK BALM 20ml	0.00	0.00	0.00	0.00	0.00	0	0.00	17.93
193043668	Гирлянда здездочка	20.00	0.00	0.00	20.00	0.00	0	0.00	1845.22
195286357	Rosa 2m white	0.00	0.00	0.00	0.00	0.00	0	0.00	345.15
195286361	Rosa 3m white	0.00	0.00	0.00	0.00	0.00	0	0.00	495.99
195286363	Rosa 3m multi	0.00	0.00	0.00	0.00	0.00	0	0.00	134.13
195286364	Rosa 5m white	0.00	0.00	0.00	0.00	0.00	0	0.00	534.40
195286365	Rosa 5m hot	0.00	0.00	0.00	0.00	0.00	0	0.00	355.48
195286366	Rosa 5m multi	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00
195286367	Rosa 10m white	0.00	0.00	0.00	0.00	0.00	0	0.00	562.27
195286368	Rosa 10m hot	0.00	0.00	0.00	0.00	0.00	0	0.00	354.89
195286369	Rosa 10m multi	0.00	0.00	0.00	0.00	0.00	0	0.00	434.79
195286370	Rosa 20m white	0.00	0.00	0.00	0.00	0.00	0	0.00	1013.86
195286371	Rosa 20m hot	40.00	0.00	0.00	40.00	0.00	0	0.00	348.89
195286372	Rosa 20m multi	0.00	0.00	0.00	0.00	0.00	0	0.00	3136.30
195289584	MASIL 9 PROTEIN PERFUME SILK BALM 20ML (SWEET LOVE) [20ml]	940.00	0.00	0.00	940.00	0.00	0	0.00	-220.14
195373789	Массажер 6в1	10.00	0.00	0.00	10.00	0.00	0	0.00	5931.83
198143251	Manyo_Ampoule_Lotion	30.00	0.00	0.00	30.00	0.00	0	0.00	3925.77
198147185	Manyo_Complex_Ampoule	60.00	0.00	0.00	60.00	0.00	0	0.00	0.00
198156472	Manyo_Galac_Vita_Serum	0.00	0.00	0.00	0.00	0.00	0	0.00	1443.65
198156698	Manyo_Pure_Cleansing_Oil	0.00	0.00	0.00	0.00	0.00	0	0.00	3783.20
198620596	Lamp_white_26cm	1660517.50	0.00	0.00	1660517.50	0.00	0	0.00	25978.36
198620664	Lamp_RGB_33cm	560.00	0.00	0.00	560.00	0.00	0	0.00	21090.97
198940045	Camera_WiFi_v1	1223.73	0.00	0.00	1223.73	0.00	0	0.00	17084.57
199367159	Dr.Jart_Dermaclear_Micro_Foam	0.00	0.00	0.00	0.00	0.00	0	0.00	1274.44
199427997	Dr.Jart_Ceramidin_Mist	0.00	0.00	0.00	0.00	0.00	0	0.00	1399.00
199864239	Camera_4G_v1	500.83	0.00	0.00	500.83	0.00	0	0.00	0.00
204250060	COSRX_Low_pH_Gel_Cleanser	0.00	0.00	0.00	0.00	0.00	0	0.00	742.80
204258828	COSRX_Salicylic_Acid_Cleanser	60.00	0.00	0.00	60.00	0.00	0	0.00	0.02
205054338	manyo_bifida_biome_toner	170.00	0.00	0.00	170.00	0.00	0	0.00	19270.54
206057411	ELIZAVECCA_fruit_toner	0.00	0.00	0.00	0.00	0.00	0	0.00	1479.86
206058262	ELIZAVECCA_galactomyces_Ample	0.00	0.00	0.00	0.00	0.00	0	0.00	1580.65
206122859	I'm Sorry for My Skin Age Крем Capture Firming Enriched	0.00	0.00	0.00	0.00	0.00	0	0.00	-908.59
206135397	I'm Sorry For My Skin Age Capture Hydrating	0.00	0.00	0.00	0.00	0.00	0	0.00	919.68
207464799	HEIMISH - All Clean Balm [120ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2566.99
207465786	HEIMISH - All Clean Balm Mandarin [120ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2626.65
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	1120.29
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-697.45
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	50.00	0.00	0.00	50.00	0.00	0	0.00	16287.39
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	766.00	696.00	0.00	70.00	0.00	0	0.00	8086.59
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	70.00	0.00	0.00	70.00	0.00	0	0.00	3313.37
