Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	Коротич	1.04	1.04	1		17739		15843	55.48	44.52
	Центральный					9160		8220	93.53	6.47
	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	91	291		1059	87.81	12.19
	868516027	Celimax Dual Barrier Creamy Toner	Celimax Dual Barrier Creamy Toner	A	90	420		1149	99.65	0.35
	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	96	198		606	100	
	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	96	521		438	98.87	1.13
	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	94	179		440	99.77	0.23
	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	A	91	228		271	100	
	151313163	Etude Baking Powder Crunch Pore Scrub	Etude Baking Powder Crunch Pore Scrub	A	95	149		228	100	
	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	97	263		174	82.86	17.14
	207482718	JIGOTT - Snail Lifting Cream [70ml]	JIGOTT - Snail Lifting Cream [70ml]	A	96	263		188	100	
	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	97	29		138	75.41	24.59
	150925321	Collagen_Enough_Moisture_Foundation_13	Collagen_Enough_Moisture_Foundation_13	A	95	13		173	97.19	2.81
	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	FARMSTAY - Gold Snail Premium Cream [50ml]	A	95	370		165	99.40	0.60
	207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	98	134		143	92.86	7.14
	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	A	95	119		122	100	
