Артикул_ВБ	Название	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_%	Заказы_нелокально_%
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	96	521		99	1
868516027	Celimax Dual Barrier Creamy Toner	90	420		100	
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	96	399		100	
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	90	126		100	
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	95	370		99	1
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	97	263		83	17
151132052	ENOUGH COLLAGEN 3IN1 21	97	255		100	
207482718	JIGOTT - Snail Lifting Cream [70ml]	96	263		100	
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	91	228		100	
150925322	Collagen_Enough_Moisture_Foundation_21	93	322		100	
207796350	ELIZAVECCA - CER-100  [100ml]	93	162		100	
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	91	291		88	12
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	94	179		100	
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	95	119		100	
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	96	198		100	
255574453	JIGOTT - MASK 15	100	58		100	
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	93	95		100	
214977901	JMSOLUTION - Mask Pack Black	90	119		100	
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	79	178		78	22
170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	96	85		100	
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	98	134		93	7
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	94	176		73	27
198147185	Manyo_Complex_Ampoule	97	111		100	
551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	100	58		100	
154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	94	157		100	
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	89	165		84	16
150925321	Collagen_Enough_Moisture_Foundation_13	95	13		97	3
207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	94	91		100	
437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	89	71		100	
208202076	EKEL Ampule Сream Сollagen [70ml]	98	79		100	
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	92	51		99	1
207465786	HEIMISH - All Clean Balm Mandarin [120ml]	97	78		100	
551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	100	69		100	
151313163	Etude Baking Powder Crunch Pore Scrub	95	149		100	
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	98	103		100	
179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	91	41		100	
437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	90	28		98	2
208208674	Рация_UV-82 (1 шт)	77	97		100	
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	98	52		100	
868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	88	90		100	
551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	97	43		100	
214964091	JMSOLUTION - Mask Pack Disney	91	79		100	
206058262	ELIZAVECCA_galactomyces_Ample	100	30		100	
206057411	ELIZAVECCA_fruit_toner	98	9		100	
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	97	53		87	13
198156472	Manyo_Galac_Vita_Serum	90	29		100	
207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	98	55		100	
207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	96	93		83	17
170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	93	29		100	
179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	97	21		62	38
198156698	Manyo_Pure_Cleansing_Oil	92	48		86	14
608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	94	47		100	
551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	75	35		100	
170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	91	67		80	20
551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	94	39		100	
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	94	68		100	
180711104	Petitfee GOLD	97	52		100	
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	91	23		100	
190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	97	31		100	
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	86	35		100	
212889027	Enoughcollagenwhiteningcovertip	81	39		100	
437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	89	27		95	5
207483780	JIGOTT - Birds Nest Firming Cream [70ml]	99	25		100	
180852804	Скалер белый v1	67	41		100	
212757456	JIGOTT - Daily Real Cica Toner [300ml]	93	68		99	1
551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	95	67		100	
180988755	Petitfee B-Glucan Deep Firming Eye Mask	97	12		100	
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	97			3	97
214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	94	65		100	
176944957	sBotW300	97	24		100	
611747838	Collagen_Enough_Moisture_Foundation_23	90	33		100	
1152680017	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	100	78		100	
212889028	Enoughcollagenwhiteningcovertip03	86	35		100	
236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	100	15		100	
179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	95	9		96	4
212889025	Enoughcollagenwhiteningcovertip01	90	38		100	
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	97	70		100	
190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	75	14		100	
663654300	videokamera4gneww	100	43		100	
437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	83	26		100	
180711041	Petitfee EGF	100			100	
551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	100	20		100	
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	94	53		100	
206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	93	35		100	
608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	97	10		100	
214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	90	42		100	
608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	98	10		95	5
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	91	36		100	
174668134	Пистолет перкуссионный V1	80	50		100	
214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	100	21		100	
199427475	Dr.Jart_Teatreatment_Toner	94	49		100	
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	98	22		100	
154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	90	26		100	
1177994944	PETITFEE MASK 5	100	50		100	
210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	100	31		83	17
214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	86	13		100	
1175175447	PETITFEE MASK 6	100	44		100	
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	97	29		75	25
207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	100	22		67	33
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	97	19		100	
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	67	25		100	
1177994945	PETITFEE MASK 7	100	40		100	
179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	100	17		100	
207483179	JIGOTT - Snail Reparing Cream [100ml]	96	27		100	
