Артикул_ВБ	Название	ЗаказыАБС	ВыручкаАБС	МаржаАБС	Тег	Объем_л	Доставок_клиенту	Доставок_обратно	Сумма_к_клиенту_руб	Сумма_обратно_руб	Логистика_факт_руб	Кол_продаж	Логистика_на_ед_руб	Расч_лог_коробка	Расч_лог_коробка_уч	Разница
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	A	A		0.73		45138	1999	2820559.25	96950	2917509.25		43140	67.63	42518.40	42518.40
104590122	dm7dm11	C	C	C		5.76		10835	2001	2236612.26	100363.20	2336975.46		8819	264.99		
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	A	A		0.83		30896	1843	2071449.25	86984	2158433.25		29048	74.31	60113.60	60113.60
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	A	A		1.26		17904	698	1856063.68	36288.76	1892352.44		17199	110.03	41390.63	41390.63
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	A	B	B		0.28		28212	1937	1749117.40	95458	1844575.40		26272	70.21	322	322
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	A	A		1.28		16334	1657	1739520.80	82616	1822136.80		14828	122.88	210177.36	210177.36
198620596	Lamp_white_26cm	C	C	C		22.01		3819	1093	1721059.28	56453.18	1777512.46		2612	680.52	2431.08	2431.08
198620664	Lamp_RGB_33cm	C	C	C		25.74		3110	984	1185212.19	49200	1234412.19		2043	604.22		
151313163	Etude Baking Powder Crunch Pore Scrub	A	A	A		0.56		18795	1006	1185688.21	47108	1232796.21		17789	69.30	27611.60	27611.60
207482718	JIGOTT - Snail Lifting Cream [70ml]	A	A	A		0.29		20077	743	1196865.71	32950	1229815.71		19323	63.65	22705.20	22705.20
48906308	dm7dm3	C	C	C		5.76		5337	1018	1076460.09	50962.64	1127422.73		4314	261.34	219.65	219.65
868516027	Celimax Dual Barrier Creamy Toner	A	A	A		0.73		9762	1097	1055839.09	51725	1107564.09		8665	127.82	167139	167139
48905926	dm7dm1	C	C	C		5.76		5456	1084	996640.29	54200	1050840.29		4363	240.85		
103431810	dm7dm10	C	C	C		5.76		5274	1108	970648.88	55612.13	1026261.01		4157	246.88		
48906952	dm7dm5	C	C	C		5.76		4052	774	733040.16	38700	771740.16		3274	235.72		
103442522	dm7dm13	C	C	C		5.76		3549	470	684383.14	23790	708173.14		1388	510.21		
100680843	sBotW120_100680843	B	A	B		13.60		1996	216	649232.25	23886.28	673118.53		1650	407.95	1540.08	1540.08
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	A	A		1.26		5902	133	590527.59	7004.51	597532.10		5765	103.65	14516.54	14516.54
48908708	dm7dm6	C	C	C		5.76		3380	681	559029.99	34050	593079.99		2696	219.99	180.22	180.22
103431353	dm7dm9	C	C	C		5.76		3098	653	544715.85	32650	577365.85		2437	236.92	168.96	168.96
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	B	C		0.73		8603	559	543468.31	27630	571098.31		8044	71	4729.90	4729.90
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	A	A	A		0.57		7813	291	492539.34	13374	505913.34		7520	67.28	14734.80	14734.80
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	A	A	A		1.26		5902	107	485890.05	5343.52	491233.57		5791	84.83	12299.39	12299.39
152115510	sBotW200	C	C	C		13.60		1592	122	476775.87	10059.01	486834.88		1312	371.06		
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	A	A	A		0.73		6925	210	461801.18	9480	471281.18		6714	70.19	19326.60	19326.60
240311751	Робот мойщик окон sBot w250	B	A	B		13.60		1251	126	457574.03	12920.20	470494.23		1123	418.96	7600.40	7600.40
226322576	ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch	C	C	C		0.24		6513	373	419420.74	18650	438070.74		6139	71.36		
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	A	A	A		0.28		6961	354	410994.06	15084	426078.06		6607	64.49	18511.90	18511.90
100680844	sBotW100_100680844	C	C	C		13.60		1315	173	406442.65	15291.25	421733.90		1138	370.59		
555204573	dm7dm3-45	C	C	C		10.08		1031	280	383575.16	14266.86	397842.02		745	534.02		
180852804	Скалер белый v1	C	C	C		1.38		4992	541	357416.40	27056.25	384472.65		4448	86.44	290.88	290.88
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	B	B	B		0.14		5786	523	333207.98	24881	358088.98		5263	68.04	7109.70	7109.70
206057411	ELIZAVECCA_fruit_toner	B	B	B		0.38		5593	313	336773.04	15338	352111.04		5280	66.69	5879.90	5879.90
102259020	white /3х3/	C	C	C		1.28		4755	847	307184.11	42450.42	349634.53		3901	89.63		
176944957	sBotW300	B	A	C		13.60		891	120	326027.64	13597.60	339625.24		615	552.24	5849.12	5849.12
103441912	dm7dm12	C	C	C		5.76		1540	430	280162.41	21625.28	301787.69		1106	272.86	180.22	180.22
165299669	8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт	C	C	C		0.77		4705	253	276359.10	12650	289009.10		4451	64.93		
165299885	8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт	C	C	C		0.85		4453	219	277219.12	10950	288169.12		4234	68.06		
555135716	dm7dm11-50	C	C	C		14.86		549	146	270261.51	7300	277561.51		399	695.64		
333319980	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N3	C	C	C		0.28		3857	234	260490.44	11700	272190.44		3623	75.13		
174668134	Пистолет перкуссионный V1	C	C	C		3.23		2326	423	245758.18	21426.72	267184.90		1716	155.70	1968.24	1968.24
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	A	A	A		0.62		3975	361	245109.27	15811	260920.27		3612	72.24	15420	15420
255574453	JIGOTT - MASK 15	C	C	C		1.19		2950	129	253552.22	6448.66	260000.88		2820	92.20	822.35	822.35
176945700	sBotW400	C	A	B		10.80		656	88	236236.92	10453.78	246690.70		510	483.71		
190314124	СГ-Белая с узорами	C	C	C		3.30		1395	291	225983.33	14550	240533.33		1104	217.87		
555208894	dm7dm3-50	C	C	C		14.86		445	142	225413.46	7100	232513.46		300	775.04		
207483179	JIGOTT - Snail Reparing Cream [100ml]	A	B	B		0.45		3547	154	221833.87	7217	229050.87		3393	67.51	9118.80	9118.80
99866376		C	C	C				888		208420		208420				14752.20	14752.20
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	B	B	B		0.93		3087	117	202109.77	5688	207797.77		2970	69.97	4459.10	4459.10
207795785	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash	C	C	C		0.38		3158	173	194771.81	8650	203421.81		2984	68.17		
150925322	Collagen_Enough_Moisture_Foundation_21	B	C	C		0.62		2932	283	188071.92	13810	201881.92		2648	76.24	5917.80	5917.80
214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	B	A	A		6.24		783	42	197472.46	3318.39	200790.85		741	270.97	12842.48	12842.48
