Артикул ВБ	Название	Ноябрь 2024|Заказы	Ноябрь 2024|Выручка	Ноябрь 2024|Маржа	Декабрь 2024|Заказы	Декабрь 2024|Выручка	Декабрь 2024|Маржа	Январь 2025|Заказы	Январь 2025|Выручка	Январь 2025|Маржа	Февраль 2025|Заказы	Февраль 2025|Выручка	Февраль 2025|Маржа	Март 2025|Заказы	Март 2025|Выручка	Март 2025|Маржа	Апрель 2025|Заказы	Апрель 2025|Выручка	Апрель 2025|Маржа	Май 2025|Заказы	Май 2025|Выручка	Май 2025|Маржа	Июнь 2025|Заказы	Июнь 2025|Выручка	Июнь 2025|Маржа	Июль 2025|Заказы	Июль 2025|Выручка	Июль 2025|Маржа	Август 2025|Заказы	Август 2025|Выручка	Август 2025|Маржа	Сентябрь 2025|Заказы	Сентябрь 2025|Выручка	Сентябрь 2025|Маржа	Октябрь 2025|Заказы	Октябрь 2025|Выручка	Октябрь 2025|Маржа	Ноябрь 2025|Заказы	Ноябрь 2025|Выручка	Ноябрь 2025|Маржа	Декабрь 2025|Заказы	Декабрь 2025|Выручка	Декабрь 2025|Маржа	Январь 2026|Заказы	Январь 2026|Выручка	Январь 2026|Маржа	Февраль 2026|Заказы	Февраль 2026|Выручка	Февраль 2026|Маржа	Март 2026|Заказы	Март 2026|Выручка	Март 2026|Маржа	Апрель 2026|Заказы	Апрель 2026|Выручка	Апрель 2026|Маржа	Май 2026|Заказы	Май 2026|Выручка	Май 2026|Маржа	Июнь 2026|Заказы	Июнь 2026|Выручка	Июнь 2026|Маржа	Итого|Заказы	Итого|Выручка	Итого|Маржа
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE					565750.24	151409.10		1427679.41	267364.78		1329756.85	321707.74		1335735.77	321473.56		400401.23	118222.06		44076.01	14009.91		416075.66	136170.95		585993.17	159137.56		545677.86	-78829.55		743421.85	187583.20		1258218.18	398815.15		1011905.16	138164.38		992652.84	208321.41	276	942922.00	50299.03	2205	1105099.18	205022.08	2439	1570459.15	435341.15	1704	1112897.77	344605.13	1779	1114868.54	384186.96	1520	943151.66	311479.17	9923	17446742.53	4074483.77
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N					1085488.75	363565.06		2393828.69	600846.53		1146509.73	352535.30		1300051.27	393328.60		942502.02	295696.47		192454.48	75118.66		621278.71	217181.64		624271.89	194916.08		408845.64	101414.30		499836.54	96181.88		598618.87	87560.70		607421.87	93190.47		589090.74	130912.74	409	743207.66	135047.69	2207	713895.06	150788.99	2498	808308.34	185333.19	1878	613963.77	156278.42	1201	380334.12	70739.23	865	303661.11	89753.37	9058	14573569.26	3790389.32
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml																							18435.40	10293.14		918.37	309.87		86193.41	4022.25		77023.69	957.10		942571.76	346881.87		672500.46	168373.21		191993.05	34256.56	475	1849175.22	497729.06	2755	2048622.40	527170.24	2272	1706434.27	450120.29	1231	1003665.93	288749.04	1870	1098755.26	293473.21	3673	2338820.19	545680.10	12276	12035109.41	3168015.94
151313163	Etude Baking Powder Crunch Pore Scrub					45135.48	13914.74		265739.36	57806.92		478119.28	105899.35		1200108.24	249307.53		788316.21	156566.46		76234.78	14930.30		554924.90	110701.05		513180.37	106955.21		511721.73	92956.20		69124.53	17577.50		613477.00	237511.70		710850.03	61285.33		617927.11	111630.90	222	819877.07	64890.11	1718	712706.96	-38083.29	1666	1103316.52	285938.32	982	658473.42	190445.17	723	447901.49	125877.46	592	353972.95	104138.72	5903	10541107.43	2070249.68
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]					91926.56	4126.61		440743.30	-29491.16		395793.46	-2516.89		598856.49	-32761.64		220125.66	17721.01		26261.82	7941.54		229788.79	58799.60		370830.49	64075.60		294727.96	-118819.66		660015.73	-30341.94		629931.07	49365.11		207633.03	14307.63		517357.87	-24260.67	225	876892.92	-4784.47	1833	980855.75	95145.24	1580	944859.19	124149.95	1356	849524.68	158553.76	953	566495.34	104745.82	841	468026.70	91255.92	6788	9370646.81	547211.36
868516027	Celimax Dual Barrier Creamy Toner																																																		-555.87	-555.87	2681	1604521.50	142198.15	4903	4508453.66	1027133.54	3123	2687166.15	629767.50	10707	8799585.44	1798543.32
238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N					12011.67	5914.84		49874.76	23334.83		242514.02	110766.26		1407297.33	581604.16		1879683.13	709359.10		2094406.84	807827.33		1285776.41	451388.29		328746.08	122764.05		142134.78	48051.80		99027.83	28596.02		94032.67	12588.16		101814.76	8777.91		120240.76	22317.00	56	99920.77	29290.38	317	93956.57	30441.83	982	266006.36	93476.72	803	256023.75	86076.09	223	102159.14	33751.39	1	1522.26	474.89	2382	8677149.89	3206801.05
100680843	sBotW120_100680843					41150.05	19614.55		144169.54	38638.63		210739.26	84409.06		942005.75	361827.08		441579.91	167890.83		395808.75	164228.76		728081.35	299091.01		124861.18	40794.62		52661.45	-13358.70		114042.53	4124.14		100111.86	-9100.74		42452.34	-13448.68		100523.78	23812.18	6	21697.99	4023.84	21	60694.12	8515.93	382	1333774.92	450286.23	502	1439845.83	117767.74	103	348778.16	15053.78	4	17585.46	257.18	1018	6660564.23	1764427.44
207482718	JIGOTT - Snail Lifting Cream [70ml]					408285.22	93830.38		1469872.32	186091.15		151081.79	24934.11		1082.06	209.27					18085.78	4397.82		130692.16	27109.65		143316.85	18621.43		203462.17	-80746.94		235580.88	-9594.37		171365.49	-27176.75		302774.29	-41190.18		430073.41	-15561.55	311	590049.30	-36340.61	1987	585606.58	-26980.90	1009	385225.84	66831.35	824	268313.94	54822.09	854	296979.54	49665.81	448	151553.03	25569.42	5433	5943400.65	314491.18
152115510	sBotW200					79072.51	43619.38		229851.04	81226.82		253570.67	117749.06		604730.97	277282.77		33628.08	15065.02		485297.62	205229.59		900566.71	353584.96		341786.33	124130.08		157953.71	55014.18		210773.54	58399.05		188032.28	38953.11		120506.60	4511.67		69441.59	15600.87	2	29276.03	5464.53	38	89786.08	8024.85	401	1127618.42	133083.36	162	608504.23	74126.29	1	9655.28	806.46				604	5540051.69	1611872.05
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]					70365.75	22643.47		337105.84	76688.89		382576.02	104392.31		656203.50	168908.18		552603.33	140093.49		415124.50	101914.89		332481.30	63920.37		268221.62	39997.90		201664.54	-17903.87		151823.24	-487.96		8774.60	1051.20		46124.62	-1625.10		247155.69	2686.78	58	224722.05	27725.54	575	470299.75	49951.47	825	691636.95	70621.75	82	184661.04	14930.07	20	1894.80	200.79	199	153159.16	40343.52	1759	5396598.30	906053.69
240311751	Робот мойщик окон sBot w250																	44312.49	16533.46		334872.13	124546.16		886937.89	301153.68		237452.23	62910.79		89466.47	-16981.50		265515.71	11375.89		196817.94	-47195.01		166326.28	-22712.62		60209.53	6226.43		54304.83	6861.67	26	55135.70	-1402.56	236	1240335.68	496207.19	232	777672.17	69796.42	110	342516.63	18688.22	43	101972.77	-1114.90	647	4853848.45	1024893.32
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]					241846.63	91847.95		425338.16	163271.27		216272.69	98174.65		67439.43	28756.52		-3.60	-3.60		3396.96	1427.08		77619.28	30730.84		39352.59	14268.05		146134.72	46687.96		202631.12	69747.53		340551.22	111917.12		671366.02	148093.96		1007254.74	253214.09		10685.68	3224.79		-22.80	-22.80	473	280261.24	85680.40	566	382432.15	121112.17	535	406907.43	132946.34	449	220732.40	43398.39	2023	4740196.06	1444472.71
180852804	Скалер белый v1					111576.40	-11273.98		1174462.13	-216696.45		1206940.30	-133388.85		1021421.84	-23326.95		169686.91	11369.09		63577.32	3139.54		88418.05	-750.73		153081.49	-4032.81		79122.82	-6805.38		66715.16	-7724.08		64215.06	-12218.96		27964.11	-8461.10		330144.85	171155.76	16	45342.74	-21452.66	43	36305.02	-17331.87	1	3998.92	-514.82	5	4041.53	-480.89	16	11898.71	-544.91	7	1558.60	-697.56	88	4660471.96	-280037.61
