Артикул_ВБ	Название	Остаток_API_шт	Объем_л	Остаток_цена_постав_руб	Остаток_себестоимость_руб	В_пути_к_клиенту_шт	В_пути_от_клиента_шт
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	469	340.49	358785	75649.70	1	
868516027	Celimax Dual Barrier Creamy Toner	211	155.09	411450	140074.46	12	
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N						
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	17	3.06	32402	8707.06	1	
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	193	140.70	268270	83192.65	2	
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	91	51.60	101010	28559.44	7	
151132052	ENOUGH COLLAGEN 3IN1 21	21	5.04	20034	4690.35	1	
207482718	JIGOTT - Snail Lifting Cream [70ml]	172	50.57	127452	34790.44	1	
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	146	54.75	299446	77686.60	2	
150925322	Collagen_Enough_Moisture_Foundation_21	44	27.50	43560	10686.72		
207796350	ELIZAVECCA - CER-100  [100ml]	155	70.53	147870	37545.65		
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	291	372.48	523800	134788.29	62	15
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	179	225.54	252390	71012.88	18	
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	105	29.40	91350	21326.55	4	
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	196	163.07	249312	68160.96	14	2
255574453	JIGOTT - MASK 15	4	4.76	5088	1336.20		
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	45	37.44	57240	17570.70	6	
214977901	JMSOLUTION - Mask Pack Black	72	102.60	108000	33350.40		
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	146	82.78	290102	81202.28		
170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	54	21.60	54108	14561.10	3	
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	119	149.94	154938	47209.68	3	
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	176	158.40	325952	124586.88	4	
198147185	Manyo_Complex_Ampoule	30	9	111420	26993.40		
551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	48	13.44	120576	29924.64		
154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	84	29.40	53508	7742.28		
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	48	47.04	82080	24591.36	1	
150925321	Collagen_Enough_Moisture_Foundation_13	13	9.36	12870	2813.85	36	3
207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	48	27.36	35520	7750.56		
437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	24	13.61	60120	26231.04		
208202076	EKEL Ampule Сream Сollagen [70ml]	17	5.00	11883	2416.21		
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	51	31.88	50235	12528.15	11	3
207465786	HEIMISH - All Clean Balm Mandarin [120ml]	62	35.15	105462	42511.54		
551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	68	20.40	172992	58759.48		
151313163	Etude Baking Powder Crunch Pore Scrub	111	62.16	141192	40074.33	9	3
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	48	44.69	50400	12737.28	3	
179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	39	15.79	55809	16202.94		
437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	21	6.05	64890	24389.61	1	
208208674	Рация_UV-82 (1 шт)	2	4.76	5686	2772.06		
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	49	35.57	33222	9010.12	1	
868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	28	7.84	18060	3664.08	3	1
551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	35	10.50	73430	26734.05		
214964091	JMSOLUTION - Mask Pack Disney	55	68.31	92400	25476		
206058262	ELIZAVECCA_galactomyces_Ample	16	4.80	25440	7162.24		
206057411	ELIZAVECCA_fruit_toner	9	3.38	10494	2953.71	4	
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	43	9.63	38700	9964.39	1	
198156472	Manyo_Galac_Vita_Serum	11	2.11	26961	7115.13		
207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	55	31.18	87450	26643.10	5	
207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	93	23.44	83700	26164.62	7	
170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон						
179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	14	5.67	18032	5816.44		
198156698	Manyo_Pure_Cleansing_Oil	36	18	120960	30708	3	
608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	32	21.89	25440	4836.16	1	
551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	31	10.07	71951	21314.98		
170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	30	12	28350	8089.50	2	
551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	39	7.72	24804	10625.16		1
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	46	64.77	138000	34035.86		
180711104	Petitfee GOLD	14	5.67	20034	5816.44		
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	12	11.17	12600	3184.32	2	
190159348	Elizavecca 24k gold snail Cleansing Foam 180ml						
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	12	5.04	48600	11961		
212889027	Enoughcollagenwhiteningcovertip	12	5.62	12720	2198.88		
437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	27	9.45	54270	25828.74	3	
207483780	JIGOTT - Birds Nest Firming Cream [70ml]	14	4.12	11130	2831.78	2	
180852804	Скалер белый v1	38	52.25	68400	36917.76		
212757456	JIGOTT - Daily Real Cica Toner [300ml]	67	62.38	70350	17779.12	4	1
551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	64	11.26	32640	6204.16		
180988755	Petitfee B-Glucan Deep Firming Eye Mask	10	7.26	15270	4866.90		
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2						
214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	24	149.76	63336	17444.40	1	
176944957	sBotW300	22	299.20	129360	74043.64		
611747838	Collagen_Enough_Moisture_Foundation_23					1	
1152680017	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER						
212889028	Enoughcollagenwhiteningcovertip03	10	4.68	10600	1832.40		
236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	1	1.50	1421	367.85		
179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask						
212889025	Enoughcollagenwhiteningcovertip01	19	8.89	20140	3481.56	1	
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	70	43.75	62300	18956.70	14	
190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	2	1.15	3816	1204.36		
663654300	videokamera4gneww	19	77.98	76532	38928.15		
437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	13	4.55	27300	10656.36	1	
180711041	Petitfee EGF						
551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	11	7.13	25707	7915.38		
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	27	23.33	40365	12910.59		1
206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	25	7.35	39750	14330.25	1	
608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	10	27	12720	3148.50	1	
214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	6	2.16	8292	1764.90		
608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	10	27	11660	2698.70		
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон						
174668134	Пистолет перкуссионный V1	42	135.83	38472	22288.14		
214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	11	7.70	23320	6540.71	1	
199427475	Dr.Jart_Teatreatment_Toner	30	9.75	60000	19136.70		
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	16	6.40	37312	12105.44	1	1
154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	23	63.11	34132	8969.77		
1177994944	PETITFEE MASK 5	50	57.60	70950	24400		
210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	17	4.62	12172	1838.55		
214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	2	0.35	3922	735.78		
1175175447	PETITFEE MASK 6	44	50.69	63228	26092		
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	29	36.54	37758	11622.04	11	
207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	18	4.90	11466	1946.70		
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	19	7.70	22382	7365.73	3	
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	6	6.17	12726	4590		
1177994945	PETITFEE MASK 7	40	46.08	89040	27544		
179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	14	5.67	19096	5390.70		
207483179	JIGOTT - Snail Reparing Cream [100ml]	27	12.10	20007	5018.22	4	1
