Артикул_ВБ	Название	ЗаказыАБС	ВыручкаАБС	МаржаАБС	Тег	Объем_л	Остаток_FBO_шт	Остаток_FBS_шт	Ед_коробах	Палет	Ед_коробах_в_день	Палет_в_день	Стоим_день_ед	Стоим_день_палету	Объем_дней_л	Сумма_хранения_руб	Хранение_коробка	Хранение_палета	Продано_API_шт	Стоим_ед_продажи_API
176944957	sBotW300	B	A	C		13.60		79		18897		20.86		1.96		12526.87	36966.71		36966.71		299
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	A	A	A		1.26		289		118990		131.34		0.28		3503.90	33228.96		33228.96		6538
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	A	A	A		0.73		1341		174340		192.43		0.15		1128.78	26279.40		26279.40		9070
240311751	Робот мойщик окон sBot w250	B	A	B		13.60		9		13504		14.91		1.68		9639.14	22707.41		22707.41		576
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	A	A	C		0.28		81		136722		150.91		0.16		189.56	21710.41		21710.41		1201
151313163	Etude Baking Powder Crunch Pore Scrub	A	A	A		0.56		167		137556		151.83		0.15		1338.96	20285.68		20285.68		5749
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	A	A	A		0.83		239		133813		147.70		0.15		1718.08	19499.32		19499.32		9409
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	A	A	A		1.28		293		95954		105.91		0.19		1673.41	17961.84		17961.84		10878
207482718	JIGOTT - Snail Lifting Cream [70ml]	A	A	A		0.29		443		102665		113.32		0.15		547.09	15371.34		15371.34		5563
100680843	sBotW120_100680843	B	A	B		13.60				9005		9.94		1.42		5023.20	12800.94		12800.94		885
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	A	A	A		1.26		41		44920		49.58		0.27		3014.73	12306.64		12306.64		2118
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	B	C	C		0.28		678		124979		137.95		0.09		385.84	11708.69		11708.69		359
150925321	Collagen_Enough_Moisture_Foundation_13	A	B	B		0.72		191		81576		90.04		0.14		906.48	11688.02		11688.02		717
