Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1341	973.57	475	161.30	32.50	96	115.67	3.24	0.73	2.44	1025865		4344.84	333406.13	47624.30	41671.26	34.76	56.08	12.65	7.33
868516027	Celimax Dual Barrier Creamy Toner	712	523.32	1191	663.86	32.50	90	0.26	3	0.74	2.44	1388400		2136	451230	63401.27	55476.11	58.93	391.22	31.64	20.06
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	678	189.84	465	189.27	32.50	96		2.82	0.28	2.44	508500		1911.96	165262.50	23571.59	20625.14	66.43	125.73	29.66	16.76
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	555	99.90	1183	512.18	32.50	90	215.11	3.51	0.18	2.44	1057830		1948.05	343794.75	49088.97	42952.85	57.64	295.21	24.53	15.49
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	486	354.29	863	431.05	32.50	95	258.37	2.97	0.73	2.44	675540		1443.42	219550.50	31358.36	27438.56	16.47	70.98	8.36	5.11
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	480	272.16	689	313.84	32.50	97	129.30	3.18	0.57	2.44	532800		1526.40	173160	24726.73	21635.89	45.66	143.31	21.78	12.91
151132052	ENOUGH COLLAGEN 3IN1 21	469	112.56	612	223.35	32.50	97		3.24	0.24	2.44	447426		1519.56	145413.45	21460.04	18777.53	92.13	205.78	37.21	21.57
207482718	JIGOTT - Snail Lifting Cream [70ml]	443	130.24	460	202.27	32.50	96	106.84	2.94	0.29	2.44	328263		1302.42	106685.48	15235.89	13331.40	9.53	19.27	4.41	2.60
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	378	141.75	1253	532.10	32.50	91	206.85	3.09	0.38	2.44	775278		1168.02	251965.35	35411.89	30985.40	69.92	372.05	28.66	18.14
150925322	Collagen_Enough_Moisture_Foundation_21	370	231.25	634	242.88	32.50	93	386.53	2.58	0.63	2.44	366300		954.60	119047.50	17538.69	15346.36	-69.72	-169.34	-28.92	-17.11
207796350	ELIZAVECCA - CER-100  [100ml]	350	159.25	659	242.23	32	93	118.48	3.39	0.46	2.44	333900		1186.50	106848	17244.86	15089.25	23.59	57.14	10.45	5.99
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	293	375.04	1099	463.19	32.50	91	73.84	3.84	1.28	2.44	527400		1125.12	171405	24075.29	21065.88	85.06	393.99	35.69	21.89
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	289	364.14	960	396.72	31	94	154.10	4.14	1.26	2.44	407490		1196.46	126321.90	20743.18	18150.28	40.49	160.63	18.45	11.39
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	247	69.16	540	203.11	32.50	95	93.44	3.15	0.28	2.44	214890		778.05	69839.25	9972.34	8725.79	53.67	109	20.87	12.53
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	239	198.85	777	347.76	32.50	96	62.89	3	0.83	2.44	304008		717	98802.60	13884.34	12148.79	65.83	228.94	29.37	18
255574453	JIGOTT - MASK 15	231	274.89	866	334.05	32.50	100		4.20	1.19	2.44	293832		970.20	95495.40	14956.71	13087.12	84.26	281.48	36.77	22.13
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	231	192.19	777	390.46	32.50	93	91.79	3.42	0.83	2.44	293832		790.02	95495.40	13419.59	11742.14	40.08	156.51	20.09	12.30
214977901	JMSOLUTION - Mask Pack Black	229	326.32	1021	463.20	32.50	90		4.47	1.43	2.44	343500		1023.63	111637.50	17481.05	15295.92	61.71	285.85	31.25	19.06
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	220	124.74	1273	556.18	32.50	79	3615.73	2.97	0.57	2.44	437140		653.40	142070.50	20939.07	18321.68	-552.29	-3071.73	-249.86	-154.59
170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	205	82	642	269.65	32.50	96		3.24	0.40	2.44	205410		664.20	66758.25	9840	8610	75.99	204.90	34.07	20.45
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	203	255.78	886	396.72	31	98	73.69	4.05	1.26	2.44	264306		822.15	81934.86	13447.33	11766.41	44.11	174.99	21.95	13.44
551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	203	182.70	1187	707.88	32.50	94	382.61	3.09	0.90	2.44	375956		627.27	122185.70	18015.78	15763.80	-8.26	-58.49	-5.07	-3.16
198147185	Manyo_Complex_Ampoule	194	58.20	2176	899.78	32.50	97		2.85	0.30	2.44	720516		552.90	234167.70	31562.17	27616.90	141.05	1269.16	51.85	34.17
551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	194	54.32	1560	623.43	32.50	100		3.51	0.28	2.44	487328		680.94	158381.60	22627.29	19798.88	122.90	766.22	47.65	30.50
154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	193	67.55	440	92.17	32.50	94	79.61	3	0.35	2.44	122941		579	39955.83	6349.16	5555.51	63.56	58.59	17.38	9.20
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	193	189.14	1044	512.32	32.50	89	216.82	2.76	0.98	2.44	330030		532.68	107259.75	15064.82	13181.72	32.03	164.08	15.49	9.60
150925321	Collagen_Enough_Moisture_Foundation_13	191	137.52	634	216.45	32.50	95	128.01	3	0.72	2.44	189090		573	61454.25	9053.76	7922.04	53.90	116.67	19.88	11.79
207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	191	108.87	511	161.47	32.50	94		3.06	0.57	2.44	141340		584.46	45935.50	7297.27	6385.11	85.54	138.12	33.42	18.67
437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	188	106.60	1555	1092.96	32.50	89	737.81	3.15	0.57	2.44	470940		592.20	153055.50	21857.20	19125.05	-40.01	-437.26	-27.14	-17.46
208202076	EKEL Ampule Сream Сollagen [70ml]	183	53.80	434	142.13	32.50	98		3.09	0.29	2.44	127917		565.47	41573.03	5938.09	5195.83	97.13	138.05	35.74	19.75
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	172	107.50	631	245.65	32.50	92	84.77	3	0.63	2.44	169420		516	55061.50	8114.54	7100.22	72.54	178.19	28.10	18.09
207465786	HEIMISH - All Clean Balm Mandarin [120ml]	170	96.39	1107	685.67	32.50	97		3.33	0.57	2.44	289170		566.10	93980.25	14070.28	12311.50	28.24	193.65	18.40	11.38
551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	168	50.40	1579	864.11	32.50	100		3.42	0.30	2.44	427392		574.56	138902.40	19833.42	17354.24	62.77	542.44	33.35	21.32
151313163	Etude Baking Powder Crunch Pore Scrub	167	93.52	878	361.03	32.50	95	84.36	2.88	0.56	2.44	212424		480.96	69037.80	10962.69	9592.36	49.77	179.67	23.18	14.12
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	167	155.48	641	265.36	32.50	98	84.09	3.18	0.93	2.44	175350		531.06	56988.75	8003.51	7003.07	55.21	146.50	23.53	13.95
179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	150	60.75	1003	415.46	32.50	91		3.42	0.41	2.44	214650		513	69761.25	11248.60	9842.52	70.08	291.14	33.48	20.34
437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	149	42.91	1841	1161.41	32.50	90	561.96	3.18	0.29	2.44	460410		473.82	149633.25	20509.08	17945.45	7.10	82.43	4.02	2.67
208208674	Рация_UV-82 (1 шт)	147	349.86	1944	1386.03	27.50	77	523.91	6.84	2.38	2.44	417921		1005.48	114928.28	21365.83	18695.10	-19.18	-265.80	-13.96	-9.35
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	144	104.54	421	183.88	32.50	98	148.68	3.84	0.73	2.44	97632		552.96	31730.40	4532.64	3966.06	-41.94	-77.12	-21.36	-11.37
868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	143	40.04	432	130.86	28.50	88	114.94	2.88	0.28	2.44	92235		411.84	26286.98	4618.77	4041.42	21.27	27.83	7.34	4.31
551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	135	40.50	1282	763.83	32.50	97		3.90	0.30	2.44	283230		526.50	92049.75	12939.81	11322.34	47.36	361.75	27.48	17.24
214964091	JMSOLUTION - Mask Pack Disney	134	166.43	1144	463.20	32.50	91		3.93	1.24	2.44	225120		526.62	73164	11461.38	10028.71	85.35	395.35	38.16	23.53
206058262	ELIZAVECCA_galactomyces_Ample	133	39.90	971	447.64	32.50	100		3.66	0.30	2.44	211470		486.78	68727.75	9655.55	8448.61	82.64	369.94	37.84	23.27
206057411	ELIZAVECCA_fruit_toner	124	46.50	712	328.19	32.50	98	89.81	3.75	0.38	2.44	144584		465	46989.80	6600.97	5775.85	40.69	133.53	19.47	11.45
