Артикул_ВБ	Название	Остаток_шт	Выкуп_ФинОтчет_%	Выкуп_API_%	Выкуп_ЛК_%	Выкуп_АВТО_%	Возврат_ФинОтчет_%	Возврат_API_%	Возврат_АВТО_%	Продаж_ФинОтчет	Возвратов_ФинОтчет	Заказов_API	Продаж_API
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	293	91.19	86.52	86.17	91.19				3696		4539	3927
868516027	Celimax Dual Barrier Creamy Toner	712	86.75	88.40	88.08	86.75	0.03		0.03	3452	1	4008	3543
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	239	95.04	94.94	94.94	95.04				1915		2016	1914
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1341	96.50	100	100	96.50				1325		1219	1308
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	289	94.35	94.20	93.07	94.35				1019		1086	1023
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	378	89.35	85.10	84.65	89.35				779		960	817
151313163	Etude Baking Powder Crunch Pore Scrub	167	93.68	95.11	96	93.68				711		757	720
207482718	JIGOTT - Snail Lifting Cream [70ml]	443	95.57	100	100	95.57				645		606	637
150925321	Collagen_Enough_Moisture_Foundation_13	191	94.34	70.36	69.39	94.34				367		604	425
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	480	95.58	83.21	82.75	95.58				389		536	446
238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	247	96.16	95.03	94.64	96.16				476		503	478
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	486	95.35	97.25	97.25	95.35				451		472	459
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	41	96.34	98.30	98.09	96.34				447		470	462
437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	193	89.18	86.89	85.88	89.18				346		427	371
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	81	96.97	100	100	96.97				479		423	456
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	172	91.23	88.35	87.40	91.23				333		369	326
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	203	98.01	93.96	94.48	98.01				344		364	342
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	58	90.61	80.12	79.82	90.61				251		327	262
868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	143	86.17	85.17	83.90	86.17				218		263	224
207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	119	95.83	92.97	92.25	95.83				230		256	238
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	231	93.33	94.67	91.63	93.33				238		244	231
198156472	Manyo_Galac_Vita_Serum	122	88.33	89.45	90.17	88.33				212		237	212
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	37	90.97	69.30	71.98	90.97	0.76	0.67	0.76	132	1	215	150
212757456	JIGOTT - Daily Real Cica Toner [300ml]	87	92.82	87.38	88.21	92.82				181		214	187
207483179	JIGOTT - Snail Reparing Cream [100ml]	39	95.28	100	99.04	95.28				202		207	207
207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	120	98.39	92.54	91.63	98.39				183		201	186
214964091	JMSOLUTION - Mask Pack Disney	134	91.32	100	100	91.32				221		198	213
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	40	97.85	94.92	93.50	97.85				182		197	187
170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	205	92.90	87.76	87.76	92.90		0.58		170		196	173
170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	104	87.20	86.29	84.83	87.20				143		175	151
212889025	Enoughcollagenwhiteningcovertip01	71	87.88	87.72	86.21	87.88				145		171	150
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	28	90.81	95.12	96.89	90.81				168		164	156
437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	149	89.51	93.13	94.30	89.51				145		160	149
151175877	Petitfee Agave Cooling Hydrogel Eye Mask	38	98.14	100	98.73	98.14				158		151	156
198147185	Manyo_Complex_Ampoule	194	92.16	95.95	94.04	92.16				141		148	142
238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	144	96.40	100	100	96.40				134		138	142
150925322	Collagen_Enough_Moisture_Foundation_21	370	92.17	81.62	81.02	92.17				106		136	111
170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон		85.83	84.25	81.68	85.83	0.97	0.93	0.97	103	1	127	108
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	70	94.74	78.57	73.88	94.74				90		126	99
