Артикул_ВБ	Товар	Реклама_A_руб	Заказы_с_рекл	ДРР_%	CPO_руб	Клики	Реклама_B_руб	Действие
207796898	ENOUGH - Gold Snail Moisture Found	6456	5	122.7	1291	261	1	ОТКЛЮЧИТЬ (ДРР 123%) НОВЫЙ ЗАПУСК
207476309	FARMSTAY Argan Oil Complete Volume	6118	6	68.6	1020	183	6	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
207796789	ENOUGH - Gold Snail Moisture Found	5086	8	61.3	636	151	1	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
170198835	Enough Collagen Foundation Cover U	4735	4	114.0	1184	191	0	ОТКЛЮЧИТЬ (ДРР 114%) НОВЫЙ ЗАПУСК
207483179	JIGOTT - Snail Reparing Cream [100	4688	15	42.0	313	129	0	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
551607905	CELIMAX JI WOO GAE CICA BHA BLEMIS	3685	4	41.9	921	190	8	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
551540924	CELIMAX PORE+DARK SPOT BRIGHTENING	3596	2	86.1	1798	145	14	ОТКЛЮЧИТЬ (ДРР 86%) НОВЫЙ ЗАПУСК
207472742	FARMSTAY - Black Garlic Nourishing	3574	4	42.8	893	140	6	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
255574453	JIGOTT - MASK 15	3352	3	83.6	1117	136	1	ОТКЛЮЧИТЬ (ДРР 84%) НОВЫЙ ЗАПУСК
169076150	FARMSTAY ESCARGOT NOBLESSE INTENSI	3320	4	69.9	830	77	6	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
207483780	JIGOTT - Birds Nest Firming Cream 	3283	4	92.4	821	105	0	ОТКЛЮЧИТЬ (ДРР 92%) НОВЫЙ ЗАПУСК
207475898	FARMSTAY - Collagen Water Full Sha	3250	2	113.6	1625	63	1	ОТКЛЮЧИТЬ (ДРР 114%) НОВЫЙ ЗАПУСК
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSI	3185	5	47.6	637	50	2	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
207482718	JIGOTT - Snail Lifting Cream [70ml	3144	6	60.3	524	158	1	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
207469760	FARMSTAY - Gold Snail Premium Crea	3031	2	72.6	1516	48	1	ОТКЛЮЧИТЬ (ДРР 73%) НОВЫЙ ЗАПУСК
1123494802	VT Reedle Shot	3026	3	45.0	1009	117	0	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
437242640	ROUND LAB MUGWORT CALMING CLEANSER	3024	2	78.0	1512	110	16	ОТКЛЮЧИТЬ (ДРР 78%) НОВЫЙ ЗАПУСК
198156472	Manyo_Galac_Vita_Serum	3020	3	37.9	1006	98	0	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
1119249556	VT PDRN Essence 100	3018	2	42.0	1509	83	0	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
212760119	JIGOTT - Ultimate Real Collagen To	3014	3	84.6	1005	67	0	ОТКЛЮЧИТЬ (ДРР 85%) НОВЫЙ ЗАПУСК
212757456	JIGOTT - Daily Real Cica Toner [30	3005	2	130.9	1503	64	3	ОТКЛЮЧИТЬ (ДРР 131%) НОВЫЙ ЗАПУСК
214977901	JMSOLUTION - Mask Pack Black	2291	2	70.0	1145	84	0	РЕЗКО СНИЗИТЬ СТАВКУ НОВЫЙ ЗАПУСК
1123574113	Round Lab 1025 Dokdo Toner	1696	1	75.0	1696	164	0	ОТКЛЮЧИТЬ (ДРР 75%) НОВЫЙ ЗАПУСК
