Артикул	Название	Текущий_магазин_шт	Новый_магазин_шт	Факт_продажи_мес	Остаток_ВБ_шт
868516027	Celimax Dual Barrier Creamy Toner, тонер 150 мл	5850	150	4299	827
168956391	FARMSTAY - Collagen & Hyaluronic Acid All-In One Ampoule [250ml] / Сыворотка с коллагеном и гиалуроновой кислотой	2577	1261	1576	575
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	150	1078	1347	2551
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	919	984	1230	1541
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml] / Шампунь-кондиционер 2в1 с экстрактом черного чеснока	1203	707	884	565
207482718	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	1246	668	835	424
151313163	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	992	531	664	336
207469760	FARMSTAY - Gold Snail Premium Cream [50ml] / Омолаживающий крем с муцином улитки и коллоидным золотом	616	446	557	498
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	512	383	479	446
169076150	FARMSTAY - Escargot Noblesse Intensive Cream [50g] / Крем с муцином королевской улитки	337	342	428	519
207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13] / Тональный крем с муцином улитки 13 тон	350	150	314	182
207483179	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	463	187	234	5
198156472	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	349	177	221	93
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	434	174	217	0
419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE/ сыворотка с улиткой	150	150	176	223
198147185	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	178	150	166	154
