Приоритет	Артикул_ВБ	Название	Бренд	Предмет	Локализация_%	Нелок_заказов	Рекомен_всего_шт	НашСклад_шт	WB_Коротич_шт	Итого_наличие	Нехватка_шт	Покрытие_%	Себест_руб	Прибыль_на_шт	Прогн_прибыль	ИРП_экономия_мес	Маржа_итого_история	Склад_WB	Нелок_заказов_склад	Лок%_склад	ЕстьWB_шт	Везти_шт	1_волна	Доставка
1_СРОЧНО	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания л	round lab	Пенки	88	490	1456	15080	2	15082	0	100	491	421	612770	9803	3168016	Новосибирск	344	3	0	414	194	4д 10ч
																		Санкт-Петербург	38	71	22	129	61	1д 6ч
																		Минск	38	0	0	45	21	1д 15ч
																		Казань	25	88	71	166	78	1д 7ч
																		Коледино/Электросталь	16	96	82	363	170	1д 2ч
																		Казахстан	15	0	0	18	9	4д 0ч
																		Краснодар	14	95	1	321	150	1д 11ч
1_СРОЧНО	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ре	Celimax	Сыворотки	100	152	191	4765	526	5291	0	100	0	691	132006	4667	597831	Новосибирск	99	0	0	115	54	4д 8ч
																		Санкт-Петербург	28	58	47	31	15	1д 12ч
																		Казань	13	80	46	31	15	1д 7ч
																		Минск	12	0	0	14	7	1д 8ч
1_СРОЧНО	151313163	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для 	Etude house	Скрабы	100	179	202	9240	283	9523	0	100	383	384	77484	5631	2070250	Новосибирск	132	1	0	156	73	4д 4ч
																		Санкт-Петербург	32	52	57	20	10	2д 1ч
																		Казань	15	83	79	26	13	1д 6ч
1_СРОЧНО	207482718	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антиво	Jigott	Кремы	100	267	477	8511	477	8988	0	100	214	173	82578	3195	314491	Новосибирск	149	1	0	176	83	3д 17ч
																		Санкт-Петербург	45	32	41	36	17	2д 10ч
																		Краснодар	35	80	46	161	76	1д 15ч
																		Казань	20	82	46	83	39	1д 8ч
																		Минск	18	0	0	21	10	1д 16ч
1_СРОЧНО	198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого 	manyo	Гидрофильные масла	86	54	72	300	132	432	0	100	904	1169	84141	1661	841787	Коледино/Электросталь	26	21	0	39	19	1д 13ч
																		Новосибирск	17	0	0	20	10	4д 0ч
																		Санкт-Петербург	11	0	0	13	7	2д 11ч
1_СРОЧНО	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13] / Тональный крем с м	ENOUGH	Тональные кремы	99	126	223	400	170	570	0	100	260	313	69754	1333	501886	Новосибирск	58	0	0	68	32	4д 5ч
																		Екатеринбург	32	20	0	47	22	1д 18ч
																		Минск	25	0	0	30	14	1д 16ч
																		Казань	11	84	0	78	37	1д 7ч
1_СРОЧНО	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем д	ENOUGH	Кремы	99	227	269	9759	1480	11239	0	100	171	195	52467	2096	3790389	Новосибирск	174	1	0	205	96	3д 9ч
																		Минск	31	0	0	36	17	2д 4ч
																		Казахстан	12	0	0	14	7	3д 16ч
																		Армения	10	17	0	14	7	4д 4ч
1_СРОЧНО	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания 	manyo	Пенки	100	39	59	945	113	1058	0	100	784	1052	62046	605	90197	Новосибирск	16	0	0	19	9	4д 6ч
																		Санкт-Петербург	12	8	0	16	8	2д 4ч
																		Краснодар	11	72	22	24	12	1д 18ч
1_СРОЧНО	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидро	Petitfee	Маски гидрогелевые	79	87	107	1140	5	1145	0	100	508	398	42543	1689	318182	Новосибирск	34	0	0	40	19	5д 1ч
																		Краснодар	24	4	0	30	14	2д 1ч
																		Санкт-Петербург	19	10	1	24	12	1д 20ч
																		Екатеринбург	10	9	0	13	7	2д 3ч
1_СРОЧНО	198147185	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка	manyo	Сыворотки	100	20	25	1650	239	1889	0	100	954	1417	35429	2221	1921129	Новосибирск	20	5	0	25	12	3д 23ч
1_СРОЧНО	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA+++ [50ml] / отбеливающий увл	ENOUGH	Кремы	100	89	106	573	242	815	0	100	215	291	30813	2533	707753	Новосибирск	47	0	0	55	26	3д 16ч
																		Краснодар	28	73	85	34	16	1д 16ч
																		Минск	14	0	0	17	8	1д 15ч
1_СРОЧНО	198156472	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Ви	manyo	Сыворотки	100	35	41	1010	156	1166	0	100	686	746	30592	2131	934716	Новосибирск	35	0	0	41	20	4д 5ч
1_СРОЧНО	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21] / Тональный крем с м	ENOUGH	Тональные кремы	100	99	138	400	10	410	0	100	287	235	32474	932	75628	Коледино/Электросталь	36	12	0	48	23	2д 1ч
																		Новосибирск	33	3	0	40	19	4д 1ч
																		Казань	15	44	0	32	15	1д 17ч
																		Санкт-Петербург	15	0	0	18	9	2д 5ч
2_ОТГРУЗИТЬ	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-п	Celimax	Пэды косметические	73	47	67	1881	71	1952	0	100	0	443	29657	1319	-28898	Новосибирск	26	0	0	31	15	4д 19ч
																		Краснодар	21	32	0	36	17	2д 1ч
2_ОТГРУЗИТЬ	169198316	ETUDE - Baking Powder Pore Cleansing Foam [160ml] / Пенка для умывания	Etude house	Скрабы	58	76	71	0	48	48	23	68	276	348	24673	879	208861	Новосибирск	43	2	0	52	25	4д 16ч
																		Краснодар	18	44	37	1	1	1д 22ч
																		Санкт-Петербург	15	0	0	18	9	1д 18ч
2_ОТГРУЗИТЬ	179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи	Petitfee	Патчи	77	59	111	1000	37	1037	0	100	440	231	25651	796	317842	Коледино/Электросталь	21	51	0	50	24	1д 12ч
																		Санкт-Петербург	16	0	0	19	9	2д 5ч
																		Новосибирск	12	0	0	14	7	3д 12ч
																		Казань	10	58	0	28	14	1д 7ч
2_ОТГРУЗИТЬ	151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидро	Petitfee	Патчи	100	39	46	1178	76	1254	0	100	440	328	15080	870	268706	Минск	23	0	0	27	13	1д 16ч
																		Новосибирск	16	0	0	19	9	5д 14ч
2_ОТГРУЗИТЬ	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	LANEIGE	Бальзамы	100	71	93	679	203	882	0	100	139	235	21830	255	-7453	Казань	24	0	0	28	14	1д 23ч
																		Новосибирск	19	0	0	23	11	4д 22ч
																		Краснодар	15	48	8	26	13	1д 17ч
																		Санкт-Петербург	13	0	0	16	8	1д 21ч
2_ОТГРУЗИТЬ	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывани	round lab	Пенки	84	40	48	2326	235	2561	0	100	543	372	17837	436	124954	Новосибирск	40	2	0	48	23	3д 21ч
2_ОТГРУЗИТЬ	212889025	ENOUGH Collagen whitening cover tip concealer #01 [9g]/Консилер для ли	ENOUGH	Корректоры	100	35	42	794	108	902	0	100	194	440	18467	302	-16661	Новосибирск	21	0	0	25	12	5д 6ч
																		Санкт-Петербург	14	0	0	17	8	2д 6ч
