Приоритет	Тип	Заголовок	Цена, руб	Категория Авито	Описание	Что входит	Локация	Нужны фото
1	отдельное	Клинкет Ду 300 судовой	250 000	Оборудование для бизнеса / Промышленное	Клинкет Ду 300 В наличии 16 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клинкет Ду 300 — 16 шт	Фойе	да
1	отдельное	Задвижка клинкетная Ду 250 судовой	150 000	Оборудование для бизнеса / Промышленное	Задвижка клинкетная Ду 250 В наличии 17 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Задвижка клинкетная Ду 250 — 17 шт	Склад 1А/1Б	да
1	отдельное	Насос НЦВ 100/80 судовой	2 000 000	Оборудование для бизнеса / Промышленное	Насос НЦВ 100/80 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос НЦВ 100/80 — 1 шт	Гараж 1	да
1	отдельное	Фильтр забортной воды Ду200 Большой судовой	250 000	Оборудование для бизнеса / Промышленное	Фильтр забортной воды Ду200 Большой В наличии 8 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Фильтр забортной воды Ду200 Большой — 8 шт	Фойе	да
1	отдельное	Клинкет Ду 200 судовой	150 000	Оборудование для бизнеса / Промышленное	Клинкет Ду 200 В наличии 11 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клинкет Ду 200 — 11 шт	Фойе	да
1	отдельное	Насос НЦВ 40/20 судовой	400 000	Оборудование для бизнеса / Промышленное	Насос НЦВ 40/20 В наличии 4 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос НЦВ 40/20 — 4 шт	Фойе	да
1	отдельное	НЦВС 40/20 судовой	400 000	Оборудование для бизнеса / Промышленное	НЦВС 40/20 В наличии 3 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	НЦВС 40/20 — 3 шт	Фойе	да
1	отдельное	НЦВ 100/20 двиг. 2ДМШН 160МА2 11кВт 2880об/м	550 000	Оборудование для бизнеса / Промышленное	НЦВ 100/20 двиг. 2ДМШН 160МА2 11кВт 2880об/м В наличии 2 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	НЦВ 100/20 двиг. 2ДМШН 160МА2 11кВт 2880об/м — 2 шт	Фойе	да
1	отдельное	Барабан СЦ-1,5 (новые) судовой	156 000	Оборудование для бизнеса / Промышленное	Барабан СЦ-1,5 (новые) В наличии 5 шт, Владивосток. Состояние: новый. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Барабан СЦ-1,5 (новые) — 5 шт	Склад 2	да
1	отдельное	Датчик ДТ-6 судовой	250 000	Оборудование для бизнеса / Промышленное	Датчик ДТ-6 В наличии 3 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Датчик ДТ-6 — 3 шт	Менеджерская	да
1	отдельное	Фильтр заборной воды ДУ 150 судовой	150 000	Оборудование для бизнеса / Промышленное	Фильтр заборной воды ДУ 150 В наличии 5 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Фильтр заборной воды ДУ 150 — 5 шт	Фойе	да
