Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 2	Фланец приварной	Фланец Ду65		39	39		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайки алюминевые б/у		27	27		0	б/у	комплект			0
Склад 3	ЭЛЕКТРИКА	Выключатель Т-5-4М	21	21	21		0	не указано	комплект			0
Склад 3	Клапан запорн.с присоед.под дюрит проходной	Клапан запорн.с присоед.под дюрит прох. Ду65	ИШТЛ 491112-003-04	20	20		0	не указано	комплект			0
Склад 2	Коробка 2-х клапановая фланцевая	Коробка 2-х клапановая фланцевая Ду80		13	13		0	новый	комплект			0
Склад 3	Задвижки	Задвижки (желтая) ок. крышек	544-03.046	13	13		0	не указано	комплект			0
Склад 2	Фланец приварной	Фланец свободный Ду80	555-35.1755	12	12		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Ротта муфтовая Ду65Ру10	557-3М123	11	11		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Богданова рукавная Ду65Ру10		11	11		0	новый	комплект			0
Склад 3	Клапан невозв-запорн.с присоед.под дюрит проходной	Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50	522-03.122-04	10	10		0	не указано	комплект			0
Склад 2	Клапан редукционный проходной	Клапан редукционный штуц.проход.односедельный Ду20Ру400 у входа	525-03.044	9	9		0	не указано	комплект			0
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан пусковой Ду32Ру125	587-03,082	8	8		0	не указано	комплект			0
Склад 2	Стакан переборочный	Стакан переборочный Ду20Ру100	554-03.905-06	8	8		0	не указано	комплект			0
Склад 2	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая Ду80		8	8		0	не указано	комплект			0
Склад 3	ЗИП	Колесо раб.Насос 1ЭЦНУ 16/40	8	8	8		0	не указано	комплект			0
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан пусковой Ду20Ру125		7	7		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Богданова муфтовая Ду65Ру10	557-35.997-01	7	7		0	новый	комплект			0
Склад 3	Гайка пожарная	Гайка Шторца муфтовая Ду80Ру10		7	7		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ВК-300	7	7	7		0	не указано	комплект			0
Склад 3	Крышка	Крышка с коменсом и жалюзи 290*460	546-03.094	6	6		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ВК-16	6	6	6		0	не указано	комплект			0
Склад 2	Клапана фланцевые проходные титановые	Клапан фланцевый проходной титановые Ду50Ру10	521-182.110	5	5		0	новый	комплект			0
Склад 2	Стакан переборочный	Стакан переборочный Ду10Ру100	554-35.265	5	5		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Шторца цапковая Ду50Ру16	ВН557-78	5	5		0	не указано	комплект			0
Склад 3	Клапан с электромагнитным ручным управлением	Клапан электромагнитный б/у		4	4		0	б/у	комплект			0
Склад 3	Крышка	Крышка с коменсом и жалюзи 120*280	546-03.074-01	4	4		0	не указано	комплект			0
Склад 3	Крышка	Крышка с коменсом и жалюзи 290*730	546-03.096	4	4		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Вилка к ПКЭ-300	4	4	4		0	не указано	комплект			0
Склад 3	ЗИП	Втулка насоса НЦВ 100/30	4	4	4		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное верхнее Насос НЦВ 40/20	4	4	4		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное нижнее Насос НЦВ 40/20	4	4	4		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо для Насос НЦВ 40/20 165-170-36-16	4	4	4		0	не указано	комплект			0
Склад 2	Клапан штуцерный проходной бессальниковый с герметизацией	Клапан штуцерный проходной бессальниковый Ду15/1	521-35.2608-01	3	3		0	не указано	комплект			0
Склад 2	Стакан переборочный	Стакан переборочный Ду20Ру100	554-03.909-03	3	3		0	не указано	комплект			0
Склад 2	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая Ду50		3	3		0	не указано	комплект			0
Склад 3	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая Ду80		3	3		0	не указано	комплект			0
Склад 3	Компенсатор	Компенсатор Ду 150		3	3		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ разный ампераж (брак)	3	3	3		0	не указано	брак			0
Склад 3	ЭЛЕКТРИКА	ВС-1	3	3	3		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Датчик давления Мертик 665 1,0	3	3	3		0	не указано	комплект			0
Склад 2	Клапан фреоновый	Клапан фреоновый саленоидный		2	2		0	новый	комплект			0
Склад 2	Стакан переборочный Ду20Ру100 (в ящике под полкой)	Стакан переборочный Ду25Ру100	554-35.156	2	2		0	не указано	комплект			0
Склад 2	Клапан фланц. концевой пожарный угловой Ду50 Ру25	Клапан фланц. концевой пожарный угловой Ду32 Ру16	595-01-010	2	2		0	не указано	комплект			0
Склад 2	Коробка 2-х клапановая фланцевая	Коробка 2-х клапановая фланцевая Ду50		2	2		0	новый	комплект			0
Склад 3	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая запорная Ду50 Ру6	526-03.107	2	2		0	не указано	комплект			0
Склад 3	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая невозврат.Ду80 Ру6	526-03.097	2	2		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Ротта цапковая Ду65Ру10	557-3М115	2	2		0	не указано	комплект			0
Склад 3	Компенсатор	Компенсатор Ду 200 Ру2,5	551-03.185-01	2	2		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Вентилятор РСС-10/10	2	2	2		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Вентилятор ЦСУ-14	2	2	2		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПВ-3-16	2	2	2		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПВ 3-10	2	2	2		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ДПС-331Р 100А для военной техники	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо для Насос 1ЭЦНУ 16/40 258.5-33-1175	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное верхнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное нижнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Шайба стопорная для Насос НЦВ 40/20	2	2	2		0	не указано	комплект			0
Склад 2	Клапана фланцевые проходные титановые	Клапан фланцевый проходной титановые Ду100Ру10	521-182.116	1	1		0	новый	комплект			0
