Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 13,6х2,7		166	166			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 20,22х3,53		80	80			не указано	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС844		76	76			не указано	комплект			0
ЗИП и насосы	Прочее	Блокформы и балласт		Насосы, сепаратор	Блокформы LBH немец.круглые (отверстие посредине)		71	71			не указано	комплект	Германия		0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 26,0х7,0		70	70			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Пружина форсунки		67	67			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 40,65х5,33		61	61			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 66,52х5,33		58	58			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Кулачки СЦ-1,5		55	55			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Двигатели и ЗИП		6 NVD26 А3	Кольцо к/с ,**511-26702		54	54			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 26,2х3,63		52	52			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 34,5х3,53		50	50			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Толкатель (пята) 602-061-108		47	47			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 46,99х5,33		45	45			не указано	комплект			0
ЗИП и насосы	Прочее	Блокформы и балласт		Насосы, сепаратор	Блокформы LBH русск.овальные		45	45			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Сухари		44	44			не указано	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС901А-I (аккумуляторный)		41	41			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Направляющий клапан (маленький)		40	40			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Клапан ТНВД VD26/20		40	40			не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Фланец приварной		Фланец Ду65		39	39		0	не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Пружина нагнетательного клапана ТНВД		37	37			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное под плунжер		37	37			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Пружина нагнетательного клапана VD26/20		37	37			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Направляющий клапан (большой)		36	36			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 44,2х3,0		36	36			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Кулачки СЦ-3		36	36			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Винт толкателя		32	32			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Болт шатунный(мотылев)		29	29			не указано	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС844(корпкус)		28	28			не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайки алюминевые б/у		27	27		0	б/у	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Выключатель Т-5-4М	21	21	21		0	не указано	комплект			0
Склад 3	Арматура	Клапаны	Клапан запорн.с присоед.под дюрит проходной		Клапан запорн.с присоед.под дюрит прох. Ду65	ИШТЛ 491112-003-04	20	20		0	не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	НЦКГ 6/40;4/40	РТИ НЦКГ 4/40		20	20			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Втулка 602-061-211		20	20			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 29,0х3,0		20	20			не указано	комплект			0
Склад электрики	Электрика	Трансформаторы и питание			Трансформатор ШТ 127/24 40Вт		18	18			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ротокап		14	14			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное под втулку цилиндра		14	14			не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду80		13	13		0	новый	комплект			0
Склад 3	Арматура	Клинкеты и задвижки	Задвижки		Задвижки (желтая) ок. крышек	544-03.046	13	13		0	не указано	комплект			0
Склад электрики	Не разнесено				Извещатель пожарный МДПИ-028		13	13			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Поршень VD26/20		13	13			не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Фланец приварной		Фланец свободный Ду80	555-35.1755	12	12		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо уплотнительное 50,16х5,33		12	12			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Кольцо компресс. d=5мм VD26/20		12	12			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Клапан газораспределения		12	12			не указано	комплект			0
ЗИП и насосы	Не разнесено			6 NVD26 А3	Мотылевый болт ,572-08006		12	12			не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Ротта муфтовая Ду65Ру10	557-3М123	11	11		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Богданова рукавная Ду65Ру10		11	11		0	новый	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС-56		11	11			не указано	комплект			0
Склад электрики	Арматура	Клинкеты и задвижки			Блины к клинкету Ду100		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Винт толкателя с резьбой		11	11			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Втулка 602-061-212		11	11			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Втулка подвода топлива		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ударник длинный		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Шарнир короткий 602-059-103		11	11			не указано	комплект			0
Склад 3	Арматура	Клапаны	Клапан невозв-запорн.с присоед.под дюрит проходной		Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50	522-03.122-04	10	10		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	ЦВС 10/40	РТИ ЦВС 10/40		10	10			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ремкомплект СЦ-3		10	10			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан редукционный проходной		Клапан редукционный штуц.проход.односедельный Ду20Ру400 у входа	525-03.044	9	9		0	не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Клапан нагнетательный ТНВД		9	9			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан пусковой Ду32Ру125	587-03,082	8	8		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду20Ру100	554-03.905-06	8	8		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду80		8	8		0	не указано	комплект			0
