Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру40 (СУНДУК)	521-01.471-01	798	798	9000	7182000	не указано	комплект			7182000
Контейнер 2		Иллюминатор круглый в сборе Ф300мм створчатый		219	70	90000	6300000	не указано	комплект		не пересчитывали контейнер	6300000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 300			16	250000	4000000	не указано	комплект			4000000
Склад 2	Регулятор РТНД	Регулятор РТНД-150		0	3	1150000	3450000	не указано	комплект			3450000
Фойе		Светильник СС328 220V без амортизаторов (китай) 2-й приход		1857	1857	1533	2846781	не указано	не комплект	Китай		2846781
Склад 1А/1Б		Задвижка клинкетная Ду 250		17	17	150000	2550000	не указано	комплект			2550000
Гараж 1		Насос НЦВ 100/80		1	1	2000000	2000000	не указано	комплект			2000000
Фойе	Клапан проходной штуцерный Ду32	Фильтр забортной воды Ду200 Большой		1	8	250000	2000000	не указано	комплект			2000000
Склад 1А/1Б		Клапан фланцевый проходной Ду50 Ру 10 + ДУ 50 Ру 25		98	98	20000	1960000	не указано	комплект			1960000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 200		11	11	150000	1650000	не указано	комплект			1650000
Склад 3	Задвижка клинкетная(бронза)	Задвижка клинкетная Ду100		43	43	38000	1634000	не указано	комплект			1634000
Фойе	Насосы	Насос НЦВ 40/20		4	4	400000	1600000	не указано	комплект			1600000
Фойе		Светильник СС328 с амортизаторами (китай) 1-й приход		967	967	1600	1547200	не указано	комплект	Китай		1547200
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду50		66	66	22500	1485000	не указано	комплект			1485000
Фойе	Насосы	НЦВС 40/20		3	3	400000	1200000	не указано	комплект			1200000
Фойе	Насосы	НЦВ 100/20 двиг. 2ДМШН 160МА2 11кВт 2880об/м		2	2	550000	1100000	не указано	комплект			1100000
Фойе		Светильник СС328 127V без амортизаторов (китай) 2-й приход		715	715	1533	1096095	не указано	не комплект	Китай		1096095
Склад 1А/1Б		Задвижка клинкетная Ду 80 БРОНЗА		44	44	24000	1056000	не указано	комплект			1056000
Склад 3	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 25 (Китай)		79	79	10000	790000	не указано	комплект	Китай		790000
Контейнер 2		Блокформы LBH немец.круглые (отверстие посредине)		71	71	11000	781000	не указано	комплект	Германия		781000
Склад 2	Барабан	Барабан СЦ-1,5 (новые)		5	5	156000	780000	новый	комплект			780000
Склад 2	Клапан педальный	Клапан педальный Ду25 Китай	М528-03.001	62	62	12500	775000	не указано	комплект	Китай		775000
Склад 3	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 20		100	100	7500	750000	не указано	комплект			750000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Датчик ДТ-6		3	3	250000	750000	не указано	комплект			750000
Фойе	Клапан проходной штуцерный Ду32	Фильтр заборной воды ДУ 150			5	150000	750000	не указано	комплект			750000
