Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Гараж 1	Корпусная часть	Крышки и люки			Крышка ВГН 450*600 (задрайка) РОССИЯ б/у		1	1	50000	50000	б/у	комплект	Россия		50000
Гараж 1	Корпусная часть	Крышки и люки			Крышка ВГН 800*800 (Проницаемая)		1	1	75000	75000	не указано	комплект			75000
Гараж 1	Насосное и механическое	Двигатели и ЗИП			Коленвал 18/22		1	1	400000	400000	не указано	комплект			400000
Гараж 1	Корпусная часть	Крышки и люки			Крышка ВГН 450*600 (задрайка) КИТАЙ		2	0		0	не указано	комплект	Китай		0
Гараж 1	Электрика	Реле, датчики, приборы			Пульт 1-маленький 1-большой		2	2	50000	100000	не указано	комплект			100000
Гараж 1	Корпусная часть	Крышки и люки			Крышка ВГН 800*800 (задрайка) КИТАЙ		1	0		0	не указано	комплект	Китай		0
Гараж 1	Корпусная часть	Крышки и люки			Крышка ВГН 800*800 (барашки) КИТАЙ		1	0		0	не указано	комплект	Китай		0
Гараж 1	Корпусная часть	Крышки и люки			Крышка световая с 2-мя иллюминаторами 700х400		1	0		0	не указано	комплект			0
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1300*500 правая		1	1	65000	65000	не указано	комплект			65000
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1400*600 КИТАЙ левая		1	1	50000	50000	не указано	комплект	Китай		50000
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1400*600 КИТАЙ правая		2	2	50000	100000	не указано	комплект	Китай		100000
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1400*600 б/у левая		1	1	10000	10000	б/у	комплект			10000
Гараж 1	Корпусная часть	Двери			Двери АМГ 1400*600 с иллюминат. б/у правая		1	1	70000	70000	б/у	комплект			70000
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1800х750 правая черт.262-01-002.26		1	1	120000	120000	не указано	комплект			120000
Гараж 1	Корпусная часть	Двери			Дверь ВГН 1600х750 правая		1	1	120000	120000	не указано	комплект			120000
Гараж 1	Насосное и механическое	Насосы			Насос НЦВ 100/80		1	1	2000000	2000000	не указано	комплект			2000000
Гараж 1	Электрика	Трансформаторы и питание			Трансформатор ОСЗ-10/0,5 10кВт 50Hz		2	2	57445	114890	не указано	комплект			114890
Гараж 1	Электрика	Трансформаторы и питание			Трансформатор ОСВ-0,5 50Hz		1	1	5500	5500	не указано	комплект			5500
Гараж 1	Электрика	Трансформаторы и питание			Трансформатор ОСВМ-2,5-74 50Hz		1	1	10000	10000	не указано	комплект			10000
Гараж 1	Электрика	Трансформаторы и питание			Трансформатор ОСВМ-0,63-74		1	1	10000	10000	не указано	комплект			10000
Гараж 1	Электрика	Автоматы и контакторы			РНП- 1А 230 Ампер			2	5000	10000	не указано	комплект			10000
Гараж 1	Электрика	Реле, датчики, приборы			Ящик с ЗИП			1	10000	10000	не указано	комплект			10000
Гараж 2	Корпусная часть	Иллюминаторы			иллюминатор б/у д. 300, 350		27	27	20000	540000	б/у	комплект			540000
Гараж 2	Корпусная часть	Двери			Дверь легкая 1750*650 левая без иллюминатора		23	23	30000	690000	не указано	не комплект			690000
Гараж 2	Корпусная часть	Двери			Дверь легкая 1750*650 левая с иллюминатором		13	13	30000	390000	не указано	комплект			390000
Гараж 2	Корпусная часть	Двери			Дверь ВГН 1400*600 КИТАЙ правая		5	5	70000	350000	не указано	комплект	Китай		350000
Гараж 2	Корпусная часть	Двери			Дверь ВГН 1400*600 КИТАЙ левая		4	4	70000	280000	не указано	комплект	Китай		280000
Гараж 2	Прочее	Такелаж и корпусное			Весы для ЛБАШ ( похоже на вентиляцию )		4	4	100000	400000	не указано	комплект			400000
Гараж 2	Насосное и механическое	Насосы			Насос		2	2	50000	100000	не указано	комплект			100000
Гараж 2	Прочее	Камбузное оборудование			Плита камбузная ПКЭ-300-ОМ4 3-220V; 25,2kw ;№672; 460кг; 11/91г		1	1	480000	480000	не указано	комплект		600 000,00 с комплектом посуды ; 480 000 р - без посуды	480000
Гараж 2	Прочее	Камбузное оборудование			Плита камбузная ПКЭ-300-ОМ4 3-127V; 25,2kw ;№1108; 460кг; 04/92г		1	1	480000	480000	не указано	комплект		600 000,00 р с комплектом посуды ; 480 000 р - без посуды	480000
Гараж 2	Насосное и механическое	Насосы			Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м		1	1	200000	200000	не указано	комплект			200000
Гараж 2	Насосное и механическое	Компрессоры и приводы			Компрессор 2ОК1 синий		1	1	450000	450000	не указано	комплект			450000
Гараж 2	Арматура	Клинкеты и задвижки			Электропривод к задвижке		1	1	50000	50000	не указано	комплект			50000
Гараж 2	Насосное и механическое	Двигатели и ЗИП			Ротор ?		1	1	200000	200000	не указано	комплект			200000
Контейнер 1	Электрика	Светильники и комплектующие			Светильник импортный		80	80	1000	80000	не указано	комплект			80000
Контейнер 1	Электрика	Светильники и комплектующие			Стекло с решеткой светильника импортного		15	15	500	7500	не указано	комплект			7500
Контейнер 1	Электрика	Лампы и предохранители			Лампочка HQ-T 400Вт Е40		30	30	100	3000	не указано	комплект			3000
Контейнер 1	Электрика	Автоматы и контакторы			Пускатели разные на полке		6	6	10000	60000	не указано	комплект			60000
Контейнер 1	Электрика	Автоматы и контакторы			Пускатели большие под полкой		2	2	15000	30000	не указано	комплект			30000
Контейнер 1	Электрика	Автоматы и контакторы			Автоматический выключатель (черный)		2	2	2500	5000	не указано	комплект			5000
Контейнер 1	Электрика	Реле, датчики, приборы			Симметр 127/220В		1	1	59800	59800	не указано	комплект			59800
Контейнер 1	Электрика	Светильники и комплектующие			Прожектор большой		1	1	18000	18000	не указано	комплект			18000
Контейнер 1	Электрика	Светильники и комплектующие			Стекло к светильникам СС-328 (синий)		2	2	500	1000	не указано	комплект			1000
Контейнер 1	Электрика	Светильники и комплектующие			Стекло к светильникам СС-328(опал)		3	3	500	1500	не указано	комплект			1500
Контейнер 1	Электрика	Светильники и комплектующие			Стекло к светильникам СС-328(прозр.)		53	53	500	26500	не указано	комплект			26500
Контейнер 1	Электрика	Светильники и комплектующие			Светильник СС-328 б/у в коробке		2	2	2500	5000	б/у	комплект			5000
Контейнер 1	Насосное и механическое	Насосы			Насос НЦВ 40/20 ?		1	1	500000	500000	не указано	комплект			500000
Контейнер 2	Корпусная часть	Иллюминаторы			Иллюминатор круглый в сборе Ф250мм		3	3	45000	135000	не указано	комплект			135000
Контейнер 2	Корпусная часть	Иллюминаторы			Иллюминатор круглый без колец Ф300мм		2	2	45000	90000	не указано	не комплект			90000
Контейнер 2	Корпусная часть	Иллюминаторы			Иллюминатор круглый в сборе Ф300мм створчатый		219	70	90000	6300000	не указано	комплект		не пересчитывали контейнер	6300000
Контейнер 2	Корпусная часть	Иллюминаторы			Иллюминатор квадратный 400*600		1	1	50000	50000	не указано	комплект			50000
Контейнер 2	Корпусная часть	Крышки и люки			Крышка иллюминатора со стеклом Ф300мм броняшка		2	2	10000	20000	не указано	комплект			20000
Контейнер 2	Корпусная часть	Иллюминаторы			Иллюминатор створч. Ф300мм КИТАЙ		1	1	50000	50000	не указано	комплект	Китай		50000
Контейнер 2	Прочее	Блокформы и балласт			Блокформы LBH немец.круглые (отверстие посредине)		71	71	11000	781000	не указано	комплект	Германия		781000
Контейнер 2	Прочее	Блокформы и балласт			Блокформы LBH русск.овальные		45	45	11000	495000	не указано	комплект			495000
Контейнер 2	Насосное и механическое	Насосы			Насос НЦВС 63/30 новый			1	500000	500000	новый	комплект			500000
Контейнер 2	Прочее	Блокформы и балласт			Балласт (10х18х9-11,7кг) (18х18х9-18,7кг) (6х18х9-6,7кг)		7876	0		0	не указано	комплект			0
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду50 Ру 10 + ДУ 50 Ру 25		98	98	20000	1960000	не указано	комплект			1960000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду 80 БРОНЗА		44	44	24000	1056000	не указано	комплект			1056000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Головка воздушно-квадрат.(поплавковая) Ду80 (541-03.218)		19	19	14000	266000	не указано	комплект			266000
Склад 1А/1Б	Насосное и механическое	Двигатели и ЗИП			Крышка цилиндра 8НВД48А2У (голые)		8	8	80000	640000	не указано	комплект		в сборе	640000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Головка воздушно-квадрат.(поплавковая) Ду25 (541-03.232)		8	8	4500	36000	не указано	комплект			36000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Головка воздушно-квадрат.(поплавковая) Ду125 (без поплавка) (541-03.220)		6	6	25000	150000	не указано	не комплект			150000
Склад 1А/1Б	Арматура	Клапаны			Клапан невозвратно-приемный фланцевый Ду 50 Ру1 (522-35.4043-01)		6	6	7500	45000	не указано	комплект			45000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Головка воздушно-квадрат.(поплавковая) Ду32 (541-03.224; 541-03.233)		3	3	5000	15000	не указано	комплект			15000
Склад 1А/1Б	Прочее	Такелаж и корпусное			Скобы разные ( 1 большая+ 2 маленькие )		3	3	10000	30000	не указано	комплект			30000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду 100 БРОНЗА		2	2	35000	70000	не указано	комплект			70000
Склад 1А/1Б	Арматура	Клапаны			Клапан невозвратно-приемный фланцевый Ду 65 Ру1 (522-03.023)		2	2	9750	19500	не указано	комплект			19500
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду80 ( в разборе)		2	2	24000	48000	не указано	не комплект			48000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду50 Ру 40 сталь (522-01-322)		2	2	15000	30000	не указано	комплект			30000
Склад 1А/1Б	Прочее	Такелаж и корпусное			Противовес 3,2т (Россия)		1	1	28600	28600	не указано	комплект	Россия		28600
Склад 1А/1Б	Арматура	Клапаны			Клапан невозвратно-приемный фланцевый Ду 65 Ру1 (522-35.4044-01)		1	1	9750	9750	не указано	комплект			9750
Склад 1А/1Б	Насосное и механическое	Двигатели и ЗИП			Крышка цилиндра Пилстик (зеленая) на входе		1	1	550000	550000	не указано	комплект			550000
Склад 1А/1Б	Прочее	Такелаж и корпусное			Гак		1	1	3000	3000	не указано	комплект			3000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду 80 Ру 10, 521 -35.3451		1	1	32000	32000	не указано	комплект			32000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной невозвратный Ду 50 РУ 25 (522-01.164)		1	1	25000	25000	не указано	комплект			25000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду100 без штока и блинов ( в разборе)		1	1	35000	35000	новый	не комплект			35000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду80 Ру 40 сталь (521-35.3437)		1	1	22000	22000	не указано	комплект			22000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду80 Ру 40 сталь (522-01.101)		1	1	22000	22000	не указано	комплект			22000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду 125 (без чертежа)		1	1	30000	30000	не указано	не комплект			30000
Склад 1А/1Б	Насосное и механическое	Двигатели и ЗИП			Двигатель б/у на лапах		1	1	10000	10000	б/у	комплект			10000
Склад 1А/1Б	Арматура	Клапаны			Клапан предохранит. фланцевый угловой Ду32Ру4 (524-03.090)		1	1	9600	9600	не указано	комплект			9600
Склад 1А/1Б	Арматура	Клапанные коробки			Коробка 2-х клапанная корпус		1	1	20000	20000	не указано	комплект			20000
Склад 1А/1Б	Арматура	Клапаны			Клапан проходной ДУ 125 корпус		1	1	37000	37000	не указано	комплект			37000
Склад 1А/1Б	Прочее	Такелаж и корпусное			Противовес 3,2т (Корея)		1	1	28600	28600	не указано	комплект	Корея		28600
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду 250		17	17	150000	2550000	не указано	комплект			2550000
Склад 1А/1Б	Арматура	Клапаны			Клапан проходной фланцевый Ду40 - БРАК		13	13	12000	156000	не указано	брак			156000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки АМГ Ду 175 (541-03.316-03)		10	10	25000	250000	не указано	комплект			250000
Склад 1А/1Б	Арматура	Клапаны			Клапан проходной фланцевый Ду50 - БРАК		8	8	18000	144000	не указано	брак			144000
Склад 1А/1Б	Арматура	Клапаны			Клапан проходной фланцевый Ду32 - БРАК		6	6	10000	60000	не указано	брак			60000
Склад 1А/1Б	Арматура	Клапаны			Клапана невозвратный проходной фланцевый Ду100 Ру10 (522-03.205)		5	5	34000	170000	не указано	комплект			170000
Склад 1А/1Б	Арматура	Клапаны			Клапан фланцевый проходной Ду200		3	3	150000	450000	не указано	комплект			450000
