№	К какому оборудованию	Наименование	Чертеж	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Локация
1	1ЭЦНУ 16/40	Кольцо для Насос 1ЭЦНУ 16/40 258.5-33-1175	2	2			не указано	Склад 3
2	1ЭЦНУ 16/40	Манжета для Насос 1ЭЦНУ 16/40	1	1			не указано	Склад 3
3	1ЭЦНУ 16/40	Колесо раб.Насос 1ЭЦНУ 16/40	8	8			не указано	Склад 3
4	Двигатель 18/22	Коленвал 18/22		1	400000	400000	не указано	Гараж 1
5	Двигатель 3Д12	Насос ТНВД с регулятором АК-7 327-20-1Н/ АК-7 315-619-2Н	1	1	40000	40000	не указано	Склад 3
6	Двигатель 6ЧН25/34	Поршень 6ЧН25/34	1	1	55000	55000	не указано	Склад 3
7	Двигатель 6ЧН25/34	Клапан выхлопной	5	5	6000	30000	не указано	Склад 3
8	Двигатель 6ЧН25/34	Клапан всасывающий	2	2	5400	10800	не указано	Склад 3
9	Двигатель 6ЧН25/34	Клапан пусковой	1	1	9000	9000	не указано	Склад 3
10	Двигатель 6ЧН25/34	Плунжерная пара 1ая/2ая модель	2	2	4000	8000	не указано	Склад 3
11	Двигатель 6ЧН25/34	Клапан нагнетательный	6	6	750	4500	не указано	Склад 3
12	Двигатель 6ЧН25/34	Направляющая клапана	2	2	2100	4200	не указано	Склад 3
13	Двигатель 6ЧН25/34	Седло клапана	1	1	1600	1600	не указано	Склад 3
14	Двигатель 6ЧН25/34	Кулачковая шайба топливная	2	2	750	1500	не указано	Склад 3
15	Двигатель 8NVD48A2U	Крышка цилиндра 8НВД48А2У (голые)		8	80000	640000	не указано	Склад 1А/1Б
16	Двигатель 8NVD48A2U	Корпус выхлопного клапана	1	1	30000	30000	не указано	Склад 3
17	Двигатель 8NVD48A2U	Фонарь выхлопной 8NVD48A2U	1	1	11500	11500	не указано	Склад 3
18	Двигатель Д1.М	Фильтр	12	12	390	4680	не указано	Склад 3
19	Двигатель Пилстик	Крышка цилиндра Пилстик (зеленая) на входе		1	550000	550000	не указано	Склад 1А/1Б
20	Двигатель ЭТФ-3	Фильтр	12	12	300	3600	не указано	Склад 3
21	Кингстон РС-300	Сетка на фильтр Ду100 (медь) на кингстон РС-300		2	10000	20000	не указано	Склад 2
22	Компрессор ЭКП 70/25	Клапан компресс. ЭКП 70/25	4	4	4600	18400	не указано	Склад 3
23	НЦВ 100/30	Втулка насоса НЦВ 100/30	4	4			не указано	Склад 3
24	НЦВ 100/30	Кольцо для Насоса НЦВ 100/30 у-100х95-1	1	1			не указано	Склад 3
