Категория	По какому вопросу	Организация	Контактное лицо	Телефон	Почта или мессенджер	Что делает, история работы	Как оплачивается	Когда обращались в последний раз	Комментарий
Коммуналка	Электроэнергия, Калинина, договор 18112	ПАО ДЭК, Дальэнергосбыт
Коммуналка	Электроэнергия, Светланская и Фокино, договор 7182	ПАО ДЭК, Дальэнергосбыт
Коммуналка	Вода, Калинина, Светланская, Фокино, договор 1008	Водоканал
Коммуналка	Горячая вода, Аксаковская	 						лицевой счет обязательно
Коммуналка	Вывоз ТКО, мусорный оператор
Объекты	Собственник или арендодатель, Калинина
Объекты	Собственник или арендодатель, Светланская
Объекты	Собственник или арендодатель, Фокино
Объекты	Собственник или арендодатель, Аксаковская
Объекты	Управляющая компания, соседи по территории
Персонал	Сторож основной, Калинина						смена 1280 руб
Персонал	Сторож на подмену, Калинина
Персонал	Грузчики, разнорабочие
Подрядчики	РЕМОНТ АРМАТУРЫ, притирка клапанов, замена клиньев							кто приходит ремонтировать
Подрядчики	Сварщик
Подрядчики	Электрик
Подрядчики	Сантехник
Подрядчики	Воровайка, манипулятор
Подрядчики	Кран для контейнеров
Подрядчики	Вывоз мусора грузовиком
Подрядчики	Приемка металлолома, черный
Подрядчики	Приемка металлолома, цветной, бронза и латунь
Подрядчики	Покраска, мелкий ремонт
Подрядчики	Ремонт кровли, ворот, замков
Подрядчики	Продажа и доставка контейнеров
Подрядчики	Погрузчик, автовышка
Подрядчики	Взвешивание, весовая
Логистика	Таможенный брокер
Логистика	Перевозчик, контейнер косметики
Логистика	Перевозчик, контейнер Дед Мороз
Логистика	Транспортная компания по России
Логистика	Склад к Анне, приемка
Логистика	Склад Дедовск, приемка
Логистика	Контейнерный терминал, порт
Покупатели	Судовое оборудование, кто в переговорах прямо сейчас							статус обязательно
Покупатели	Судовое оборудование, кому отправлены КП
Покупатели	Судовое оборудование, перекупщики со складами
Покупатели	Металлолом, кто уже забирал
Закуп косметики	Бренд или завод в Корее, по каждому отдельной строкой							условия, MOQ, скидка
Закуп косметики	Посредник или байер в Корее
Закуп косметики	Консолидатор, склад в Корее
Закуп косметики	Кто дает прайсы и обновляет их
Закуп косметики	Логистика Корея - Россия
Закуп косметики	Таможенный брокер по косметике
Закуп косметики	Сертификация, декларации, CPNP
Закуп косметики	Честный знак, маркировка
Закуп косметики	ОТКРЫТЫЕ ЗАКАЗЫ: что оплачено и не отгружено							суммы и сроки
Закуп косметики	ЗАКАЗЫ В ПУТИ: что едет и когда придет
Косметика	Маркетплейсы, менеджеры поддержки
Косметика	Склад к Анне, кто принимает
Сервисы	Банк, менеджер по расчетному счету
Сервисы	Бухгалтер или бухгалтерия
Сервисы	Охрана, сигнализация, видеонаблюдение
Сервисы	Интернет и связь на объектах
Площадки	Фарпост, логин и аккаунт							пароль в отдельном файле
Площадки	Авито, логин и аккаунт
Площадки	Другие площадки объявлений
Прочее	Кто еще имеет ключи от объектов
Прочее	Кому мы должны или кто должен нам
Прочее	Любой другой контакт, с кем общались за год							добавляйте строки
