Дата	Наименование	Выручка, ₽	Заказано, шт	Доставлено, шт	Возвраты	Отмены	Показы	В корзину	Сессии с товаром	Конв. в корзину	Позиция в категории
2026-08-19		23661	9	3	0	3	4508	29	1846	1.57	68.25626740947075
2026-08-20		17474	7	1	0	3	4229	34	1952	1.74	76.36542669584244
2026-08-21		30262	13	6	0	0	5263	49	2540	1.92	73.90147634829768
2026-08-22		71506	30	24	0	1	10466	87	5317	1.63	54.78159412690089
2026-08-23		109481	43	34	0	0	11897	115	6505	1.76	52.78427579929457
2026-08-24		48182	17	11	0	2	12236	80	6567	1.21	55.97691500524659
2026-08-25		75325	21	7	0	1	13871	92	6969	1.32	53.51052688993128
2026-08-26		71796	22	3	0	2	16174	114	8265	1.37	52.863002232142854
2026-08-27		44313	12	7	0	0	14670	81	7432	1.08	51.975671673365774
2026-08-28		53615	14	4	0	2	13883	59	7038	0.83	50.996875
2026-08-29		46376	10	12	0	2	17240	58	8054	0.72	57.25702149791955
2026-08-30		48067	11	9	0	1	18046	60	8485	0.7	62.46911715340718
2026-08-31		49904	10	14	0	1	21278	64	9244	0.69	72.83349004188392
2026-09-01		45064	8	5	0	2	19502	49	8339	0.58	66.95293259144395
2026-09-02		56435	11	10	0	4	14724	74	6109	1.21	64.14151890264303
2026-09-03		48607	13	14	0	0	14261	58	6568	0.88	79.42278216442173
2026-09-04		89679	19	16	0	1	17656	115	7371	1.56	62.5560030686613
2026-09-05		87162	22	9	0	1	18800	133	8463	1.57	65.11353824900708
2026-09-06		132681	34	11	0	3	27921	189	12451	1.51	53.90362735158274
2026-09-07		253359	58	11	0	2	30755	246	13674	1.79	48.64196480782521
2026-09-08		201613	57	19	0	6	30563	244	13991	1.74	49.32886189595986
2026-09-09		205988	56	17	0	3	26412	291	13398	2.17	46.60021402492761
2026-09-10		330744	105	38	0	11	28279	510	14312	3.56	33.47096275139831
2026-09-11		465918	145	27	0	8	38890	656	18785	3.49	33.078013289595425
2026-09-12		483953	136	27	1	19	50013	761	20988	3.62	29.324928457869635
2026-09-13		606840	167	32	0	7	65193	983	26384	3.72	24.038112203934162
2026-09-14		825836	218	57	1	12	64452	935	27824	3.36	27.021007203376385
2026-09-15		1211467	309	73	0	25	90821	1231	39566	3.11	21.86736917734403
