SKU	Наименование	Выручка, ₽	Заказано, шт	Доставлено, шт	Возвраты	Отмены	Показы	В корзину	Сессии с товаром	Конв. в корзину	Позиция в категории
5279491232	celimax Тонер кремовый увлажняющий с молочной текстурой с двойным барьером Dual Barrier Creamy Toner, 150 мл	2139581	544	112	0	33	134956	2609	75599	3.45	11.740764105799265
5280224845	Round Lab Очищающая пенка для лица с морской водой, увлажняющая 1025, 150 мл	734339	260	43	0	12	59671	1127	34817	3.23	22.737108956433108
5368936247	celimax Лифтинг-сыворотка для лица с ретинолом и микроиглами The Vita-A Retinol Shot Tightening Serum, 30 мл	632257	164	16	0	7	50023	722	34729	2.07	25.549166758635913
5358255116	celimax Крем-бустер для лица с ретинолом и микроиглами The Vita-A Retinol Shot Tightening Booster, 15 мл	627867	177	35	0	14	74389	865	52161	1.65	32.140441818553406
5368881540	Отбеливающая сыворотка с ниацинамидом для лица, с витамином С Manyo	295500	53	41	0	7	33597	259	19416	1.33	30.076316751057053
5368879266	Сыворотка с микроиглами 1Dx для интенсивного ухода Manyo	176192	40	30	0	6	22577	154	12351	1.24	16.84565583322543
5368879752	Восстанавливающая сыворотка для лица с бифидобактериями Manyo	174215	25	23	0	1	24866	184	12614	1.45	28.91624203821656
5371608774	Набор корейских тканевых масок для лица 10 шт JMSolution	131814	47	30	0	4	21835	242	9085	2.66	35.44692513368984
5358217976	Крем для восстановления барьера лица	130490	57	28	1	11	14293	195	7952	2.45	41.035781191457474
5370615166	Лосьон для лица Bifida Biome Ampoule Lotion Manyo, 300 мл	126971	24	21	0	3	22256	145	12091	1.19	26.162913993978268
5370455274	Round Lab Тонер с морской водой увлажняющий 1025, 200 мл	122738	31	13	0	3	15733	165	10493	1.57	27.48143759873618
5369788372	Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser Manyo, 400 мл	119980	20	16	1	0	13664	92	8093	1.13	28.350066455372662
5368880755	PDRN сыворотка для лица VT Essence 100 VT Cosmetics	39215	8	6	0	0	3214	24	2411	0.99	133.3579952267303
5357327114	Тональный крем для лица матирующий Collagen коллаген, тон 21	28612	17	11	0	2	7717	48	5618	0.85	69.8645388754871
