Артикул (offer_id)	product_id	Наименование	Категория	Цена, ₽	Объёмный вес, л	Комиссия FBO, %	Комиссия FBS, %	FBO обработка, ₽	FBO логистика (мин), ₽	FBO логистика (макс), ₽	FBO последняя миля, ₽	FBO обратная логистика, ₽	FBS первая миля, ₽	FBS логистика (мин), ₽	FBS логистика (макс), ₽	FBS последняя миля, ₽	FBS обратная логистика, ₽
dm7dm1	2881287934	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm10	2881288008	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm11	2881287920	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm12	2881287883	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm13	2881287925	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm3	2881287960	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm5	2881287871	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm6	2881287841	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
dm7dm9	2881287872	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	10000	1.2	52	52		89	446	25	115	0	89	446	25	446
Collagen_Enough_Moisture_Foundation_13	5828802788	Тональный крем для лица матирующий Collagen коллаген, тон 13	Декоративная косметика	1990	0.2	52	52		63	169	25	112	0	63	169	25	169
Collagen_Enough_Moisture_Foundation_21	5828802573	Тональный крем для лица матирующий Collagen коллаген, тон 21	Декоративная косметика	1976	0.2	52	52		63	169	25	112	0	63	169	25	169
ENOUGH - Gold Snail Moisture Foundation [Tone 13]	5828802678	Тональный крем для лица матовый увлажняющий с муцином улитки 13 тон	Декоративная косметика	2000	0.2	52	52		63	169	25	112	0	63	169	25	169
ENOUGH - Gold Snail Moisture Foundation [Tone 21]	5828802832	Тональный крем для лица матовый увлажняющий с муцином	Декоративная косметика	2000	0.2	52	52		63	169	25	112	0	63	169	25	169
ENOUGH COLLAGEN 3IN1 13	5828804036	Отбеливающий тональный крем для лица 3в1 тон 13	Декоративная косметика	1961	0.2	52	52		63	169	25	112	0	63	169	25	169
ENOUGH COLLAGEN 3IN1 21	5828803181	Отбеливающий тональный крем для лица 3в1 тон 21	Декоративная косметика	1976	0.2	52	52		63	169	25	112	0	63	169	25	169
