Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	868516027	Celimax Dual Barrier Creamy Toner	3569.0	59103.0	211.0	0.1	58892.0	663.86	39096043.0	58.93	391.22
1_СРОЧНО	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	2258.0	37392.0	291.0	0.1	37101.0	463.19	17184812.0	85.06	393.99
1_СРОЧНО	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	1667.7	27617.0	196.0	0.1	27421.0	347.76	9535927.0	65.83	228.94
1_СРОЧНО	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	1050.0	17388.0	179.0	0.2	17209.0	396.72	6827154.0	40.49	160.63
1_СРОЧНО	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	618.3	10240.0	146.0	0.2	10094.0	532.1	5371017.0	69.92	372.05
1_СРОЧНО	151313163	Etude Baking Powder Crunch Pore Scrub	765.7	12679.0	111.0	0.1	12568.0	361.03	4537425.0	49.77	179.67
1_СРОЧНО	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	516.7	8556.0	193.0	0.4	8363.0	431.05	3604871.0	16.47	70.98
1_СРОЧНО	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1314.7	21771.0	469.0	0.4	21302.0	161.3	3436013.0	34.76	56.08
1_СРОЧНО	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	530.3	8782.0	91.0	0.2	8691.0	313.84	2727583.0	45.66	143.31
1_СРОЧНО	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	402.3	6663.0	29.0	0.1	6634.0	400.76	2658642.0	8.48	33.99
1_СРОЧНО	198156472	Manyo_Galac_Vita_Serum	237.0	3925.0	11.0	0.0	3914.0	646.83	2531693.0	108.36	700.89
1_СРОЧНО	198147185	Manyo_Complex_Ampoule	164.0	2716.0	30.0	0.2	2686.0	899.78	2416809.0	141.05	1269.16
1_СРОЧНО	207482718	JIGOTT - Snail Lifting Cream [70ml]	708.7	11736.0	172.0	0.2	11564.0	202.27	2339050.0	9.53	19.27
1_СРОЧНО	207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	293.0	4852.0	119.0	0.4	4733.0	396.72	1877676.0	44.11	174.99
1_СРОЧНО	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	539.0	8926.0	105.0	0.2	8821.0	203.11	1791633.0	53.67	109.0
1_СРОЧНО	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	200.3	3318.0	48.0	0.2	3270.0	512.32	1675286.0	32.03	164.08
1_СРОЧНО	214964091	JMSOLUTION - Mask Pack Disney	207.7	3439.0	55.0	0.3	3384.0	463.2	1567469.0	85.35	395.35
1_СРОЧНО	205054338	manyo_bifida_biome_toner	112.3	1860.0	0.0	0.0	1860.0	828.47	1540954.0	88.17	730.45
1_СРОЧНО	198156698	Manyo_Pure_Cleansing_Oil	105.7	1750.0	36.0	0.3	1714.0	853.0	1462042.0	92.47	788.77
1_СРОЧНО	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	130.3	2158.0	176.0	1.4	1982.0	707.88	1403018.0	-8.26	-58.49
1_СРОЧНО	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	72.3	1198.0	21.0	0.3	1177.0	1161.41	1366980.0	7.1	82.43
1_СРОЧНО	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	122.0	2020.0	0.0	0.0	2020.0	671.73	1356895.0	7.32	49.19
1_СРОЧНО	207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	171.7	2843.0	55.0	0.3	2788.0	484.42	1350563.0	38.48	186.43
1_СРОЧНО	419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	207.7	3439.0	45.0	0.2	3394.0	390.46	1325221.0	40.08	156.51
1_СРОЧНО	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	100.3	1662.0	33.0	0.3	1629.0	770.48	1255112.0	50.01	385.31
1_СРОЧНО	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	305.7	5062.0	51.0	0.2	5011.0	245.65	1230952.0	72.54	178.19
1_СРОЧНО	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	184.7	3058.0	19.0	0.1	3039.0	387.67	1178129.0	46.11	178.75
1_СРОЧНО	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	95.3	1579.0	24.0	0.3	1555.0	726.85	1130252.0	71.71	521.22
1_СРОЧНО	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	355.3	5884.0	0.0	0.0	5884.0	180.54	1062297.0	10.84	19.58
1_СРОЧНО	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	56.0	927.0	24.0	0.4	903.0	1092.96	986943.0	-40.01	-437.26
1_СРОЧНО	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	137.0	2269.0	3.0	0.0	2266.0	415.46	941432.0	51.79	215.18
1_СРОЧНО	150925321	Collagen_Enough_Moisture_Foundation_13	250.3	4146.0	13.0	0.1	4133.0	216.45	894588.0	53.9	116.67
1_СРОЧНО	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	160.3	2655.0	0.0	0.0	2655.0	304.77	809164.0	85.02	259.11
1_СРОЧНО	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	68.3	1132.0	46.0	0.7	1086.0	739.91	803542.0	78.56	581.29
