Артикул	Название	Прод_мес_факт	Прод_мес_прогноз	Остаток	Заказ_шт	Себест	Сумма	ROI	Маржа_ед	Тренд	SCORE	Вес_т
437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	2258.0	2709.6	293.0	21144.0	463.19	9793689.36	85.06	393.99	1.23	80.6	7.4
868516027	Celimax Dual Barrier Creamy Toner	3569.0	4282.8	712.0	32634.0	663.86	21664407.24	58.93	391.22	1.0	79.1	11.42
551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	618.33	742.0	378.0	3666.0	532.1	1950678.6	69.92	372.05	2.89	68.2	1.28
238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1314.67	1577.6	1341.0	7257.0	161.3	1170554.1	34.76	56.08	0.77	66.4	2.54
198156472	Manyo_Galac_Vita_Serum	237.0	284.4	122.0	1428.0	646.83	923673.24	108.36	700.89	2.5	64.4	0.5
198147185	Manyo_Complex_Ampoule	164.0	196.8	194.0	879.0	899.78	790906.62	141.05	1269.16	2.59	64.1	0.31
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	47.67	57.2	91.0	221.0	996.75	220281.75	102.62	1022.86	143.0	61.8	0.08
214964091	JMSOLUTION - Mask Pack Disney	207.67	249.2	134.0	1224.0	463.2	566956.8	85.35	395.35	6.05	58.8	0.43
151313163	Etude Baking Powder Crunch Pore Scrub	765.67	918.8	167.0	4840.0	361.03	1747385.2	49.77	179.67	0.64	56.2	1.69
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	160.33	192.4	58.0	991.0	304.77	302027.07	85.02	259.11	3.7	55.0	0.35
