Контейнер	Отправка	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%	Риск
1	Июнь 2026	868516027	Celimax Dual Barrier Creamy Toner	23130	15355081	58.93	АУТОСТОК
1	Июнь 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	14476	6705138	85.06	АУТОСТОК
1	Июнь 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	8129	1311207	34.76	АУТОСТОК
1	Июнь 2026	151313163	Etude Baking Powder Crunch Pore Scrub	4896	1767602	49.77	АУТОСТОК
1	Июнь 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	4463	902731	9.53	АУТОСТОК
1	Июнь 2026	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	3898	2074125	69.92	АУТОСТОК
1	Июнь 2026	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	3420	694636	53.67	АУТОСТОК
1	Июнь 2026	238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	3254	0		АУТОСТОК
1	Июнь 2026	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	3224	0		АУТОСТОК
1	Июнь 2026	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	2324	419574	10.84	АУТОСТОК
1	Июнь 2026	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	2239	0		АУТОСТОК
1	Июнь 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	832	204380	72.54	АУТОСТОК
2	Сентябрь 2026	868516027	Celimax Dual Barrier Creamy Toner	23130	15355081	58.93	АУТОСТОК
2	Сентябрь 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	14476	6705138	85.06	АУТОСТОК
2	Сентябрь 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	8129	1311207	34.76	АУТОСТОК
2	Сентябрь 2026	151313163	Etude Baking Powder Crunch Pore Scrub	4896	1767602	49.77	АУТОСТОК
2	Сентябрь 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	4463	902731	9.53	АУТОСТОК
2	Сентябрь 2026	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	3898	2074125	69.92	АУТОСТОК
2	Сентябрь 2026	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	3420	694636	53.67	АУТОСТОК
2	Сентябрь 2026	238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	3254	0		АУТОСТОК
2	Сентябрь 2026	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	3224	0		АУТОСТОК
2	Сентябрь 2026	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	2324	419574	10.84	АУТОСТОК
2	Сентябрь 2026	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	2239	0		АУТОСТОК
2	Сентябрь 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	832	204380	72.54	АУТОСТОК
3	Декабрь 2026	868516027	Celimax Dual Barrier Creamy Toner	23130	15355081	58.93	АУТОСТОК
3	Декабрь 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	14476	6705138	85.06	АУТОСТОК
3	Декабрь 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	8129	1311207	34.76	АУТОСТОК
3	Декабрь 2026	151313163	Etude Baking Powder Crunch Pore Scrub	4896	1767602	49.77	АУТОСТОК
3	Декабрь 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	4463	902731	9.53	АУТОСТОК
3	Декабрь 2026	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	3898	2074125	69.92	АУТОСТОК
3	Декабрь 2026	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	3420	694636	53.67	АУТОСТОК
3	Декабрь 2026	238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	3254	0		АУТОСТОК
3	Декабрь 2026	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	3224	0		АУТОСТОК
3	Декабрь 2026	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	2324	419574	10.84	АУТОСТОК
3	Декабрь 2026	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	2239	0		АУТОСТОК
3	Декабрь 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	832	204380	72.54	АУТОСТОК
4	Март 2027	868516027	Celimax Dual Barrier Creamy Toner	23130	15355081	58.93	АУТОСТОК
4	Март 2027	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	14476	6705138	85.06	АУТОСТОК
