Тип	Контейнер	Отправка	Приход	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	868516027	Celimax Dual Barrier Creamy Toner	14776	9809195	58.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	868516027	Celimax Dual Barrier Creamy Toner	14776	9809195	58.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	868516027	Celimax Dual Barrier Creamy Toner	14776	9809195	58.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	868516027	Celimax Dual Barrier Creamy Toner	14776	9809195	58.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	9348	4329900	85.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	9348	4329900	85.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	9348	4329900	85.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	9348	4329900	85.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	5443	877955	34.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	5443	877955	34.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	5443	877955	34.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	5443	877955	34.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	151313163	Etude Baking Powder Crunch Pore Scrub	3170	1144465	49.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	151313163	Etude Baking Powder Crunch Pore Scrub	3170	1144465	49.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	151313163	Etude Baking Powder Crunch Pore Scrub	3170	1144465	49.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	151313163	Etude Baking Powder Crunch Pore Scrub	3170	1144465	49.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	2934	593460	9.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	2934	593460	9.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207482718	JIGOTT - Snail Lifting Cream [70ml]	2934	593460	9.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207482718	JIGOTT - Snail Lifting Cream [70ml]	2934	593460	9.5
