Контейнер	Отправка	Приход	Артикул_ВБ	Название	Ср_продажи_мес	Остаток_WB	Покрытие_мес	Заказ_база	Добор_шт	Заказ_итого	Себест_руб	Сумма_руб	ROI_%	Бренд
К1	Июнь 2026	Август 2026	868516027	Celimax Dual Barrier Creamy Toner	4282.8	211	0.0	9850	8564	22087	663.86	14662675	58.9	CELIMAX
К1	Июнь 2026	Август 2026	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	2709.6	291	0.1	6232	4188	12702	463.19	5883439	85.1	ROUND LAB
К1	Июнь 2026	Август 2026	151313163	Etude Baking Powder Crunch Pore Scrub	918.8	111	0.1	2113	918	3804	361.03	1373358	49.8	ETUDE
К1	Июнь 2026	Август 2026	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1577.6	469	0.3	3628	0	3628	161.3	585196	34.8	ENOUGH
К1	Июнь 2026	Август 2026	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	742.0	146	0.2	1707	742	3073	532.1	1635143	69.9	CELIMAX
К1	Июнь 2026	Август 2026	207482718	JIGOTT - Snail Lifting Cream [70ml]	850.4	172	0.2	1956	0	1956	202.27	395640	9.5	JIGOTT
К1	Июнь 2026	Август 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	366.8	51	0.1	844	366	1518	245.65	372896	72.5	ENOUGH
К1	Июнь 2026	Август 2026	150925321	Collagen_Enough_Moisture_Foundation_13	300.4	13	0.0	691	300	1243	216.45	269047	53.9	ENOUGH
К1	Июнь 2026	Август 2026	198156472	Manyo_Galac_Vita_Serum	284.4	11	0.0	654	284	1176	646.83	760672	108.4	MANYO
К1	Июнь 2026	Август 2026	214964091	JMSOLUTION - Mask Pack Disney	249.2	55	0.2	573	249	1031	463.2	477559	85.3	JMSOLUTION
К1	Июнь 2026	Август 2026	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	221.6	19	0.1	510	221	916	387.67	355105	46.1	PETITFEE
К1	Июнь 2026	Август 2026	198147185	Manyo_Complex_Ampoule	196.8	30	0.2	453	196	813	899.78	731521	141.1	MANYO
К1	Июнь 2026	Август 2026	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	192.4	0	0.0	443	192	795	304.77	242292	85.0	ENOUGH
К1	Июнь 2026	Август 2026	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	166.8	30	0.2	384	166	689	269.65	185788	56.6	ENOUGH
К1	Июнь 2026	Август 2026	151175877	Petitfee Agave Cooling Hydrogel Eye Mask	164.4	3	0.0	378	164	679	415.46	282097	51.8	PETITFEE
К1	Июнь 2026	Август 2026	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	150.0	54	0.4	345	150	620	269.65	167183	76.0	ENOUGH
К1	Июнь 2026	Август 2026	207483179	JIGOTT - Snail Reparing Cream [100ml]	254.8	27	0.1	586	0	586	185.86	108913	32.1	JIGOTT
К1	Июнь 2026	Август 2026	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	242.4	0	0.0	558	0	558	0.0	0		ENOUGH
К1	Июнь 2026	Август 2026	205054338	manyo_bifida_biome_toner	134.8	0	0.0	310	134	556	828.47	460629	88.2	MANYO
К1	Июнь 2026	Август 2026	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	240.4	48	0.2	553	0	553	512.32	283312	32.0	ROUND LAB
К1	Июнь 2026	Август 2026	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	130.0	14	0.1	299	130	537	202.27	108618	66.3	JIGOTT
К1	Июнь 2026	Август 2026	198156698	Manyo_Pure_Cleansing_Oil	126.8	36	0.3	292	126	524	853.0	446972	92.5	MANYO
К1	Июнь 2026	Август 2026	212889025	Enoughcollagenwhiteningcovertip01	124.0	19	0.2	285	123	511	183.24	93635	45.9	ENOUGH
К1	Июнь 2026	Август 2026	207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	120.4	33	0.3	277	120	497	770.48	382928	50.0	HEIMISH
К1	Июнь 2026	Август 2026	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	210.0	70	0.3	483	0	483	270.81	130801	30.4	ENOUGH
К1	Июнь 2026	Август 2026	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	114.4	48	0.4	263	114	471	265.36	124984	55.2	JIGOTT
К1	Июнь 2026	Август 2026	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	114.4	24	0.2	263	114	471	726.85	342346	71.7	DEOPROCE
К1	Июнь 2026	Август 2026	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	188.0	0	0.0	432	0	432	260.26	112432	-11.8	ETUDE
К1	Июнь 2026	Август 2026	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	184.0	0	0.0	423	0	423	0.0	0		PETITFEE
К1	Июнь 2026	Август 2026	212889027	Enoughcollagenwhiteningcovertip	96.4	12	0.1	222	96	399	183.24	73112	76.0	ENOUGH
К1	Июнь 2026	Август 2026	151132051	ENOUGH COLLAGEN 3IN1 13	93.6	15	0.2	215	93	385	238.13	91680	87.5	ENOUGH
К1	Июнь 2026	Август 2026	212757456	JIGOTT - Daily Real Cica Toner [300ml]	158.0	67	0.4	363	0	363	265.36	96325	12.9	JIGOTT
К1	Июнь 2026	Август 2026	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	156.4	176	1.1	360	0	360	707.88	254836	-8.3	CELIMAX
К1	Июнь 2026	Август 2026	214977901	JMSOLUTION - Mask Pack Black	84.8	72	0.8	195	84	349	463.2	161656	61.7	JMSOLUTION
К1	Июнь 2026	Август 2026	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	150.4	49	0.3	346	0	346	183.88	63622	-41.9	ENOUGH
К1	Июнь 2026	Август 2026	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	82.0	46	0.6	189	81	338	739.91	250089	78.6	MANYO
К1	Июнь 2026	Август 2026	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	125.2	12	0.1	288	0	288	415.46	119652	39.0	PETITFEE
К1	Июнь 2026	Август 2026	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	117.2	0	0.0	270	0	270	0.0	0		ENOUGH
К1	Июнь 2026	Август 2026	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	63.6	32	0.5	146	63	261	151.13	39444	136.8	DEOPROCE
К1	Июнь 2026	Август 2026	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	107.6	0	0.0	247	0	247	315.45	77916	35.5	ENOUGH
К1	Июнь 2026	Август 2026	150925322	Collagen_Enough_Moisture_Foundation_21	106.0	44	0.4	244	0	244	242.88	59262	-69.7	ENOUGH
К1	Июнь 2026	Август 2026	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	106.0	0	0.0	244	0	244	497.34	121350	37.6	PETITFEE
К1	Июнь 2026	Август 2026	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	57.2	12	0.2	132	57	235	996.75	234236	102.6	MANYO
К1	Июнь 2026	Август 2026	180988755	Petitfee B-Glucan Deep Firming Eye Mask	56.4	10	0.2	130	56	232	486.69	112912	59.3	PETITFEE
К1	Июнь 2026	Август 2026	207464799	HEIMISH - All Clean Balm [120ml]	97.6	0	0.0	224	0	224	0.0	0		HEIMISH
К1	Июнь 2026	Август 2026	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	52.8	64	1.2	121	52	216	96.94	20939	141.7	CELIMAX
