Штрихкод,Бренд,Наименование,Объём,Код поставщика,Страна,Цена,Валюта,Единица цены,Кол-во в коробе,Базис поставки,Условия оплаты,Мин. партия,Срок годности,Дата прайса,Файл-источник,Примечание
8800307370859,ANUA,ANUA HEARTLEAF 77 SOOTHING TONER 150ml,150ml,KR_anua,KR,9630.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640730092,ANUA,ANUA HEARTLEAF 77% SOOTHING TONER 250ml,250ml,KR_anua,KR,13750.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640730221,ANUA,ANUA HEARTLEAF 77% SOOTHING TONER 500ml,500ml,KR_anua,KR,24750.0,KRW,за шт,,EXW,уточнить,уточнить,30M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640735028,ANUA,ANUA HEARLEAF PORE CONTROL CLEANSING OIL MILD 200ml,200ml,KR_anua,KR,13200.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640732829,ANUA,ANUA HEARLEAF PORE CONTROL CLEANSING OIL 200ml,200ml,KR_anua,KR,12100.0,KRW,за шт,,EXW,уточнить,уточнить,30M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640734427,ANUA,ANUA HEARTLEAF QUERCETINOL PORE DEEP CLEANSING FOAM 150ml,150ml,KR_anua,KR,7700.0,KRW,за шт,,EXW,уточнить,уточнить,30M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640734526,ANUA,ANUA NIACINAMIDE 10% + TXA 4% SERUM 30ml,30ml,KR_anua,KR,15950.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640736667,ANUA,PDRN HYALURONIC ACID CAPSULE 100 SERUM 30ML,30ml,KR_anua,KR,21450.0,KRW,за шт,,EXW,уточнить,уточнить,30M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640737190,ANUA,AZELAIC HYALURON SOOTHING SERUM 30ML,30ml,KR_anua,KR,17600.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8800307372983,ANUA,ANUA PDRN HYALURONIC ACID MOISTURIZING CLEANSING FOAM,150ml,KR_anua,KR,8800.0,KRW,за шт,,EXW,уточнить,уточнить,30M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
8809640735455,ANUA,ANUA RICE 70 GLOW MILKY TONER 250ml,250ml,KR_anua,KR,13750.0,KRW,за шт,,EXW,уточнить,уточнить,36M,2026-04-01,ANUA_PRICE_LIST_VAT_26.04.xlsx,день в дате не указан
