Бренд	Артикул	Название	Продажи_июнь	Прибыль_июнь	Прибыль_на_ед
FARMSTAY	168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOU	1520	311479	205
FARMSTAY	207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	841	91255	109
FARMSTAY	169076150	FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM	495	48994	99
FARMSTAY	207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	449	43398	97
FARMSTAY	207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Co	348	20944	60
FARMSTAY	207475898	FARMSTAY - Collagen Water Full Shampoo & Condition	282	35282	125
FARMSTAY	419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	185	26368	143
FARMSTAY	207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	166	25354	153
FARMSTAY	212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye S	65	10799	166
FARMSTAY	207476777	FARMSTAY - Collagen Pure Cleansing Foam [180ml]	33	4100	124
ROUND LAB	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	3673	545680	149
ROUND LAB	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	292	23437	80
ROUND LAB	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	115	-40147	-349
ROUND LAB	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	69	-11475	-166
ROUND LAB	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	61	-23757	-389
ROUND LAB	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	38	2773	73
ROUND LAB	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	6	1081	180
ROUND LAB	1123574113	Round Lab 1025 Dokdo Toner	3	3007	1002
ROUND LAB	1126531855	ROUND LAB 1025 DOKDO CLEANSER_150ml 2	2	-2968	-1484
ROUND LAB	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	1	568	568
CELIMAX	868516027	Celimax Dual Barrier Creamy Toner	3123	629767	202
CELIMAX	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [	748	189592	253
CELIMAX	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170	85	5120	60
CELIMAX	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	47	2777	59
CELIMAX	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA	44	5173	118
CELIMAX	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40	20	-56395	-2820
CELIMAX	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10m	19	-610	-32
CELIMAX	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [3	17	6170	363
CELIMAX	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	7	2040	291
CELIMAX	1126568337	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER	6	-1877	-313
CELIMAX	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30m	5	1173	235
CELIMAX	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	5	761	152
CELIMAX	551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml	4	1360	340
CELIMAX	1126645805	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [	4	-2638	-660
CELIMAX	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NE	1	826	827
ENOUGH	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] 	865	89753	104
ENOUGH	150925321	Collagen_Enough_Moisture_Foundation_13	589	11108	19
ENOUGH	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml]	412	53450	130
ENOUGH	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++	327	5478	17
ENOUGH	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	280	36628	131
ENOUGH	170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 	272	51545	190
ENOUGH	170198109	Enough Rich Gold Double Wea Radiance Foundation 21	145	23417	162
ENOUGH	170198180	Enough Rich Gold Double Wea Radiance Foundation 13	133	15819	119
ENOUGH	150925322	Collagen_Enough_Moisture_Foundation_21	127	-14523	-114
ENOUGH	212889025	Enoughcollagenwhiteningcovertip01	120	7080	59
ENOUGH	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	115	9726	85
ENOUGH	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	107	2836	27
ENOUGH	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 	103	19537	190
ENOUGH	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 т	90	9080	101
ENOUGH	151132051	ENOUGH COLLAGEN 3IN1 13	83	11186	135
ENOUGH	212889027	Enoughcollagenwhiteningcovertip	74	11286	153
ENOUGH	611747838	Collagen_Enough_Moisture_Foundation_23	61	7500	123
ENOUGH	212889028	Enoughcollagenwhiteningcovertip03	56	-11618	-207
ENOUGH	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	56	2265	40
ENOUGH	151132052	ENOUGH COLLAGEN 3IN1 21	30	3349	112
