Артикул_ВБ	Название	Бренд	Заказов_6мес_2026	Локализация_сейчас_%	Прибыльность_факт_после_рекламы	Тренд_заказов_апр_май_июн_2026	Сезонность_2025	Остаток_по_РФ_всего	Регион	Рекомендуемый_склад	Остаток_в_регионе_сейчас	Целевой_остаток_мес_с_сезонностью	Отгрузить_шт	Статус
437154709	Увлажняющая пенка для умывания лица Корея	round lab	15283	44.3	Прибыльный (258₽/шт)	1231→1870→3673	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: окт	3516	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	27	329	302	Переброска
868516027	Кремовый тонер с молочной текстурой Dual Barrier	Celimax	11050	50.2	Прибыльный (168₽/шт)	2681→4903→3123	нет данных 2025	1330	Южный и Северо-Кавказский	Краснодар	151	318	167	Переброска
238358009	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	2691	56.2	Прибыльный (1346₽/шт)	803→223→1	июль'25=0.46x от среднего, пик 2025: май	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	38	38	Нужна допзакупка
437231408	Солнцезащитный крем spf 50 для лица с спф	round lab	2204	43.7	Прибыльный (107₽/шт)	10→0→0	нет данных 2025	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	75	75	Нужна допзакупка
437231408	Солнцезащитный крем spf 50 для лица с спф	round lab	2204	43.7	Прибыльный (107₽/шт)	10→0→0	нет данных 2025	0	Приволжский	Казань	0	42	42	Нужна допзакупка
207796789	Тональный крем для лица матовый увлажняющий с муцином	ENOUGH	2183	52.5	Прибыльный (285₽/шт)	270→367→280	июль'25=1.75x от среднего, пик 2025: дек	278	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	118	117	Переброска
207483179	Восстанавливающий крем для лица антивозрастной	Jigott	1715	47.9	Низкая маржа (32₽/шт)	233→244→160	июль'25=0.81x от среднего, пик 2025: дек	29	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	49	48	Нужна допзакупка
238359400	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	1647	46.9	Низкая маржа (80₽/шт)	679→792→8	июль'25=0.40x от среднего (ограничено, факт 0.33x), пик 2025: май	4	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	19	19	Нужна допзакупка
207483780	Корейский крем для лица антивозрастной от морщин	Jigott	1510	40.0	УБЫТОЧНЫЙ (-30₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	128→127→70	июль'25=1.00x от среднего, пик 2025: дек	78	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	61	0	НЕ отгружать — сначала юнитка
207483780	Корейский крем для лица антивозрастной от морщин	Jigott	1510	40.0	УБЫТОЧНЫЙ (-30₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	128→127→70	июль'25=1.00x от среднего, пик 2025: дек	78	Приволжский	Казань	40	31	0	НЕ отгружать — сначала юнитка
238359757	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	1446	56.2	Прибыльный (158₽/шт)	754→241→0	июль'25=0.46x от среднего, пик 2025: май	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	20	20	Нужна допзакупка
207796898	Тональный крем для лица матовый увлажняющий с муцином	ENOUGH	1395	48.3	Низкая маржа (67₽/шт)	251→159→115	июль'25=2.00x от среднего (ограничено, факт 2.01x), пик 2025: июн	124	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	3	101	98	Нужна допзакупка
333318356	Солнцезащитный крем для лица спф 50	ENOUGH	1388	35.9	Прибыльный (265₽/шт)	239→500→327	июль'25=0.68x от среднего, пик 2025: май	82	Южный и Северо-Кавказский	Краснодар	1	45	44	Переброска
333318356	Солнцезащитный крем для лица спф 50	ENOUGH	1388	35.9	Прибыльный (265₽/шт)	239→500→327	июль'25=0.68x от среднего, пик 2025: май	82	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	27	26	Переброска
169198316	Пенка для умывания от черных точек Baking Powder 160ml	Etude house	1329	51.1	Прибыльный (191₽/шт)	171→174→125	июль'25=1.41x от среднего, пик 2025: авг	27	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	2	96	94	Нужна допзакупка
151175877	Гидрогелевые патчи от отеков и мешков под глазами	Petitfee	1286	43.6	Прибыльный (273₽/шт)	173→125→113	июль'25=0.52x от среднего, пик 2025: дек	42	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	17	17	Переброска
