Дата	Заказы	Отмены	Топ_склад_дня	Заказов_с_топ_склада
2026-05-01	254	32	Коледино	160
2026-05-02	194	31	Коледино	135
2026-05-03	158	23	Коледино	107
2026-05-04	143	21	Коледино	90
2026-05-05	159	27	Коледино	105
2026-05-06	93	20	Коледино	69
2026-05-07	133	16	Коледино	116
2026-05-08	189	21	Коледино	175
2026-05-09	148	25	Коледино	138
2026-05-10	172	34	Коледино	162
2026-05-11	157	24	Коледино	144
2026-05-12	135	21	Коледино	117
2026-05-13	143	20	Коледино	133
2026-05-14	183	28	Коледино	178
2026-05-15	166	16	Коледино	156
2026-05-16	181	18	Коледино	120
2026-05-17	214	25	Коледино	142
2026-05-18	183	23	Коледино	122
2026-05-19	138	21	Коледино	88
2026-05-20	70	9	Казань	59
2026-05-21	32	6	Казань	15
2026-05-22	34	6	Казань	15
2026-05-23	125	13	Казань	107
2026-05-24	101	17	Коледино	92
2026-05-25	95	23	Коледино	67
2026-05-26	149	19	Коледино	82
2026-05-27	159	24	Коледино	75
2026-05-28	143	25	Тула	127
2026-05-29	36	7	Тула	22
2026-05-30	68	9	Электросталь	56
2026-05-31	123	21	Коледино	73
2026-06-01	102	19	Рязань (Тюшевское)	47
2026-06-02	109	17	Коледино	94
2026-06-03	162	16	Коледино	150
2026-06-04	146	22	Коледино	128
2026-06-05	159	18	Коледино	135
2026-06-06	175	28	Коледино	122
2026-06-07	237	28	Коледино	93
2026-06-08	161	27	Екатеринбург - Перспективная 14	41
2026-06-09	65	10	Краснодар	19
2026-06-10	109	18	Коледино	33
2026-06-11	102	10	Тула	39
2026-06-12	104	22	Тула	41
2026-06-13	69	6	Екатеринбург - Перспективная 14	21
2026-06-14	101	12	Коледино	22
2026-06-15	107	12	Краснодар	27
2026-06-16	117	17	Краснодар	33
2026-06-17	93	11	Коледино	20
2026-06-18	87	9	Краснодар	17
2026-06-19	72	12	Тула	27
2026-06-20	177	32	Тула	69
2026-06-21	192	16	Электросталь	50
2026-06-22	105	13	Электросталь	34
2026-06-23	59	8	Электросталь	18
2026-06-24	49	7	Коледино	15
2026-06-25	52	5	Коледино	20
2026-06-26	55	5	Коледино	17
2026-06-27	40	3	Краснодар	11
2026-06-28	50	2	Краснодар	21
2026-06-29	48	1	Краснодар	13
2026-06-30	17	0	Краснодар	7
