Артикул_ВБ	Название	Бренд	Локализация_общая_%_6мес	Остаток_по_РФ_всего_шт	Регион_приоритет	Заказов_регион_6мес	Нелокально_регион_6мес	Остаток_в_регионе_сейчас	Целевой_остаток_месяц	Отгрузить_шт	Источник
437154709	Увлажняющая пенка для умывания лица Корея	round lab	44.3	3516	Дальневосточный и Сибирский	3953	3801	1	824	823	Переброска (есть остаток по РФ)
437154709	Увлажняющая пенка для умывания лица Корея	round lab	44.3	3516	Приволжский	2076	1231	649	267	0	Переброска (есть остаток по РФ)
868516027	Кремовый тонер с молочной текстурой Dual Barrier	Celimax	50.2	1330	Южный и Северо-Кавказский	2866	1470	109	318	209	Переброска (есть остаток по РФ)
868516027	Кремовый тонер с молочной текстурой Dual Barrier	Celimax	50.2	1330	Дальневосточный и Сибирский	1319	1289	0	279	279	Переброска (есть остаток по РФ)
168956391	Сыворотка для лица увлажняющая 3в1 с коллагеном	Farm Stay	60.6	945	Дальневосточный и Сибирский	1839	1803	0	391	391	Переброска (есть остаток по РФ)
168956391	Сыворотка для лица увлажняющая 3в1 с коллагеном	Farm Stay	60.6	945	Приволжский	1970	941	203	204	1	Переброска (есть остаток по РФ)
238415286	Увлажняющий крем для лица Корея Collagen	ENOUGH	65.2	2090	Дальневосточный и Сибирский	1666	1647	0	357	357	Переброска (есть остаток по РФ)
238415286	Увлажняющий крем для лица Корея Collagen	ENOUGH	65.2	2090	Северо-Западный	931	761	300	165	0	Переброска (есть остаток по РФ)
207482718	Крем для лица антивозрастной Snail Lifting Cream	Jigott	60.3	572	Дальневосточный и Сибирский	1322	1311	0	284	284	Переброска (есть остаток по РФ)
207482718	Крем для лица антивозрастной Snail Lifting Cream	Jigott	60.3	572	Северо-Западный	563	466	124	101	0	Переброска (есть остаток по РФ)
207472742	Корейский шампунь против выпадения волос с черным чесноком	Farm Stay	69.6	893	Дальневосточный и Сибирский	1077	1063	0	230	230	Переброска (есть остаток по РФ)
207472742	Корейский шампунь против выпадения волос с черным чесноком	Farm Stay	69.6	893	Северо-Западный	654	492	127	107	0	Переброска (есть остаток по РФ)
151313163	Скраб для лица Baking Powder с содой Корейский	Etude house	66.6	593	Дальневосточный и Сибирский	1398	1372	0	297	297	Переброска (есть остаток по РФ)
151313163	Скраб для лица Baking Powder с содой Корейский	Etude house	66.6	593	Северо-Западный	624	507	7	110	103	Переброска (есть остаток по РФ)
238358954	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	63.5	361	Дальневосточный и Сибирский	476	473	0	102	102	Переброска (есть остаток по РФ)
238358954	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	63.5	361	Северо-Западный	260	186	79	40	0	Переброска (есть остаток по РФ)
437231408	Солнцезащитный крем spf 50 для лица с спф	round lab	43.7	0	Дальневосточный и Сибирский	356	347	0	75	75	Нужна допзакупка (остатка по РФ мало)
437231408	Солнцезащитный крем spf 50 для лица с спф	round lab	43.7	0	Приволжский	276	194	0	42	42	Нужна допзакупка (остатка по РФ мало)
238358009	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	56.2	0	Дальневосточный и Сибирский	383	381	0	83	83	Нужна допзакупка (остатка по РФ мало)
238358009	Солнцезащитный крем СПФ 50 для лица и тела	ENOUGH	56.2	0	Приволжский	436	192	0	42	42	Нужна допзакупка (остатка по РФ мало)
