Дата	Заказы	Отмены	Топ_склад_дня	Заказов_с_топ_склада
2026-06-01	181	22	Электросталь	97
2026-06-02	197	26	Электросталь	110
2026-06-03	194	17	Электросталь	96
2026-06-04	201	25	Коледино	176
2026-06-05	195	13	Коледино	180
2026-06-06	153	24	Коледино	111
2026-06-07	182	31	Коледино	67
2026-06-08	199	18	Екатеринбург - Перспективная 14	60
2026-06-09	177	22	Коледино	57
2026-06-10	149	20	Тула	55
2026-06-11	140	26	Тула	122
2026-06-12	120	22	СПБ Шушары	75
2026-06-13	135	17	Коледино	123
2026-06-14	158	17	Казань	92
2026-06-15	134	16	Казань	120
2026-06-16	157	10	Казань	150
2026-06-17	27	1	Казань	8
2026-06-18	112	9	Электросталь	103
2026-06-19	114	19	Электросталь	100
2026-06-20	104	5	Электросталь	69
2026-06-21	172	15	Коледино	164
2026-06-22	98	9	Коледино	87
2026-06-23	44	3	Коледино	31
2026-06-24	54	8	Коледино	42
2026-06-25	58	4	Коледино	45
2026-06-26	66	4	Коледино	32
2026-06-27	88	2	Электросталь	35
2026-06-28	113	2	Электросталь	44
2026-06-29	94	0	Екатеринбург - Перспективная 14	34
2026-06-30	45	3	Электросталь	16
