Артикул	Название	СЦ Иркутск	СЦ Хабаровск	Невинномысск	Итого
437154709	Увлажняющая пенка для умывания лица Корея	586	372	405	1363
868516027	Кремовый тонер с молочной текстурой Dual Barrier	376	197	236	809
168956391	Сыворотка для лица увлажняющая 3в1 с коллагеном	209	140	52	401
551465879	Лифтинг-сыворотка для лица с микроиглами и ретинолом	117	78	16	211
238415286	Увлажняющий крем для лица Корея Collagen	164	42	0	206
207472742	Корейский шампунь против выпадения волос с черным чесноком	136	57	4	197
151313163	Скраб для лица Baking Powder с содой Корейский	105	71	9	185
150925321	Увлажняющий тональный крем для лица матовый Collagen тон 13	110	69	0	179
169076150	Антивозрастной крем для лица от морщин	90	27	22	139
207482718	Крем для лица антивозрастной Snail Lifting Cream	83	39	4	126
207469760	Корейский крем для лица антивозрастной премиум	74	39	4	117
238358954	Солнцезащитный крем СПФ 50 для лица и тела	58	20	38	116
333318356	Солнцезащитный крем для лица спф 50	54	13	34	101
207476309	Корейский шампунь для волос с аргановым маслом	60	19	12	91
437242640	Очищающая пенка для умывания лица от прыщей и акне Корея	43	22	13	78
170198337	Корейский тональный крем с пептидами 21 тон	43	19	12	74
207796789	Тональный крем для лица матовый увлажняющий с муцином	38	12	10	60
207475898	Корейский шампунь для волос с коллагеном	38	13	5	56
207477077	Увлажняющий крем для лица с коллагеном	34	22	0	56
419630142	Сыворотка для лица увлажняющая c муцыном улитки	33	21	1	55
207466866	Корейская база под макияж с шиммером	21	18	16	55
170198109	Тональный крем для лица увлажняющий эффект сияния	30	9	16	55
207796563	Крем для лица Aqua Hyaluronic Acid Water Drop	32	17	4	53
198156472	Отбеливающая сыворотка для лица с витамином С	26	6	18	50
868761530	Бальзам маска для губ Lip Sleeping Mask Berry	31	14	3	48
169198316	Пенка для умывания от черных точек Baking Powder 160ml	30	17	0	47
238416010	Корейский крем для лица отбеливающий 3в1 коллаген	25	9	10	44
207796898	Тональный крем для лица матовый увлажняющий с муцином	20	11	12	43
170198180	Тональный крем для лица увлажняющий эффект сияния	13	11	16	40
170198876	Тональный крем для лица увлажняющий матовый коллаген	13	13	13	39
198143251	Лосьон для лица Bifida Biome Ampoule Lotion	23	5	7	35
207483179	Восстанавливающий крем для лица антивозрастной	25	6	4	35
198147185	Восстанавливающая сыворотка для лица с бифидобактериями	23	8	3	34
214305722	Шампунь для волос женский и бальзам c черным чесноком набор	18	8	8	34
170198738	Корейский тональный крем с пептидами 13 тон	12	12	6	30
214964091	Набор корейских тканевых масок для лица 10 шт	9	9	8	26
307073881	Очищающая пенка для снятия макияжа Baking Powder 160ml	10	12	3	25
551607905	Успокаивающие тонер пэды для лица с кислотами	8	12	4	24
206057411	Корейский тоник для лица от черных точек	13	10	0	23
208202076	Увлажняющий крем для лица с коллагеном ампульный	10	13	0	23
212889025	Консилер для лица плотный 01, корректор светлый	9	13	0	22
212889027	Консилер для лица плотный 02 корректор	11	8	3	22
212760119	Корейский тонер для лица антивозрастной	16	5	0	21
151175880	Патчи для глаз Корея антивозрастные жемчуг и золото	16	4	0	20
151132051	Отбеливающий тональный крем для лица 3в1 тон 13	9	10	1	20
868575374	Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser	14	5	0	19
151175877	Гидрогелевые патчи от отеков и мешков под глазами	13	6	0	19
207465786	Гидрофильное масло бальзам для лица очищающее	13	6	0	19
611747838	Увлажняющий тональный крем для лица матовый Collagen тон 23	16	3	0	19
437776835	Сыворотка для жирной кожи лица увлажняющая с центеллой	8	9	1	18
154160085	Корейский скраб для лица Baking Powder с содой	10	8	0	18
