Блогер	Платформа	Прогноз просмотров	%РФ	%Ж	Целевые показы	Стоимость₽	Эфф.CPV₽	Безуб.CR%	ROMI%(850₽,0.4%)	Рекомендация
(доп.формат)	TikTok	60000	36	87	18583	20557	1.11	0.140	186	БРАТЬ
aestlaw	TikTok	20000	57	78	8861	11005	1.24	0.157	155	БРАТЬ
(доп.формат)	TikTok	200000	44	69	60168	81575	1.36	0.172	133	БРАТЬ
potrubka.makeup	YouTube	115000	82	90	84870	144497	1.70	0.215	86	БРАТЬ
siroezhkova	TikTok	60000	44	69	18050	40787	2.26	0.286	40	БРАТЬ
ya.pronya	TikTok	220000	38	84	69670	161518	2.32	0.293	36	БРАТЬ
kalofey.x	TikTok	60000	44	81	21335	49965	2.34	0.296	35	БРАТЬ
vioobeautu	TikTok	18000	43	80	6250	14934	2.39	0.302	32	БРАТЬ
o.krolevets 	TikTok	18000	56	98	9900	24185	2.44	0.309	29	БРАТЬ
(доп.формат)	TikTok	60000	36	87	18583	45682	2.46	0.311	29	БРАТЬ
omaygadoo	TikTok	55000	26	71	9958	28551	2.87	0.363	10	тест
zaykina_r	TikTok	30000	43	76	9827	28551	2.91	0.368	9	тест
Регина Мейк	YouTube	25000	70	87	15208	45297	2.98	0.377	6	тест
mymarriee2	TikTok	30000	30	82	7282	22841	3.14	0.397	1	тест
v_balmont	TikTok	100000	48	73	35599	112903	3.17	0.401	-0	тест
(доп.формат)	TikTok	40000	43	40	6928	22841	3.30	0.417	-4	тест
katya_emblem	TikTok	70000	54	67	25420	87064	3.43	0.433	-8	тест
anchutacr	TikTok	60000	36	87	18583	66440	3.58	0.452	-12	исключить
Виктория Орлова	YouTube	11000	60	90	5970	21383	3.58	0.453	-12	исключить
y.rinaaa	TikTok	35000	43	56	8389	30455	3.63	0.459	-13	исключить
twoalise	TikTok	70000	42	50	14595	53296	3.65	0.462	-13	исключить
ksenialedov	YouTube	15000	73	97	10698	39505	3.69	0.467	-14	исключить
glafirash	TikTok	10000	28	77	2194	8157	3.72	0.470	-15	исключить
vimilagrosa	TikTok	55000	24	82	10869	40787	3.75	0.475	-16	исключить
myyslina	TikTok	45000	25	83	9487	35689	3.76	0.476	-16	исключить
davletka0	TikTok	35000	36	70	8746	33590	3.84	0.486	-18	исключить
sanforroro	TikTok	15000	42	85	5342	21417	4.01	0.507	-21	исключить
nottaalyssa	TikTok	50000	22	84	9473	38068	4.02	0.508	-21	исключить
(доп.формат)	TikTok	35000	35	90	11025	47026	4.27	0.540	-26	исключить
ketixski	TikTok	70000	41	63	18213	79032	4.34	0.549	-27	исключить
anastya_creates	TikTok	20000	43	40	3464	16315	4.71	0.596	-33	исключить
ann.tsvetka	TikTok	40000	33	85	11322	53743	4.75	0.600	-33	исключить
lipcombovna 	TikTok	10000	26	68	1734	8299	4.79	0.605	-34	исключить
vivisayurii	TikTok	15000	26	89	3471	16935	4.88	0.617	-35	исключить
evangeeel	TikTok	45000	26	82	9557	47026	4.92	0.622	-36	исключить
lady.wax	TikTok	27000	28	77	5904	29559	5.01	0.633	-37	исключить
yunoryy 	TikTok	20000	37	39	2902	14535	5.01	0.634	-37	исключить
elf__ia	TikTok	110000	24	84	21899	118236	5.40	0.683	-41	исключить
ribwen	TikTok	25000	18	81	3564	20176	5.66	0.716	-44	исключить
None	YouTube	16000	74	95	11206	63699	5.68	0.719	-44	исключить
linoiva	TikTok	30000	22	83	5602	33590	6.00	0.758	-47	исключить
vikamines0	TikTok	45000	30	40	5310	32630	6.15	0.777	-49	исключить
Ольга Радловская	YouTube	15000	74	94	10532	66613	6.32	0.800	-50	исключить
Tveretskaya 	YouTube	14000	74	95	9805	63699	6.50	0.822	-51	исключить
tinabeauty	TikTok	25000	55	78	10647	73225	6.88	0.870	-54	исключить
Виктория Слюсарь	YouTube	3000	72	90	1944	15987	8.22	1.040	-62	исключить
Регина Мейк	TikTok	7000	35	90	2205	18953	8.60	1.087	-63	исключить
nikerbeauty	TikTok	15000	12	80	1440	12459	8.65	1.094	-63	исключить
None	YouTube	23000	60	98	13524	119903	8.87	1.122	-64	исключить
_nikoshkaaaaaa_	TikTok	15000	22	51	1675	16935	10.11	1.279	-69	исключить
msrbv	TikTok	7000	12	80	672	7020	10.45	1.322	-70	исключить
Мария Хренихина	YouTube	7000	79	97	5361	60396	11.27	1.425	-72	исключить
Саша - бьюти-блогер ваша	YouTube	6500	69	97	4320	49962	11.57	1.463	-73	исключить
Ras_mua	YouTube	5000	60	98	2940	34417	11.71	1.481	-73	исключить
krasavinavv	TikTok	10000	10	71	674	12092	17.93	2.268	-82	исключить
ddurneva	TikTok	50000	43	14	2989	56452	18.89	2.389	-83	исключить
mazepinaa	TikTok	45000	12	80	4320	82966	19.21	2.430	-84	исключить
polyaam	YouTube	15000	47	91	6368	139746	21.95	2.776	-86	исключить
None	YouTube	6000	12	85	587	13323	22.69	2.870	-86	исключить
None	YouTube	3000	69	97	1994	59952	30.07	3.804	-89	исключить
None	YouTube	10000	12	85	979	47472	48.51	6.136	-93	исключить
Tina Bukreeva	YouTube	15000	30	84	3852	258839	67.19	8.500	-95	исключить
Элеонора Волкова	YouTube	1500	12	85	147	10070	68.60	8.678	-95	исключить
None	YouTube	800	60	98	470	33306	70.80	8.957	-96	исключить
Мария Гузева	YouTube	300	76	79	180	59452	330.91	41.860	-99	исключить
