Бренд	Артикул WB	Наименование	Себестоимость	Коледино	Краснодар	Казань	Шушары	Екатеринбург	Итого
ENOUGH	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	170.98	80	45	35	20	20	200
ENOUGH	238416010	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g] / Антивозрастной отбеливающий крем с коллагеном	194.91	55	75	30	20	20	200
ENOUGH	150925321	ENOUGH - Collagen Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 13 тон	229.44	65	55	35	20	25	200
ENOUGH	150925322	ENOUGH - Collagen Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 21 тон	257.45	70	35	35	20	20	180
ENOUGH	611747838	ENOUGH - Collagen Moisture Foundation [Tone 23] / Тональный крем для лица с коллагеном 23 тон	257.45	60	20	25	25	20	150
ENOUGH	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13] / Тональный крем с муцином улитки 13 тон	260.39	60	50	45	20	25	200
ENOUGH	151132051	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 3в1 [13 тон]	252.42	55	50	35	20	20	180
ENOUGH	151132052	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 3в1 [21 тон]	236.75	50	40	20	20	20	150
ENOUGH	170198738	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Тональный крем с пептидами 13 тон	356.05	55	50	35	20	20	180
ENOUGH	170198337	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Тональный крем с пептидами 21 тон	323.06	60	50	40	20	30	200
ENOUGH	170198180	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] / Тональный крем с частичками золота 13 тон	285.83	65	60	35	20	20	200
ENOUGH	170198109	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 21] / Тональный крем с частичками золота 21 тон	285.83	60	45	35	20	20	180
ENOUGH	611744611	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для лица	194.23	50	35	25	20	20	150
ETUDEHOUSE	151313163	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	382.69	75	50	35	20	20	200
