Прио	Товар	Артикул	Главный ключ	Вспомогательные ключи (товарные)	Частотность
зел	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	551387355	крем для лица	крем для лица увлажняющий · крем для лица корея · крем для лица питательный · уход за лицом	проверить в MP Manager
зел	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	551465879	сыворотка для лица с ретинолом	сыворотка для лица от морщин · сыворотка с микроиглами · антивозрастная сыворотка · сыворотка ретинол корея	проверить в MP Manager
зел	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	238415286	крем для лица с коллагеном	антивозрастной крем с коллагеном · крем для лица увлажняющий · крем для лица корея · коллаген для лица	проверить в MP Manager
зел	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	151313163	скраб для лица	скраб для лица очищающий · скраб с содой · скраб от черных точек · пилинг скраб для лица	проверить в MP Manager
зел	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	198147185	сыворотка для лица	сыворотка с бифидобактериями · увлажняющая сыворотка для лица · антивозрастная сыворотка · ампульная сыворотка	проверить в MP Manager
зел	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	198156472	осветляющая сыворотка для лица	сыворотка от пигментации · сыворотка с витамином с · сыворотка для выравнивания тона · сыворотка от пигментных пятен	проверить в MP Manager
зел	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	437154709	пенка для умывания лица	умывалка для лица · очищающая пенка для лица · пенка для умывания корея · средство для умывания лица · пенка с морской водой	проверить в MP Manager
син	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]/Крем для восстановления защитного барьера кожи лица	551392965	крем для лица	крем для лица увлажняющий · крем для лица корея · крем для лица питательный · уход за лицом	проверить в MP Manager
син	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	551607905	тонер пэды для лица	пэды для лица · тонер пэды кислотные · пэды для выравнивания тона · пэды для лица корея	проверить в MP Manager
син	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]/Тонер-пэды для выравнивания тона и рельефа кожи	551540924	тонер пэды для лица	пэды для лица · тонер пэды кислотные · пэды для выравнивания тона · пэды для лица корея	проверить в MP Manager
син	ENOUGH - Collagen Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 13 тон	150925321	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица · тональный крем с коллагеном	проверить в MP Manager
син	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g] / Антивозрастной отбеливающий крем с коллагеном	238416010	крем для лица с коллагеном	антивозрастной крем с коллагеном · крем для лица увлажняющий · крем для лица корея · коллаген для лица	проверить в MP Manager
син	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	207466866	база под макияж	сияющая база под макияж · база выравнивающая · праймер для лица · база spf	проверить в MP Manager
син	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	212757456	тонер для лица	тонер для лица увлажняющий · тонер корея · тонер для лица бесспиртовой · тонер с центеллой	проверить в MP Manager
син	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	207482718	крем для лица с улиткой	крем с муцином улитки · антивозрастной крем для лица · восстанавливающий крем · крем с улиткой корея	проверить в MP Manager
син	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	207483179	крем для лица с улиткой	крем с муцином улитки · антивозрастной крем для лица · восстанавливающий крем · крем с улиткой корея	проверить в MP Manager
син	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	212760119	тонер для лица	тонер для лица увлажняющий · тонер корея · тонер для лица бесспиртовой · тонер с коллагеном	проверить в MP Manager
син	JIGOTT - Ассорти набор масок [27ml х 15]	255574453	уход за лицом	корейская косметика для лица · уходовая косметика · средства для лица	проверить в MP Manager
син	JMSOLUTION - MASK PACK BLACK [30ml*10ea] - ассорти набор 10шт в упаковке	214977901	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
син	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	198143251	сыворотка для лица	сыворотка с бифидобактериями · увлажняющая сыворотка для лица · антивозрастная сыворотка · ампульная сыворотка	проверить в MP Manager
син	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	198156698	гидрофильное масло	гидрофильное масло для лица · масло для снятия макияжа · гидрофильное масло корея · очищающее масло	проверить в MP Manager
син	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	179611278	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
син	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180988755	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
син	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	226115478	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
син	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	179611304	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
син	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	179611318	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
син	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	179611231	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея · патчи с коллагеном	проверить в MP Manager
син	PETITFEE - Pink Vita Brightening Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180987509	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
жёл	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	551600265	тонер пэды для лица	пэды для лица · тонер пэды кислотные · пэды для выравнивания тона · пэды для лица корея	проверить в MP Manager
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 3в1 [13 тон]	151132051	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица · тональный крем с коллагеном	проверить в MP Manager
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 3в1 [21 тон]	151132052	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица · тональный крем с коллагеном	проверить в MP Manager
жёл	ENOUGH - Collagen Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 21 тон	150925322	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица · тональный крем с коллагеном	проверить в MP Manager
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Тональный крем с пептидами 13 тон	170198738	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица	проверить в MP Manager
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Тональный крем с пептидами 21 тон	170198337	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица	проверить в MP Manager
жёл	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] / Тональный крем с частичками золота 13 тон	170198180	тональный крем для лица	тональный крем корея · тональный крем увлажняющий · база под макияж · тон для лица	проверить в MP Manager
жёл	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для лица	611744611	консилер для лица	консилер от прыщей · консилер корея · маскирующий консилер	проверить в MP Manager
жёл	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	307073881	пенка для умывания лица	умывалка для лица · очищающая пенка для лица · пенка для умывания корея · средство для умывания лица	проверить в MP Manager
жёл	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	212883090	тонер для лица	тонер для лица увлажняющий · тонер корея · тонер для лица бесспиртовой	проверить в MP Manager
жёл	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	207483780	антивозрастной крем для лица	лифтинг крем для лица · крем от морщин · подтягивающий крем	проверить в MP Manager
жёл	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	212759698	тонер для лица	тонер для лица увлажняющий · тонер корея · тонер для лица бесспиртовой	проверить в MP Manager
жёл	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	151175877	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея	проверить в MP Manager
жёл	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	226115324	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
жёл	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	226114831	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
жёл	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	151175880	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея · патчи для глаз с золотом	проверить в MP Manager
жёл	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	226115248	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
жёл	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	179611207	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея · патчи для глаз с золотом	проверить в MP Manager
жёл	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	226115141	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
жёл	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	180711104	патчи для глаз	гидрогелевые патчи для глаз · патчи для глаз от мешков · патчи для глаз от морщин · патчи для глаз корея · патчи для глаз с золотом	проверить в MP Manager
жёл	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	226114935	тканевая маска для лица	маска для лица корея · гидрогелевая маска для лица · увлажняющая маска для лица · набор масок для лица	проверить в MP Manager
жёл	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	437190353	крем для лица	крем для лица увлажняющий · крем для лица корея · крем для лица питательный · уход за лицом	проверить в MP Manager
жёл	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	437242640	пенка для умывания лица	пенка для умывания от прыщей · пенка для умывания проблемной кожи · умывалка для лица · очищающая пенка для лица · пенка для умывания корея	проверить в MP Manager
бел	LANEIGE LIP SLEEPING MASK-BERRY [3g]	868761530	маска для губ	ночная маска для губ · бальзам для губ · маска для губ корея	проверить в MP Manager
бел	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	868575374	пенка для умывания лица	умывалка для лица · очищающая пенка для лица · пенка для умывания корея · средство для умывания лица	проверить в MP Manager
бел	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	868700077	сыворотка для лица	сыворотка с бифидобактериями · увлажняющая сыворотка для лица · антивозрастная сыворотка · ампульная сыворотка	проверить в MP Manager
