Прио	Товар	Артикул	Цель продаж/мес	Выкупы	ДРР	Реклама ₽/мес	Обоснование
зел	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	437154709	635	100	18%	177965	Маг 2116 шт/мес, конкур ~176/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	238415286	540	100	18%	64152	Маг 1801 шт/мес, конкур ~82/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	151313163	323	100	18%	73547	Маг 1077 шт/мес, конкур ~18/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	551465879	185	100	18%	65368	Маг 618 шт/мес, конкур ~60/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	198156472	100	100	18%	43866	Маг 266 шт/мес, конкур ~60/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	198147185	100	100	18%	66438	Маг 186 шт/мес, конкур ~60/мес; цель=30% маг, 100 выкупов→~27 отзывов
зел	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	551387355	100	100	18%	27000	Маг 32 шт/мес, конкур ~82/мес; цель=30% маг, 100 выкупов→~27 отзывов
син	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	207482718	157	70	22%	25525	Маг 871 шт/мес, конкур ~82/мес; цель=18% маг, 70 выкупов→~19 отзывов
син	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	207466866	70	70	22%	20020	Маг 296 шт/мес, конкур н/д; цель=18% маг, 70 выкупов→~19 отзывов
син	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	207483179	70	70	22%	20020	Маг 234 шт/мес, конкур ~82/мес; цель=18% маг, 70 выкупов→~19 отзывов
син	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	551607905	70	70	22%	20020	Маг 171 шт/мес, конкур ~103/мес; цель=18% маг, 70 выкупов→~19 отзывов
