Прио	Товар	Артикул	Главный ключ (продвигать)	Цель продаж/мес	Выкупы	ДРР	Реклама ₽/мес	Обоснование
зел	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	437154709	пенка для умывания лица (~203634/мес)	635	100	18%	177965	Маг 2116/мес, конкур ~176/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	238415286	крем для лица с коллагеном (частотн. уточнить)	540	100	18%	64152	Маг 1801/мес, конкур ~82/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	151313163	скраб для лица (частотн. уточнить)	323	100	18%	73547	Маг 1077/мес, конкур ~18/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	551465879	сыворотка для лица с ретинолом (~10852/мес)	185	100	18%	65368	Маг 618/мес, конкур ~60/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	198156472	сыворотка для лица от пигментных пятен (~12699/мес)	100	100	18%	43866	Маг 266/мес, конкур ~60/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	198147185	сыворотка для лица (~203634/мес)	100	100	18%	66438	Маг 186/мес, конкур ~60/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
зел	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	551387355	крем для лица (частотн. уточнить)	100	100	18%	27000	Маг 32/мес, конкур ~82/мес; 100 выкупов→~27 отзывов; цель топ-10 по ключу
син	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	207482718	крем для лица с улиткой (частотн. уточнить)	157	70	22%	25525	Маг 871/мес, конкур ~82/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	207466866	база под макияж (частотн. уточнить)	70	70	22%	20020	Маг 296/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	207483179	крем для лица с улиткой (частотн. уточнить)	70	70	22%	20020	Маг 234/мес, конкур ~82/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	551607905	тонер пэды для лица (частотн. уточнить)	70	70	22%	20020	Маг 171/мес, конкур ~103/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g] / Антивозрастной отбеливающий крем с коллагеном	238416010	крем для лица с коллагеном (частотн. уточнить)	70	70	22%	20020	Маг 143/мес, конкур ~82/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
син	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	198156698	гидрофильное масло (частотн. уточнить)	70	70	22%	20020	Маг 132/мес, конкур ~24/мес; 70 выкупов→~19 отзывов; цель топ-20 по ключу
