Бренд	Товар	Источник спроса	Спрос/мес	Маг1 4мес	Маг2 4мес	Остаток	К закупу	Себест/шт	Бюджет	Черновик закуп
CELIMAX	Celimax Dual Barrier Creamy Toner, тонер 150 мл	история(факт)	4299	17196	3439	806	22924	572	13114073	40008
CELIMAX	Тонер пэды для лица,60 шт CELIMAX JI WOO GAE HEA	МГ	175	210	42	0	290	432	125288	1200
CELIMAX	Увлажняющий набор уходовых средств для лица/CELI	история(факт)	9	38	8	13	39	428	16704	480
CELIMAX	Набор уходовых средств для лица для защиты барье	МГ	139	167	33	0	230	306	70338	448
CELIMAX	Пенка для умыванияCELIMAX THE REAL NONI ACNE BUB	МГ	483	580	116	0	800	388	310710	312
CELIMAX	Гидрофильное масло CELIMAX DERMA NATURE FRESH BL	план(нет МГ)	0	0	0	0	315	410	129136	315
CELIMAX	CELIMAX THE REAL NONI CALMING GLOW PAD 50PADS,	МГ	483	580	116	0	800	516	412714	984
CELIMAX	CELIMAX THE REAL CICA SOOTHING CREAM 50ML	МГ	600	720	144	0	994	453	450752	1200
CELIMAX	CELIMAX THE REAL CICA NIACINAMIDE AC CALMING SER	МГ	422	506	101	0	699	76	53090	864
CELIMAX	CELIMAX THE REAL NONI ENERGY REPAIR CREAM 50ML	МГ	331	397	79	0	548	640	350808	720
CELIMAX	CELIMAX OIL CONTROL MOISTURIZING CREAM 80ML	МГ	288	346	69	0	477	545	259872	600
CELIMAX	CELIMAX PORE+DARK SPOT BRIGHTENING KIT	МГ	275	330	66	0	455	362	164850	576
CELIMAX	CELIMAX ONE STEP BODY BRIGHTENING PAD 60PADS	МГ	257	308	62	0	426	368	156770	528
CELIMAX	CELIMAX JI WOO GAE CICA BHA ACNE FOAM CLEANSING 	МГ	231	277	55	0	383	477	182561	480
CELIMAX	CELIMAX OIL CONTROL CAPSULE ESSENCE 30ML	МГ	207	248	50	0	343	596	204319	420
CELIMAX	CELIMAX JI WOO GAE ONE STEP MILD CLEANSING PAD 6	МГ	175	210	42	0	290	429	124354	352
CELIMAX	CELIMAX DUAL BARRIER MILD GEL CLEANSER 200ML(доз	МГ	139	167	33	0	230	485	111627	288
CELIMAX	CELIMAX THE REAL NONI REFRESH CLAY MASK 120G	МГ	205	246	49	0	339	385	130657	408
CELIMAX	CELIMAX DERMA NATURE GLUTATHIONE LONGLASTING TON	МГ	247	296	59	0	409	379	155050	468
CELIMAX	CELIMAX DERMA NATURE RELIEF MADECICA PH BALANCIN	МГ	166	199	40	0	275	331	90970	320
CELIMAX	CELIMAX PORE+DARK SPOT BRIGHTENING PAD 10PADS	МГ	374	449	90	0	619	80	49662	800
DEOPROCE	DEOPROCE SHAMPOO - BLACK GARLIC INTENSME ENERGY 	план(нет МГ)	0	0	0	0	2000	393	785681	2000
DEOPROCE	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE	план(нет МГ)	0	0	0	0	1000	393	392840	1000
Round Lab	ROUND LAB 1025 DOKDO CLEANSER_150ml	история(факт)	2116	8463	1693	2	11677	368	4299862	12000
Round Lab	1025 DOKDO BUBBLE FOAM_150ml (дозатор ) 	план(нет МГ)	0	0	0	0	600	418	250960	600
Round Lab	Пенка очищающая для лица от прыщей с сосной и ки	МГ	231	277	55	0	383	372	142492	600
Round Lab	Гель для душа от прыщей с кислотами/PINE CALMING	план(нет МГ)	0	0	0	0	400	444	177736	400
Round Lab	Крем для лица увлажняющий для проблемной кожи с 	МГ	231	277	55	0	383	618	236524	240
Round Lab	ROUND LAB CAMELLIA DEEP COLLAGEN FIRMING CREAM_5	МГ	199	239	48	0	330	655	216078	400
Round Lab	1025 DOKDO TONER_200ml, тонер с морской водой 	МГ	175	210	42	22	268	441	118223	360
Round Lab	PINE CALMING CICA PAD_50pcs/Тонер пэды диски для	МГ	127	152	30	0	210	567	119027	270
Round Lab	SOYBEAN SERUM_50ml/Сыворотка для лица увлажняюща	МГ	112	134	27	0	185	585	108311	210
Round Lab	ROUND LAB STICK POUCH KIT(Набор саше миниатюр дл	МГ	159	191	38	0	263	0	0	300
Round Lab	1025 DOKDO CREAM_80ml	МГ	66	79	16	0	109	681	74251	160
SKIN1004	SKIN1004 Madagascar Centella Ampoule 55ml	план(нет МГ)	0	0	0	0	1500	465	698161	1500
SKIN1004	SKIN1004 Madagascar Centella Tone Brightening Ca	план(нет МГ)	0	0	0	0	900	600	539593	900
SKIN1004	SKIN1004 Madagascar Centella Soothing Cream 75ml	план(нет МГ)	0	0	0	0	920	581	534976	920
