Уровень 1	Уровень 2	Уровень 3	Уровень 4	Уровень 5	Путь	Конечная категория	FBY %	FBS %	Express %	DBS %	FBS минус FBY, п.п.
Товары для красоты					Товары для красоты	нет	55.0	62.0	55.0	62.0	7.0
Товары для красоты	Косметика, парфюмерия и уход				Товары для красоты > Косметика, парфюмерия и уход	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия			Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия	нет	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары		Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары	нет	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромакулоны	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромакулоны	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромалампы	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромалампы	да	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромасветильники	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромасветильники	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Благовония	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Благовония	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Инструменты для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Инструменты для благовоний	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Конусы для формовки благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Конусы для формовки благовоний	да	45.0	52.0	45.0	52.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Курильницы для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Курильницы для благовоний	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Наборы для ароматерапии	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Наборы для ароматерапии	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Подставки для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Подставки для благовоний	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Стенды под благовония	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Стенды под благовония	да	45.0	52.0	45.0	52.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Флаконы для аромамасел	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Флаконы для аромамасел	да	46.5	53.5	46.5	53.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла		Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Ароматические масла	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Ароматические масла	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Смеси эфирных масел	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Смеси эфирных масел	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Эфирные масла	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Эфирные масла	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Косметика для детей			Товары для красоты > Косметика, парфюмерия и уход > Косметика для детей	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Косметика для детей	Детская косметика и духи		Товары для красоты > Косметика, парфюмерия и уход > Косметика для детей > Детская косметика и духи	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж			Товары для красоты > Косметика, парфюмерия и уход > Макияж	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Зеркала косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Зеркала косметические	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Аппликаторы косметические	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Брашгарды для кистей	да	41.0	48.0	41.0	48.0	7.0
