nm,Артикул продавца,Название,Предмет,Бренд,orders,local,nonlocal_orders,fbw_local,fbw_nonlocal,mp_local,mp_nonlocal,fbw_orders,local_pct_all,local_pct_fbw,krp_all,krp_fbw,weighted_krp_orders
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,4951,2047,2904,2047,2904,0,0,4951,41.345182791355285,41.345182791355285,0.021,0.021,103.971
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,1212,581,631,581,631,0,0,1212,47.93729372937294,47.93729372937294,0.0205,0.0205,24.846
238359400,LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,832,371,461,371,461,0,0,832,44.59134615384615,44.59134615384615,0.021,0.021,17.472
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,565,330,235,330,235,0,0,565,58.4070796460177,58.4070796460177,0.02,0.02,11.3
333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,482,201,281,201,281,0,0,482,41.70124481327801,41.70124481327801,0.021,0.021,10.122
207796789,ENOUGH - Gold Snail Moisture Foundation [Tone 13],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,360,210,150,210,150,0,0,360,58.333333333333336,58.333333333333336,0.02,0.02,7.2
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,334,143,191,143,191,0,0,334,42.81437125748503,42.81437125748503,0.021,0.021,7.014
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,300,105,195,105,195,0,0,300,35.0,35.0,0.021,0.021,6.300000000000001
226115324,PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],Корейские гидрогелевые маски для лица охлаждающие с агавой,Маски гидрогелевые,Petitfee,226,129,97,129,97,0,0,226,57.07964601769911,57.07964601769911,0.02,0.02,4.5200000000000005
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,176,54,122,54,122,0,0,176,30.681818181818183,30.681818181818183,0.0215,0.0215,3.784
207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,173,69,104,69,104,0,0,173,39.884393063583815,39.884393063583815,0.021,0.021,3.633
170198835,Enough Collagen Foundation Cover Up Ultra X10 13 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,181,100,81,100,81,0,0,181,55.24861878453039,55.24861878453039,0.02,0.02,3.62
169198316,Etude House Baking Powder Pore Cleansing Foam 160 ml белая,Пенка для умывания от черных точек Baking Powder 160ml,Скрабы,Etude house,175,89,86,89,86,0,0,175,50.857142857142854,50.857142857142854,0.0205,0.0205,3.5875000000000004
868761530,LANEIGE LIP SLEEPING MASK-BERRY [3g],Бальзам маска для губ Lip Sleeping Mask Berry,Бальзамы,LANEIGE,156,64,92,64,92,0,0,156,41.02564102564102,41.02564102564102,0.021,0.021,3.2760000000000002
207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Увлажняющий крем для лица с коллагеном,Кремы,farmstay,154,70,84,70,84,0,0,154,45.45454545454545,45.45454545454545,0.0205,0.0205,3.157
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,131,40,91,40,91,0,0,131,30.53435114503817,30.53435114503817,0.0215,0.0215,2.8164999999999996
551607905,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads],Успокаивающие тонер пэды для лица с кислотами,Пэды косметические,Celimax,130,71,59,71,59,0,0,130,54.61538461538461,54.61538461538461,0.0205,0.0205,2.665
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,119,48,71,48,71,0,0,119,40.33613445378151,40.33613445378151,0.021,0.021,2.499
207479264,EKEL Ampoule Cream Collagen [50ml],Ампульный крем для лица с коллагеном,Кремы,EKEL,112,34,78,34,78,0,0,112,30.357142857142854,30.357142857142854,0.0215,0.0215,2.408
240311751,Робот мойщик окон sBot w250,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,109,38,71,38,71,0,0,109,34.862385321100916,34.862385321100916,0.0215,0.0215,2.3434999999999997
176944957,sBotW300,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,110,45,65,45,65,0,0,110,40.909090909090914,40.909090909090914,0.021,0.021,2.31
868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,111,62,49,62,49,0,0,111,55.85585585585585,55.85585585585585,0.02,0.02,2.22
170198738,Enough 8 Peptide Full Cover Perfect Foundation 13 тон,Корейский тональный крем с пептидами 13 тон,Тональные кремы,ENOUGH,110,63,47,63,47,0,0,110,57.27272727272727,57.27272727272727,0.02,0.02,2.2
214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,105,56,49,56,49,0,0,105,53.333333333333336,53.333333333333336,0.0205,0.0205,2.1525000000000003
198156698,Manyo_Pure_Cleansing_Oil,Гидрофильное масло Ma:nyo Pure Cleansing Oil для умывания,Гидрофильные масла,manyo,101,38,63,38,63,0,0,101,37.62376237623762,37.62376237623762,0.021,0.021,2.121
170198876,Enough Collagen Foundation Cover Up Ultra X10 21 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,96,32,64,32,64,0,0,96,33.33333333333333,33.33333333333333,0.0215,0.0215,2.064
206057411,ELIZAVECCA_fruit_toner,Корейский тоник для лица от черных точек,Тоники,Elizavecca,103,59,44,59,44,0,0,103,57.28155339805825,57.28155339805825,0.02,0.02,2.06
226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,89,49,40,49,40,0,0,89,55.0561797752809,55.0561797752809,0.02,0.02,1.78
