Артикул WB,Артикул продавца,Название,Предмет,Бренд,Продаж_строк,Розничная_сумма_период,Логистика_период,Переплата_ИРП_период,Косметика,Переплата_ИРП_месяц,Доля_переплаты_в_логистике_%
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,5378,9687576.75,647202.75,58125.4605,True,32291.9225,8.981028047238675
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,2791,3546806.91,225057.25,21280.841460000003,True,11822.689700000003,9.455745798013618
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,1928,3036791.94,243164.33,18220.751640000002,True,10122.6398,7.493184399208554
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,561,2820081.69,261063.69,16920.49014,False,9400.2723,6.481364811782137
207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Корейский шампунь против выпадения волос с черным чесноком,Шампуни,Farm Stay,1974,2609691.95,269698.69,15658.1517,True,8698.973166666667,5.805794496072636
176945700,sBotW400,Квадратный робот мойщик квадратный с распылением,Роботы-стеклоочистители,SKL TECH,267,2256121.76,127609.65000000001,13536.73056,False,7520.405866666667,10.60792076461302
151313163,Etude Baking Powder Crunch Pore Scrub,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,1473,1868494.37,109187.26,11210.96622,True,6228.314566666667,10.267650474972996
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,2638,1747912.73,186985.12,10487.47638,True,5826.375766666667,5.608722437378975
240311751,Робот мойщик окон sBot w250,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,292,1658603.99,132481.57,9951.62394,False,5528.679966666667,7.511704412923245
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,782,1565948.75,58845.57,9395.6925,True,5219.829166666666,15.966694689166916
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,1023,1327724.95,74770.84,7966.349700000001,True,4425.749833333334,10.654353622347964
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,1098,1179030.77,75156.92,7074.18462,True,3930.102566666667,9.412552589967763
198147185,Manyo_Complex_Ampoule,Восстанавливающая сыворотка для лица с бифидобактериями,Сыворотки,manyo,305,1132514.98,27083.16,6795.0898799999995,True,3775.0499333333332,25.089723208074684
238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,1231,1067441.8,78240.16,6404.650799999999,True,3558.139333333333,8.185886634178662
207482718,JIGOTT - Snail Lifting Cream [70ml],Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,1379,1022985.71,92447.06999999999,6137.91426,True,3409.9523666666664,6.639382145913332
152115510,sBotW200,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,184,993305.26,89120.75,5959.83156,False,3311.017533333333,6.687366926333092
198156472,Manyo_Galac_Vita_Serum,Отбеливающая сыворотка для лица с витамином С,Сыворотки,manyo,427,968246.09,30932.93,5809.47654,True,3227.486966666667,18.780880246391142
176944957,sBotW300,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,172,957814.88,105292.26,5746.88928,False,3192.716266666667,5.458035832833297
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,728,923247.22,96446.15,5539.48332,True,3077.4907333333335,5.743602331456466
205054338,manyo_bifida_biome_toner,Укрепляющий тоник для лица с бифидобактериями,Тоники,manyo,351,852169.2,47509.79,5113.0152,True,2840.564,10.762024416441326
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,1142,648587.84,61799.479999999996,3891.52704,True,2161.9594666666667,6.2970223050420495
100680844,sBotW100_100680844,Робот мойщик окон мощный,Роботы-стеклоочистители,SKL TECH,121,592250.07,67207.38,3553.5004200000003,False,1974.1669000000002,5.287366387441379
207475898,FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml],Корейский шампунь для волос с коллагеном,Шампуни,Farm Stay,497,582510.3,55361.45,3495.0618,True,1941.701,6.313168820542092
198156698,Manyo_Pure_Cleansing_Oil,Гидрофильное масло Ma:nyo Pure Cleansing Oil для умывания,Гидрофильные масла,manyo,178,581434.27,16451.61,3488.6056200000003,True,1938.1142333333335,21.2052535891624
226115324,PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],Корейские гидрогелевые маски для лица охлаждающие с агавой,Маски гидрогелевые,Petitfee,370,564908.95,41192.4,3389.4537000000005,True,1883.0298333333337,8.228347219389985
238359400,LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,1415,504516.8,72509.25,3027.1008,True,1681.7226666666668,4.1747788040836165
551607905,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads],Успокаивающие тонер пэды для лица с кислотами,Пэды косметические,Celimax,259,496581.44,23736.79,2979.48864,True,1655.2714666666668,12.552196990410245
207796789,ENOUGH - Gold Snail Moisture Foundation [Tone 13],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,484,476058.6,36667.64,2856.3516,True,1586.862,7.789843033257663
207464799,HEIMISH - All Clean Balm [120ml],Гидрофильное масло бальзам для лица очищающее,Гидрофильные масла,Heimish,309,468064.0,25159.420000000002,2808.384,True,1560.2133333333334,11.162355888967234
207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Увлажняющий крем для лица с коллагеном,Кремы,farmstay,288,457697.06,21148.34,2746.1823600000002,True,1525.656866666667,12.985332938660907
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,993,443690.72,55446.92,2662.14432,True,1478.9690666666668,4.801248329032523
214964091,JMSOLUTION - Mask Pack Disney,Набор корейских тканевых масок для лица 10 шт,Маски тканевые косметические,JMSolution,368,429683.04,43401.91,2578.09824,True,1432.2767999999999,5.940057108085795
151175880,Petitfee Black Pearl & Gold hydrogel Eye Patch,Патчи для глаз Корея антивозрастные жемчуг и золото,Патчи,Petitfee,361,425154.71,26353.48,2550.92826,True,1417.182366666667,9.679663786338654
207796439,ELIZAVECCA - Natural 90% Olive Cleansing Oil,Корейское гидрофильное масло для умывания,Гидрофильные масла,Elizavecca,258,419318.89,20846.69,2515.91334,True,1397.7296333333334,12.068646581303796
419630142,FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,Сыворотка для лица увлажняющая c муцыном улитки,Сыворотки,Farm Stay,364,408231.56,28027.36,2449.38936,True,1360.7718666666667,8.739279618201644
170198835,Enough Collagen Foundation Cover Up Ultra X10 13 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,416,405760.67,28570.06,2434.56402,True,1352.5355666666667,8.521382244209496
214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,151,395850.34,42151.07,2375.1020399999998,True,1319.5011333333332,5.634737243918125
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,387,344396.35,25990.28,2066.3781,True,1147.9878333333334,7.95058037081555
437845041,ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,Крем для лица с ниацинамидом от чёрных точек Корея,Кремы,round lab,137,326749.52,11656.1,1960.49712,True,1089.1650666666667,16.8194946851863
207483179,JIGOTT - Snail Reparing Cream [100ml],Восстанавливающий крем для лица антивозрастной,Кремы,Jigott,425,315260.94,28444.4,1891.56564,True,1050.8698000000002,6.650045843821631
868700077,MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml],Сыворотка с микроиглами 1Dx для интенсивного ухода,Сыворотки,manyo,77,311715.0,7676.9800000000005,1870.29,True,1039.05,24.362314347568965
207466866,HEIMISH - Artless Glow Base SPF50+ [40ml],Корейская база под макияж с шиммером,Основы под макияж,Heimish,200,307849.24,13859.83,1847.09544,False,1026.1641333333334,13.32697038852569
151175877,Petitfee Agave Cooling Hydrogel Eye Mask,Гидрогелевые патчи от отеков и мешков под глазами,Патчи,Petitfee,242,307744.92,18112.61,1846.46952,True,1025.8164000000002,10.194386783572329
169198316,Etude House Baking Powder Pore Cleansing Foam 160 ml белая,Пенка для умывания от черных точек Baking Powder 160ml,Скрабы,Etude house,281,298332.42,19982.45,1789.99452,True,994.4414,8.957833098543972
333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,552,290952.84,29212.23,1745.71704,True,969.8428,5.975980060406207
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,257,287249.66,18629.11,1723.4979600000001,True,957.4988666666668,9.251638752468583
226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,187,261242.48,15210.49,1567.45488,True,870.8082666666667,10.305091288972282
226114935,PETITFEE - Gold Hydrogel Mask Pack [5pcs],Маски для лица с золотом,Маски гидрогелевые,Petitfee,163,244699.8,12850.34,1468.1988000000001,True,815.666,11.425369289839802
206135397,I'm Sorry For My Skin Age Capture Hydrating,Крем для лица увлажняющий ежедневный,Кремы,I'm Sorry for My Skin,148,235275.53,10779.13,1411.65318,True,784.2517666666668,13.096169913527344
868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,76,228000.0,9674.710000000001,1368.0,True,760.0,14.139958717108833
214977901,JMSOLUTION - Mask Pack Black,Маски для лица тканевые,Маски тканевые косметические,JMSolution,220,225299.22,24776.98,1351.79532,True,750.9974,5.455851843122124
207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,233,209931.33,13586.2,1259.58798,True,699.7711,9.271083746743018
