nm,Артикул продавца,Название,Предмет,Бренд,rows,retail,logistics,overpay
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,5378,9687576.75,647202.75,102983.62069004464
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,2791,3546806.91,225057.25,37704.27083122405
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,1928,3036791.94,243164.33,32282.565324041927
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,561,2820081.69,261063.69,29978.830678982755
207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Корейский шампунь против выпадения волос с черным чесноком,Шампуни,Farm Stay,1974,2609691.95,269698.69,27742.28610851139
176945700,sBotW400,Квадратный робот мойщик квадратный с распылением,Роботы-стеклоочистители,SKL TECH,267,2256121.76,127609.65000000001,23983.664187475566
151313163,Etude Baking Powder Crunch Pore Scrub,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,1473,1868494.37,109187.26,19862.99777821775
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,2638,1747912.73,186985.12,18581.156694900033
240311751,Робот мойщик окон sBot w250,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,292,1658603.99,132481.57,17631.761645775307
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,782,1565948.75,58845.57,16646.79168503615
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,1023,1327724.95,74770.84,14114.357610793482
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,1098,1179030.77,75156.92,12533.666646777407
198147185,Manyo_Complex_Ampoule,Восстанавливающая сыворотка для лица с бифидобактериями,Сыворотки,manyo,305,1132514.98,27083.16,12039.181328407383
238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,1231,1067441.8,78240.16,11347.421989704339
207482718,JIGOTT - Snail Lifting Cream [70ml],Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,1379,1022985.71,92447.06999999999,10874.832277326319
152115510,sBotW200,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,184,993305.26,89120.75,10559.31475590799
198156472,Manyo_Galac_Vita_Serum,Отбеливающая сыворотка для лица с витамином С,Сыворотки,manyo,427,968246.09,30932.93,10292.923673319938
176944957,sBotW300,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,172,957814.88,105292.26,10182.034871950886
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,728,923247.22,96446.15,9814.56394733783
205054338,manyo_bifida_biome_toner,Укрепляющий тоник для лица с бифидобактериями,Тоники,manyo,351,852169.2,47509.79,9058.970258639632
