Артикул продавца	Название	Артикул WB	Размер	Предмет	Бренд	Регион	Время доставки	Итого заказов, шт	Итого заказов по товарам локально, шт	Итого заказов по товарам не локально, шт	Итого заказы по товарам не локально, %	Заказы со склада WB локально, шт	Заказы со склада WB не локально, шт	Заказы со склада WB не локально, %	Заказы Маркетплейс локально, шт	Заказы Маркетплейс не локально, шт	Заказы Маркетплейс не локально, %	Остатки склад WB, шт	Остатки МП, шт
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Дальневосточный и Сибирский	5д 22ч	3953	152	3801	96	152	3801	96	0	0	0	1	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Приволжский	1д 15ч	2076	845	1231	59	845	1231	59	0	0	0	649	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Северо-Западный	2д 3ч	1265	260	1005	79	260	1005	79	0	0	0	232	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Южный и Северо-Кавказский	1д 20ч	2866	1946	920	32	1946	920	32	0	0	0	390	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Уральский	2д 10ч	1083	437	646	60	437	646	60	0	0	0	527	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Беларусь	1д 20ч	312	0	312	100	0	312	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Центральный	1д 5ч	3414	3115	299	9	3115	299	9	0	0	0	1007	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Казахстан	4д 5ч	209	12	197	94	12	197	94	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Армения	8д 21ч	62	9	53	85	9	53	85	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Кыргызстан	7д 19ч	18	0	18	100	0	18	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Грузия	6д 21ч	9	0	9	100	0	9	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Таджикистан	6д 17ч	9	0	9	100	0	9	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Узбекистан	8д 23ч	7	0	7	100	0	7	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Южный и Северо-Кавказский	1д 22ч	2866	1396	1470	51	1396	1470	51	0	0	0	109	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Дальневосточный и Сибирский	4д 11ч	1319	30	1289	98	30	1289	98	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Приволжский	1д 16ч	1392	477	915	66	477	915	66	0	0	0	56	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Северо-Западный	1д 18ч	988	298	690	70	298	690	70	0	0	0	133	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Беларусь	1д 16ч	450	1	449	100	1	449	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Уральский	2д 1ч	683	268	415	61	268	415	61	0	0	0	230	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Армения	7д 11ч	126	15	111	88	15	111	88	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Центральный	1д 3ч	3145	3060	85	3	3060	85	3	0	0	0	263	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Казахстан	4д 2ч	40	0	40	100	0	40	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Грузия	6д 19ч	29	0	29	100	0	29	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Узбекистан	9д 10ч	5	0	5	100	0	5	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Кыргызстан	7д 9ч	4	0	4	100	0	4	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Таджикистан	5д 13ч	3	0	3	100	0	3	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Дальневосточный и Сибирский	5д 0ч	1839	36	1803	98	36	1803	98	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Приволжский	1д 13ч	1970	1029	941	48	1029	941	48	0	0	0	203	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Северо-Западный	1д 18ч	968	266	702	73	266	702	73	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Уральский	2д 0ч	996	454	542	54	454	542	54	0	0	0	64	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Беларусь	1д 16ч	300	0	300	100	0	300	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Южный и Северо-Кавказский	1д 13ч	2257	1966	291	13	1966	291	13	0	0	0	252	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Казахстан	4д 2ч	109	2	107	98	2	107	98	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Армения	7д 6ч	92	24	68	74	24	68	74	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Центральный	1д 3ч	3666	3634	32	1	3634	32	1	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Узбекистан	11д 10ч	14	0	14	100	0	14	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Кыргызстан	6д 21ч	8	0	8	100	0	8	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Грузия	7д 4ч	5	0	5	100	0	5	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Таджикистан	8д 22ч	2	0	2	100	0	2	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Дальневосточный и Сибирский	4д 5ч	1666	19	1647	99	19	1647	99	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Северо-Западный	1д 19ч	931	170	761	82	170	761	82	0	0	0	300	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Беларусь	1д 19ч	393	0	393	100	0	393	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Приволжский	1д 9ч	1680	1301	379	23	1301	379	23	0	0	0	450	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Уральский	1д 16ч	815	512	303	37	512	303	37	0	0	0	182	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Центральный	1д 4ч	3866	3675	191	5	3675	191	5	0	0	0	422	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Южный и Северо-Кавказский	1д 13ч	2093	1945	148	7	1945	148	7	0	0	0	164	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Армения	9д 13ч	146	17	129	88	17	129	88	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Казахстан	3д 22ч	126	2	124	98	2	124	98	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Кыргызстан	7д 10ч	6	0	6	100	0	6	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Грузия	9д 15ч	4	0	4	100	0	4	100	0	0	0	0	0
