nm,Артикул продавца,Название,Предмет,Бренд,missed_orders,missed_orders_amount,missed_buyouts,missed_buyouts_amount,ordered_units,bought_units,current_stock,current_stock_value,cost,net_units,profit_after_cogs_before_storage_ads,profit_per_unit_after_cogs_before_storage_ads,"Выкупы, ₽",Категория,Хранение_период,Хранение_месяц30,Косметика,Переплата_ИРП_период,Переплата_ИРП_месяц,storage_per_sold_unit,profit_per_unit_after_storage_before_ads,potential_profit_before_ads_after_storage,potential_profit_before_ads_before_storage,avg_missed_buyout_price,potential_profit_pct_of_missed_buyout_amount,eligible
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,18842.850000000002,12492908.55,18279.45,12119188.95,1207,908,2128,1410864,161.3,2638.0,522770.27,198.1691698256255,1747912.73,Красота,8241.082,4262.628620689656,True,10487.47638,5826.375766666667,3.1239886277482944,195.04518119787718,3565318.6374475365,3622423.43136903,662.9952733807636,29.418789096835862,True
176945700,sBotW400,Квадратный робот мойщик квадратный с распылением,Роботы-стеклоочистители,SKL TECH,2704.36,21299389.93,2446.81,19270876.66,21,19,0,0,4445.896031746033,267.0,295891.6095238093,1108.2082753700722,2289773.75,Бытовая техника,1423.9294938,736.5152554137932,False,13536.73056,7520.405866666667,5.33306926516854,1102.8752061049038,2698526.0830495395,2711575.0902582463,7875.918710484263,14.003130893628684,True
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,3022.1400000000003,4203311.2,2953.06,4107235.44,565,513,0,0,431.05,1023.0,346120.9,338.339100684262,1327724.95,Красота,2050.92,1060.8206896551726,True,7966.349700000001,4425.749833333334,2.004809384164223,336.3342913000978,993215.3422666667,999135.6646666668,1390.8404976532818,24.182089309851364,True
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,6294.48,3532104.0,6038.4,3388425.12,300,283,0,0,180.54,1143.0,151347.55000000002,132.41255468066493,649168.84,Красота,1642.588,849.6144827586206,True,3891.52704,2161.9594666666667,1.437084864391951,130.97546981627298,790882.2769385827,799559.970183727,561.1461844197139,23.34070398281614,True
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,857.2,4080186.4000000004,755.1999999999999,3594450.0,131,111,1,4760,2517.3661764705885,558.0,332491.0735294116,595.8621389415978,2850171.69,Бытовая техника,3459.23634,1789.2601758620688,False,16920.49014,9400.2723,6.199348279569892,589.6627906620279,445313.3395079634,449995.0873286946,4759.600105932203,12.388914562950198,True
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,867.92,899670.52,848.73,879824.83,414,399,0,0,313.84,1098.0,345370.43000000005,314.5450182149363,1179030.77,Красота,2275.488,1176.9765517241378,True,7074.18462,3930.102566666667,2.0723934426229507,312.47262477231334,265204.8908230055,266963.7933095629,1036.6368927691963,30.14291956536457,True
437845041,ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,Крем для лица с ниацинамидом от чёрных точек Корея,Кремы,round lab,351.6,838766.04,331.20000000000005,790141.92,69,65,0,0,1024.65,137.0,59947.46999999997,437.5727737226275,326749.52,Красота,503.9455,260.66146551724137,True,1960.49712,1089.1650666666667,3.678434306569343,433.8943394160582,143705.80521459848,144924.10265693426,2385.6942028985504,18.187340979782274,True
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,639.8,550688.0,575.0,494963.6,176,151,0,0,270.81,387.0,92255.23,238.38560723514215,344396.35,Красота,1186.976,613.953103448276,True,2066.3781,1147.9878333333334,3.0671214470284243,235.31848578811372,135308.12932816538,137071.72416020674,860.8062608695652,27.33698585677116,True
207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Увлажняющий крем для лица с коллагеном,Кремы,farmstay,232.35,357218.7,228.6,351457.05000000005,154,122,211,324307,484.42,288.0,136634.4,474.4249999999999,457697.06,Красота,672.868,348.03517241379313,True,2746.18236,1525.656866666667,2.3363472222222224,472.08865277777767,107919.46602499997,108453.55499999998,1537.432414698163,30.706302811396146,True
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,220.95000000000002,217332.81,208.98,205585.11000000002,38,35,0,0,166.42,90.0,36506.619999999995,405.62911111111106,91589.94,Красота,323.694,167.42793103448275,True,549.5396400000001,305.29980000000006,3.5966,402.03251111111103,84016.75417199999,84768.37163999998,983.7549526270458,40.867139732055485,True
