Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Бытовая техника,176944957,sBotW300,Роботы-стеклоочистители,SKL TECH,9802.324832355,362,5023,12.90069,14,5070.168016735345
Красота,207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Шампуни,Farm Stay,8719.578034335,730,30504,1.89441,16,4510.12656948362
Красота,238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Кремы,ENOUGH,8241.082,373,52160,0.72,12,4262.628620689656
Красота,168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотки,Farm Stay,8085.7735,838,54473,0.832,16,4182.296637931035
Красота,437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Пенки,round lab,8061.031053,620,38751,1.2972,21,4169.498820517241
Красота,333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Кремы,ENOUGH,8014.468,238,49215,0.28,12,4145.414482758621
Красота,151313163,Etude Baking Powder Crunch Pore Scrub,Скрабы,Etude house,7665.662,1024,50329,0.56,17,3964.997586206897
Красота,238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Кремы,ENOUGH,6243.271,967,40887,0.28,17,3229.278103448276
Бытовая техника,240311751,Робот мойщик окон sBot w250,Роботы-стеклоочистители,SKL TECH,5794.430877108,308,4060,9.220392,15,2997.119419193793
Красота,551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Сыворотки,Celimax,5565.197,626,37798,0.375,19,2878.550172413793
Красота,551387355,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml],Кремы,Celimax,5267.12,451,34428,0.18,10,2724.3724137931035
Красота,207482718,JIGOTT - Snail Lifting Cream [70ml],Кремы,Jigott,4792.313,665,31240,0.4054985263157895,16,2478.7825862068967
Красота,868516027,Celimax Dual Barrier Creamy Toner,Тоники,Celimax,4531.983265964,325,26199,1.0687017600000002,16,2344.1292754986207
Красота,150925321,Collagen_Enough_Moisture_Foundation_13,Тональные кремы,ENOUGH,4493.707,427,31137,0.72,12,2324.331206896552
Красота,238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,Кремы,ENOUGH,4259.5745,541,45249,0.28,10,2203.228189655172
Красота,151132052, ENOUGH COLLAGEN 3IN1 21,Тональные кремы,ENOUGH,4228.528,525,28052,0.24,9,2187.169655172414
Красота,150925322,Collagen_Enough_Moisture_Foundation_21,Тональные кремы,ENOUGH,4068.547,609,29577,0.625,8,2104.4208620689656
Красота,207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Шампуни,Farm Stay,3737.3238225,612,13075,1.935,12,1933.0985288793104
Красота,207796350,ELIZAVECCA - CER-100  [100ml],Маски косметические,Elizavecca,3690.23,546,22513,0.455,9,1908.7396551724137
Бытовая техника,100680843,sBotW120_100680843,Роботы-стеклоочистители,SKL TECH,3459.23634,185,2315,9.66,14,1789.2601758620688
Аксессуары для электроники,208208674,Рация_UV-82 (1 шт),Радиостанции,Baofeng,3307.68792,472,10543,2.16,7,1710.8730620689655
Красота,208202076,EKEL Ampule Сream Сollagen [70ml],Кремы,EKEL,2946.5765,679,19876,0.41983999999999994,9,1524.0912931034482
Красота,238416010,Enough Collagen Whitening Moisture Cream 3in1 50 N,Кремы,ENOUGH,2893.6655,568,19729,0.7023802816901409,9,1496.7235344827586
Красота,207465786,HEIMISH - All Clean Balm Mandarin [120ml],Гидрофильные масла,Heimish,2869.366,747,18600,0.567,9,1484.154827586207
Красота,214977901,JMSOLUTION - Mask Pack Black,Маски тканевые косметические,JMSolution,2840.322288384,362,15178,1.251936,8,1469.132218129655
Красота,170198876,Enough Collagen Foundation Cover Up Ultra X10 21 тон,Тональные кремы,ENOUGH,2774.2,795,17508,0.4,11,1434.9310344827586
Умный дом и безопасность,663654300,videokamera4gneww,Камеры видеонаблюдения,Камера видеонаблюдения IP Wi-Fi,2724.618585024,464,4129,4.340168,6,1409.2854750124138
Красота,255574453,JIGOTT - MASK 15,Маски тканевые косметические,Jigott,2599.4122,302,14172,1.19,5,1344.523551724138
Красота,198156472,Manyo_Galac_Vita_Serum,Сыворотки,manyo,2574.156,636,16349,0.192,12,1331.4599999999998
Красота,198147185,Manyo_Complex_Ampoule,Сыворотки,manyo,2438.86,504,16327,0.325,12,1261.4793103448276
Красота,206057411,ELIZAVECCA_fruit_toner,Тоники,Elizavecca,2427.96,373,14685,0.375,7,1255.8413793103448
Красота,212757456,JIGOTT - Daily Real Cica Toner [300ml],Тоники,Jigott,2392.307091616,410,12183,1.2715747804878048,11,1237.4002198013793
Красота,154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Скрабы,Etude house,2359.3,740,15967,0.245754,11,1220.3275862068965
Красота,214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампуни,DEOPROCE,2358.8846399999998,243,2392,6.405,10,1220.112744827586
Красота,169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Кремы,farmstay,2275.488,338,15935,0.594297,11,1176.9765517241378
Красота,419630142,FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,Сыворотки,Farm Stay,2237.264,647,15366,0.859283,12,1157.2055172413793
Красота,190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Скрабы,Elizavecca,2212.252,442,16353,0.35,10,1144.268275862069
Красота,207483780,JIGOTT - Birds Nest Firming Cream [70ml],Кремы,Jigott,2163.223,560,14949,0.294,15,1118.9084482758622
Красота,212760119,JIGOTT - Ultimate Real Collagen Toner [300ml],Тоники,Jigott,2146.164,459,14360,0.882,10,1110.084827586207
Красота,207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Кремы,farmstay,2050.92,325,13600,0.729,13,1060.8206896551726
Красота,207796789,ENOUGH - Gold Snail Moisture Foundation [Tone 13],Тональные кремы,ENOUGH,2026.2225,698,13449,0.5118580945558739,20,1048.0461206896553
Красота,207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Скрабы,Farm Stay,1984.544,438,13718,0.57,9,1026.488275862069
Красота,170198337,Enough 8 Peptide Full Cover Perfect Foundation 21 тон,Тональные кремы,ENOUGH,1921.2740000000001,401,14498,0.4,11,993.7624137931035
Красота,170198109,Enough Rich Gold Double Wea Radiance Foundation 21 тон,Тональные кремы,ENOUGH,1908.205,482,11565,0.375,11,987.0025862068965
Красота,207475898,FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml],Шампуни,Farm Stay,1895.04504,357,9857,1.26,9,980.1957103448275
Красота,437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Кремы,round lab,1877.232,293,12051,0.45655452218430037,7,970.9820689655172
Красота,551447345,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml],Кремы,Celimax,1842.136,573,11657,0.34139448516579407,9,952.8289655172414
Красота,151175880,Petitfee Black Pearl & Gold hydrogel Eye Patch,Патчи,Petitfee,1810.736,427,11886,0.6056960000000001,8,936.5875862068966
Красота,169198316,Etude House Baking Powder Pore Cleansing Foam 160 ml белая,Скрабы,Etude house,1753.3455000000001,609,11327,0.502524,14,906.9028448275863
Красота,154160085,Etude Baking Powder Crunch Pore Scrub треугольники 30,Скрабы,Etude house,1735.8538730025,610,8277,1.3305062409836066,11,897.8554515530172
Техника для красоты и здоровья,174668134,Пистолет перкуссионный V1,Массажеры электрические,Перкуссионный массажер пистолет,1733.9230034099999,417,3799,2.9331899999999997,8,896.8567259017241
Красота,551392965,CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml],Кремы,Celimax,1672.036,471,10256,0.3,6,864.8462068965517
Красота,179611304,Petitfee Cacao Energizing Hydrogel Eye Patch,Патчи,Petitfee,1654.256,340,10907,0.43737261176470593,6,855.6496551724138
Красота,238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Кремы,ENOUGH,1642.588,560,12948,0.28,12,849.6144827586206
Фото и Видеотехника,198620596,Lamp_white_26cm,Кольцевые лампы,SKL TECH,1637.416501308,238,471,22.752324,6,846.939569642069
Красота,437797551,ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml,Сыворотки,round lab,1589.24,396,10807,0.27636,8,822.0206896551724
Красота,608624295,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком,Шампуни,DEOPROCE,1563.192348882,449,5843,1.795748,7,808.5477666631035
Красота,551472457,CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml],Сыворотки,Celimax,1542.1029999999998,519,9727,0.3,6,797.6394827586206
Красота,212883090,JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml],Тоники,Jigott,1527.392,472,10286,0.931,7,790.0303448275862
Красота,214964091,JMSOLUTION - Mask Pack Disney,Маски тканевые косметические,JMSolution,1451.7675348,480,7725,1.2617,11,750.914242137931
Бытовая техника,176945700,sBotW400,Роботы-стеклоочистители,SKL TECH,1423.9294938,100,1103,8.247492,11,736.5152554137932
Красота,151175877,Petitfee Agave Cooling Hydrogel Eye Mask,Патчи,Petitfee,1409.208,501,9348,0.459816,10,728.9006896551725
