Склад,Сумма,Строк,ШК,Месяц30
Казань,67600.820171884,10096,352444,34965.94146821586
Коледино,60929.899690658,9322,292557,31515.4653572369
Краснодар,40348.726978337,9251,246108,20870.031195691554
Тула,32592.724515016,9446,243295,16858.305783628966
Екатеринбург - Перспективная 14,29034.2543660675,5641,166353,15017.717775552157
СПБ Шушары,16265.572568232,2648,64823,8413.227190464828
Электросталь,13674.396816222,4679,92185,7072.963870459656
Невинномысск,1033.0150294999999,591,10208,534.3181187068965
Рязань (Тюшевское),304.405395504,911,2749,157.45106664000002
Воронеж,162.80204080000001,435,619,84.20795213793104
Самара (Новосемейкино),121.572811244,495,517,62.88248857448276
Пенза,89.394965504,217,275,46.23877526068966
Сарапул,82.41553594,370,372,42.628725486206896
Волгоград,70.800704864,370,394,36.62105424
Котовск,56.711530272,242,244,29.333550140689656
Владимир,53.045321408,188,226,27.437235211034483
СК Ереван,33.69882252,239,244,17.430425441379313
Тверь Эммаусское,25.482602879999998,7,7,13.180656662068966
Владивосток,24.899791648,84,84,12.879202576551725
СЦ Ереван,24.655753320000002,119,185,12.752975855172416
Ташкент 2,17.820416,109,109,9.217456551724139
Остальные,17.51475408,67,73,9.05935555862069
Белые Столбы,14.58435412,94,94,7.543631441379311
Актобе,10.67597696,52,69,5.522057048275863
Атакент,5.3374643200000005,9,9,2.7607574068965524
Астана Карагандинское шоссе,5.043243503999999,24,24,2.6085742262068963
Подольск,0.357,3,3,0.18465517241379312
