Артикул продавца,Артикул WB,Название,Предмет,Бренд,Размер,"Итог, ₽","Итог, ₽ (предыдущий период)","Выкупы, ₽","Выкупы, ₽ (предыдущий период)","Выкупы, шт","Выкупы, шт (предыдущий период)","Возвраты, ₽","Возвраты, ₽ (предыдущий период)","Возвраты, шт","Возвраты, шт (предыдущий период)","Логистика, ₽","Логистика, ₽ (предыдущий период)","Штрафы, ₽","Штрафы, ₽ (предыдущий период)","Комиссия WB, ₽","Комиссия WB, ₽ (предыдущий период)","Эквайринг, ₽","Эквайринг, ₽ (предыдущий период)","Потери, подмены и товары с дефектами, ₽","Потери, подмены и товары с дефектами, ₽ (предыдущий период)","Доплаты, ₽","Доплаты, ₽ (предыдущий период)","Программа лояльности, ₽","Программа лояльности, ₽ (предыдущий период)",nm,cost,net_units,cogs,profit_after_cogs_before_storage_ads,profit_per_unit_after_cogs_before_storage_ads,wb_costs
dm7dm1,48905926,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,2485.4,0.0,12373.11,0,18,0.0,-1372.0,0,2,0.0,-5041.55,0,0,0.0,-3245.31,0.0,-228.85,0.0,0.0,0,0,0,0,48905926,291.75,0,0.0,0.0,,0.0
dm7dm3,48906308,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,-67.47,-21.54,676.0,5408.07,1,8,0.0,-780.0,0,1,-525.21,-3167.49,0,-20,-199.42,-1365.28,-18.84,-96.84,0.0,0.0,0,0,0,0,48906308,291.75,1,291.75,-359.22,-359.22,-743.47
dm7dm5,48906952,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,3922.99,0.0,4652.73,0,8,0.0,966.0,0,0,0.0,-1795.11,0,0,0.0,-875.48,0.0,-134.38,0.0,1109.23,0,0,0,0,48906952,291.75,0,0.0,0.0,,0.0
dm7dm6,48908708,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,344.3,1237.55,783.0,3915.11,1,5,0.0,0.0,0,0,-186.88,-1433.62,0,0,-230.98,-1154.93,-20.84,-89.01,0.0,0.0,0,0,0,0,48908708,291.75,1,291.75,52.55000000000001,52.55000000000001,-438.7
NAUSHNIK/DETY/MENTOL/,59758723,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,-,172.65,0.0,389.0,0.0,1,0,0.0,0.0,0,0,-121.11,0.0,0,0,-83.63,0.0,-11.61,0.0,0.0,0.0,0,0,0,0,59758723,,1,,,,-216.35000000000002
Неопознанный товар,99866376,Неопознанный товар,Коробки картонные,Неопознанный Товар,-,-11730.0,-2550.0,0.0,0.0,0,0,0.0,0.0,0,0,-11730.0,-2550.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,99866376,,0,,,,-11730.0
sBotW120_100680843,100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,-,1737181.4,1481677.03,2850171.69,2198485.48,567,313,-45390.05,-10500.0,9,1,-276639.35,-123773.03,-120,0,-715218.89,-557935.94,-75622.01,-24599.48,0.0,0.0,0,0,0,0,100680843,2517.3661764705885,558,1404690.3264705883,332491.0735294116,595.8621389415978,-1067600.25
sBotW100_100680844,100680844,Робот мойщик окон мощный,Роботы-стеклоочистители,SKL TECH,-,356954.76,1252650.06,596960.07,1990760.28,122,405,-4914.77,-4915.0,1,1,-68273.62,-176591.19,0,-40,-150970.98,-506388.51,-15845.94,-50175.52,0.0,0.0,0,0,0,0,100680844,2458.463643790847,121,297474.1008986925,59480.65910130751,491.5756950521282,-235090.54
hot /3х3/,102256288,Гирлянда штора на Новый Год 3х3 желтая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,-,0.0,195.23,0.0,463.0,0,1,0.0,0.0,0,0,0.0,-106.1,0,0,0.0,-150.47,0.0,-11.2,0.0,0.0,0,0,0,0,102256288,,0,,,,0.0
white /3х3/,102259020,Гирлянда штора 3х3 на Новый Год белая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,-,213.8,221.03,464.0,464.0,1,1,0.0,0.0,0,0,-88.84,-81.61,0,0,-150.8,-150.8,-10.56,-10.56,0.0,0.0,0,0,0,0,102259020,,1,,,,-250.20000000000002
multi  /3х3/,102264744,Гирлянда штора 3х3 разноцветная,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,-,0.0,221.13,0.0,918.0,0,2,0.0,0.0,0,0,0.0,-374.47,0,0,0.0,-298.34,0.0,-24.06,0.0,0.0,0,0,0,0,102264744,,0,,,,0.0
dm7dm9,103431353,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,6.31,4446.41,662.0,6771.68,1,13,0.0,0.0,0,0,-391.56,-3777.28,-50,0,-195.29,-484.47,-18.84,-209.86,0.0,2146.34,0,0,0,0,103431353,291.75,1,291.75,-285.44,-285.44,-655.69
dm7dm10,103431810,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,1255.6,4325.68,3429.97,10217.74,5,19,0.0,0.0,0,0,-1083.99,-7422.76,0,-40,-1011.83,-994.25,-78.55,-300.25,0.0,2865.2,0,0,0,0,103431810,291.75,5,1458.75,-203.1500000000001,-40.63000000000002,-2174.3700000000003
dm7dm12,103441912,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,-70.48,1481.35,710.51,-211.46,1,2,0.0,0.0,0,0,-557.69,-1124.64,0,0,-209.6,1213.98,-13.7,-29.99,0.0,1633.46,0,0,0,0,103441912,291.75,1,291.75,-362.23,-362.23,-780.9900000000001
dm7dm13,103442522,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,-310.95,2308.12,686.0,5491.68,1,9,-686.0,0.0,1,0,-310.39,-2558.18,0,-30,0.0,-1138.92,-0.56,-138.89,0.0,682.43,0,0,0,0,103442522,291.75,0,0.0,-310.95,,-310.95
dm7dm11,104590122,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,405.13,11975.53,5684.23,23569.19,7,31,0.0,0.0,0,0,-3455.88,-7413.82,0,0,-1676.84,-5581.08,-146.38,-544.6,0.0,1945.84,0,0,0,0,104590122,291.75,7,2042.25,-1637.12,-233.8742857142857,-5279.1
GAMEstick64,147602778,Игровая приставка консоль для детей и взрослых портативная,Игровые консоли,Игровая приставка,-,743.0,-156.91,1135.9,0.0,1,0,0.0,0.0,0,0,-153.95,-156.91,0,0,-221.5,0.0,-17.45,0.0,0.0,0.0,0,0,0,0,147602778,,1,,,,-392.9
Collagen_Enough_Moisture_Foundation_13,150925321,Тональный крем для лица коллаген №13,Тональные кремы,ENOUGH,-,63388.55,75266.74,112189.21,132580.62,112,140,0.0,0.0,0,0,-9493.61,-10836.71,0,0,-36461.44,-43088.07,-2845.61,-3389.1,0.0,0.0,0,0,0,0,150925321,216.45,112,24242.399999999998,39146.15000000001,349.5191964285715,-48800.66
Collagen_Enough_Moisture_Foundation_21,150925322,Увлажняющий тональный крем для лица тон 21,Тональные кремы,ENOUGH,-,66563.2,89489.96,115192.82,157643.67,115,166,0.0,-945.0,0,1,-8297.15,-12279.19,0,0,-37437.6,-50926.33,-2894.87,-4003.19,0.0,0.0,0,0,0,0,150925322,242.88,115,27931.2,38632.0,335.9304347826087,-48629.62
 ENOUGH COLLAGEN 3IN1 13,151132051,Отбеливающий тональный крем для лица 3в1 тон 13,Тональные кремы,ENOUGH,-,67059.68,86405.42,114833.74,150063.97,119,164,0.0,-910.0,0,1,-7547.13,-10622.32,0,-10,-37320.37,-48474.92,-2906.56,-3641.31,0.0,0.0,0,0,0,0,151132051,238.13,119,28337.47,38722.20999999999,325.39672268907555,-47774.06
 ENOUGH COLLAGEN 3IN1 21,151132052,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,-,29806.45,22580.65,51569.29,38571.95,54,43,0.0,0.0,0,0,-3715.86,-2507.03,0,0,-16759.74,-12535.68,-1287.24,-948.59,0.0,0.0,0,0,0,0,151132052,223.35,54,12060.9,17745.550000000003,328.62129629629635,-21762.840000000004
Petitfee Agave Cooling Hydrogel Eye Mask,151175877,Гидрогелевые патчи от отеков и мешков под глазами,Патчи,Petitfee,-,181286.46,325825.56,307744.92,548399.22,242,462,0.0,0.0,0,0,-18400.35,-30920.81,0,0,-100016.86,-178229.62,-8041.25,-13423.23,0.0,0.0,0,0,0,0,151175877,415.46,242,100541.31999999999,80745.14,333.65760330578513,-126458.45999999999
Petitfee Black Pearl & Gold hydrogel Eye Patch,151175880,Патчи для глаз Корея антивозрастные жемчуг и золото,Патчи,Petitfee,-,248607.59,136516.86,425154.71,232155.6,361,206,0.0,0.0,0,0,-26453.88,-13846.93,0,0,-138175.19,-75450.42,-11918.05,-6341.39,0.0,0.0,0,0,0,0,151175880,387.67,361,139948.87,108658.72,300.99368421052634,-176547.12
Etude Baking Powder Crunch Pore Scrub,151313163,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,-,1102249.84,2117466.31,1865948.24,3559587.12,1470,2959,0.0,0.0,0,0,-110728.72,-200615.51,0,0,-604714.44,-1156865.54,-50801.37,-84639.76,2546.13,0.0,0,0,0,0,151313163,361.03,1470,530714.1,571535.7400000001,388.79982312925176,-763698.3999999999
sBotW200,152115510,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,-,619281.82,1212152.43,1004105.26,1885935.65,186,363,-10800.0,-5103.0,2,1,-93988.44,-140975.09,-60,0,-253292.75,-479611.05,-26682.25,-48094.09,0.0,0.0,0,0,0,0,152115510,2694.073774509804,184,495709.57450980396,123572.24549019599,671.5882907075869,-374023.44
Baking Powder BB Deep Cleansing Foam 3в1 30,154159632,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,-,29878.16,71210.32,55416.08,133711.86,87,237,0.0,0.0,0,0,-5986.47,-15818.87,0,0,-18010.21,-43456.32,-1541.24,-3226.35,0.0,0.0,0,0,0,0,154159632,92.17,87,8018.79,21859.37,251.2571264367816,-25537.920000000002
Etude Baking Powder Crunch Pore Scrub треугольники 30,154160085,Корейский скраб для лица Baking Powder с содой,Скрабы,Etude house,-,89171.85,129033.17,161673.74,243030.17,109,175,0.0,0.0,0,0,-15654.27,-29657.57,0,0,-52543.95,-78984.79,-4303.67,-5354.64,0.0,0.0,0,0,0,0,154160085,389.99,109,42508.91,46662.94,428.1003669724771,-72501.89
Elizavecca Hell-Pore Control Hyaluronic Acid 97%,154163936,Сыворотка для лица увлажняющая с гиалуроновой кислотой,Сыворотки,Elizavecca,-,3540.23,292365.44,4032.41,496344.83,5,519,0.0,0.0,0,0,-301.05,-32076.69,0,0,-809.26,-160808.43,-124.46,-11836.59,742.59,742.32,0,0,0,0,154163936,378.77,5,1893.85,1646.38,329.276,-492.17999999999995
ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,165002270,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,-,9582.6,26247.31,58096.82,48025.3,102,91,-1698.0,-527.0,3,1,-26926.33,-5438.58,-130,-10,-18329.59,-15118.37,-1430.3,-1155.42,0.0,471.38,0,0,0,0,165002270,,99,,,,-46816.22
LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml],165008074,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,-,4806.4,17988.53,10512.47,33290.9,24,76,-438.0,0.0,1,0,-1771.8,-3736.03,0,0,-3274.2,-10819.51,-222.07,-746.83,0.0,0.0,0,0,0,0,165008074,,23,,,,-5268.07
LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml],165008162,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,-,0.0,9275.49,0.0,19196.63,0,58,0.0,0.0,0,0,0.0,-3246.75,0,0,0.0,-6238.61,0.0,-435.78,0.0,0.0,0,0,0,0,165008162,,0,,,,0.0
FARMSTAY ALOEVERA PERFECT SUN CREAM 70g,165009038,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Farm Stay,-,0.0,265.35,0.0,474.17,0,1,0.0,0.0,0,0,0.0,-46.59,0,0,0.0,-154.1,0.0,-8.13,0.0,0.0,0,0,0,0,165009038,,0,,,,0.0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,168956391,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,-,2079114.29,2849571.54,3546076.95,4833815.53,2790,4015,0.0,-2200.0,0,2,-229467.04,-301499.6,0,0,-1151981.76,-1569825.81,-86243.82,-111383.03,729.96,664.45,0,0,0,0,168956391,347.76,2790,970250.4,1108863.8900000001,397.4422544802868,-1466962.6600000001
FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,169076150,Антивозрастной крем для лица от морщин,Кремы,farmstay,-,689966.75,234897.83,1179030.77,397571.85,1098,386,0.0,0.0,0,0,-75695.02,-24075.37,0,0,-383184.8,-128682.4,-30184.2,-10697.01,0.0,780.76,0,0,0,0,169076150,313.84,1098,344596.31999999995,345370.43000000005,314.5450182149363,-489064.02
Etude House Baking Powder Pore Cleansing Foam 160 ml белая,169198316,Пенка для умывания от черных точек Baking Powder 160ml,Скрабы,Etude house,-,172534.78,287737.72,298332.42,495544.21,281,495,0.0,0.0,0,0,-20954.48,-35194.18,0,0,-96958.03,-161051.85,-7885.13,-11560.46,0.0,0.0,0,0,0,0,169198316,260.26,281,73133.06,99401.72,353.74277580071174,-125797.64
Enough Rich Gold Double Wea Radiance Foundation 21 тон,170198109,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,-,89375.34,48269.39,151508.62,84322.95,152,89,0.0,0.0,0,0,-10253.17,-6595.13,0,0,-48744.27,-27404.86,-3869.6,-2053.57,733.76,0.0,0,0,0,0,170198109,269.65,152,40986.799999999996,48388.54,318.34565789473686,-62133.27999999999
Enough Rich Gold Double Wea Radiance Foundation 13 тон,170198180,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,-,102959.91,95441.72,180684.48,165760.35,191,174,-946.0,0.0,1,0,-13762.29,-12466.32,0,0,-58414.92,-53871.98,-4601.36,-3980.33,0.0,0.0,0,0,0,0,170198180,269.65,190,51233.49999999999,51726.41000000001,272.2442631578948,-76778.56999999999
Enough 8 Peptide Full Cover Perfect Foundation 21 тон,170198337,Корейский тональный крем с пептидами 21 тон,Тональные кремы,ENOUGH,-,84908.79,72215.69,145685.32,120572.69,125,109,-1166.0,0.0,1,0,-8986.69,-6329.3,0,0,-46968.76,-39186.09,-3655.08,-2841.61,0.0,0.0,0,0,0,0,170198337,304.77,124,37791.479999999996,47117.31,379.97830645161287,-59610.530000000006
Enough 8 Peptide Full Cover Perfect Foundation 13 тон,170198738,Корейский тональный крем с пептидами 13 тон,Тональные кремы,ENOUGH,-,101733.99,95711.69,171839.02,162412.75,141,141,0.0,0.0,0,0,-9847.68,-9873.11,-10,0,-55847.66,-52783.49,-4399.69,-4044.46,0.0,0.0,0,0,0,0,170198738,335.9,141,47361.899999999994,54372.09000000001,385.6176595744682,-70105.03
Enough Collagen Foundation Cover Up Ultra X10 13 тон,170198835,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,-,234310.84,262213.12,405760.67,454149.72,416,490,0.0,0.0,0,0,-28906.85,-33067.04,0,0,-131872.1,-147598.52,-10670.88,-11271.04,0.0,0.0,0,0,0,0,170198835,315.45,416,131227.19999999998,103083.64000000001,247.79721153846157,-171449.83000000002
Enough Collagen Foundation Cover Up Ultra X10 21 тон,170198876,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,-,81037.27,95654.28,138506.06,164687.47,142,178,0.0,0.0,0,0,-9046.13,-11357.2,0,0,-45014.37,-53522.69,-3408.29,-4153.3,0.0,0.0,0,0,0,0,170198876,315.45,142,44793.9,36243.37,255.235,-57468.79
Пистолет перкуссионный V1,174668134,Перкуссионный массажер для тела от целлюлита,Массажеры электрические,Перкуссионный массажер пистолет,-,3244.69,13591.36,4773.19,34527.3,7,44,0.0,-3300.0,0,4,-1791.06,-11853.45,-80,-20,-470.78,-6643.1,-188.47,-890.75,1001.81,1771.36,0,0,0,0,174668134,,7,,,,-1528.5
sBotW300,176944957,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,-,574209.46,403857.64,968734.88,605700.19,174,87,-10920.0,0.0,2,0,-113808.96,-42108.68,0,0,-244242.67,-154453.52,-25553.79,-5280.35,0.0,0.0,0,0,0,0,176944957,3323.1425070028017,172,571580.5112044819,2628.948795518023,15.284586020453622,-383605.42
