Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,2128,1410864,1207,908,0.0,0.0
551387355,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml],Крем-Бустер для лица с микроиглами и ретинолом,Кремы,Celimax,592,1098161,19,12,0.0,0.0
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,701,861950,1624,1249,0.0,0.0
198147185,Manyo_Complex_Ampoule,Восстанавливающая сыворотка для лица с бифидобактериями,Сыворотки,manyo,226,811582,187,143,0.0,0.0
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,408,781058,547,371,0.0,0.0
151313163,Etude Baking Powder Crunch Pore Scrub,Скраб для лица Baking Powder с содой Корейский,Скрабы,Etude house,463,588936,707,551,0.0,0.0
208208674,Рация_UV-82 (1 шт),Электронная рация baofeng UV-82,Радиостанции,Baofeng,180,572336,2,2,0.0,0.0
198156472,Manyo_Galac_Vita_Serum,Отбеливающая сыворотка для лица с витамином С,Сыворотки,manyo,217,514138,230,183,0.0,0.0
176944957,sBotW300,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,104,509796,110,76,0.0,0.0
868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,169,490200,111,79,0.0,0.0
551447345,CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml],Отбеливающий крем для выравнивания тона и микрорельефа,Кремы,Celimax,195,480584,8,5,0.0,0.0
151132052, ENOUGH COLLAGEN 3IN1 21,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,503,464304,42,32,0.0,0.0
150925321,Collagen_Enough_Moisture_Foundation_13,Тональный крем для лица коллаген №13,Тональные кремы,ENOUGH,472,457510,102,70,0.0,0.0
207465786,HEIMISH - All Clean Balm Mandarin [120ml],Гидрофильное масло бальзам для лица очищающее,Гидрофильные масла,Heimish,278,457196,42,32,0.0,0.0
238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,540,454198,421,332,0.0,0.0
