Артикул WB,Артикул продавца,Название,Предмет,Бренд,Регион,"Итого заказов, шт","Итого заказов по товарам локально, шт","Итого заказов по товарам не локально, шт",Локальность_региона_%,"Остатки склад ВБ, шт",Целевой_остаток_30дней_с_буфером,Рекомендовано_поставить_шт,Первая_волна_14дней_шт,Прибыль_на_шт_до_рекламы,Прибыль_если_рекомендованный_объем_продастся,Потенциал_прибыли_от_возврата_спроса,Потенциал_экономии_ИРП_мес,Потенциал_прибыли_SKU_по_упущенным_выкупам,Упущенные_выкупы_SKU_очищено,Упущенные_выкупы_руб_SKU_очищено,Переплата_ИРП_SKU_мес,Время доставки
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Южный и Северо-Кавказский,1289,470,819,36.46237393328161,3,1497.0,1494.0,698.0,379.4458937772473,566892.1653032075,0.0,9107.122771177685,0.0,0.0,0.0,32291.9225,1д 23ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Центральный,1423,1348,75,94.72944483485594,137,1653.0,1516.0,708.0,379.4458937772473,575239.9749663069,0.0,833.9856017561984,0.0,0.0,0.0,32291.9225,1д 3ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Дальневосточный и Сибирский,616,16,600,2.5974025974025974,0,716.0,716.0,335.0,379.4458937772473,271683.2599445091,0.0,6671.8848140495875,0.0,0.0,0.0,32291.9225,4д 14ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Приволжский,620,158,462,25.483870967741932,1,720.0,719.0,336.0,379.4458937772473,272821.5976258408,0.0,5137.351306818182,0.0,0.0,0.0,32291.9225,1д 19ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Северо-Западный,429,8,421,1.8648018648018647,0,499.0,499.0,233.0,379.4458937772473,189343.5009948464,0.0,4681.439177858127,0.0,0.0,0.0,32291.9225,2д 0ч
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,Дальневосточный и Сибирский,356,12,344,3.3707865168539324,0,414.0,414.0,194.0,420.85823596836104,174235.3096909015,0.0,6881.794646640316,0.0,0.0,0.0,10122.6398,4д 10ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Уральский,303,40,263,13.2013201320132,0,352.0,352.0,165.0,379.4458937772473,133564.95460959105,0.0,2924.509510158402,0.0,0.0,0.0,32291.9225,2д 9ч
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,Дальневосточный и Сибирский,255,5,250,1.9607843137254901,0,297.0,297.0,139.0,394.5441277777778,117179.60595000001,0.0,5026.653784013607,0.0,0.0,0.0,11822.689700000004,4д 2ч
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,Беларусь,176,1,175,0.5681818181818182,0,205.0,205.0,96.0,379.4458937772473,77786.4082243357,0.0,1945.9664040977962,0.0,0.0,0.0,32291.9225,1д 18ч
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,Дальневосточный и Сибирский,176,2,174,1.1363636363636365,0,205.0,205.0,96.0,195.04518119787718,39984.262145564826,11505.245328030185,1606.639276386688,79229.30305438969,406.21,269315.31,5826.375766666667,3д 9ч
