nm,Артикул продавца,Название_sku,Предмет_sku,Бренд_sku,recommended_supply_qty,first_wave_14d_qty,regions,nonlocal_orders,current_wb_stock_regions,allocated_lost_profit,profit_if_recommended_qty_sells,allocated_irp_saving_month,profit_per_unit,missed_profit_sku,missed_buyouts_sku,missed_buyouts_amount_sku,irp_saving_sku_month
868516027,Celimax Dual Barrier Creamy Toner,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,5608.0,2622.0,"Южный и Северо-Кавказский, Центральный, Дальневосточный и Сибирский, Приволжский, Северо-Западный",2900,141,0.0,2127932.572302803,32247.443267906336,379.4458937772473,0.0,0.0,0.0,32291.9225
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,1456.0,683.0,"Дальневосточный и Сибирский, Центральный, Южный и Северо-Кавказский, Приволжский, Северо-Западный",490,176,0.0,612769.5915699337,9802.556328063241,420.85823596836104,0.0,0.0,0.0,10122.6398
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,993.0,466.0,"Дальневосточный и Сибирский, Приволжский, Южный и Северо-Кавказский, Северо-Западный, Беларусь",541,171,0.0,391782.31888333336,10877.678788605446,394.5441277777778,0.0,0.0,0.0,11822.689700000004
238359400,LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,949.0,447.0,"Приволжский, Центральный, Южный и Северо-Кавказский, Дальневосточный и Сибирский, Северо-Западный",445,0,0.0,0.0,1623.3548517715112,,,358.58,122490.12,1681.7226666666668
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,609.0,287.0,"Центральный, Дальневосточный и Сибирский, Южный и Северо-Кавказский, Приволжский, Северо-Западный",219,0,41630.345399914186,204827.58340175956,4124.422185106383,336.3342913000978,45146.15192121212,134.23,186692.52,4425.749833333334
207472742,FARMSTAY - Black Garlic Nourishing Shampoo [530ml],Корейский шампунь против выпадения волос с черным чесноком,Шампуни,Farm Stay,519.0,244.0,"Центральный, Дальневосточный и Сибирский, Северо-Западный, Беларусь",185,161,0.0,178432.60886811174,7520.14035436137,343.80078779982995,0.0,0.0,0.0,8698.973166666667
207482718,JIGOTT - Snail Lifting Cream [70ml],Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,477.0,225.0,"Дальневосточный и Сибирский, Южный и Северо-Кавказский, Приволжский, Северо-Западный, Беларусь",267,133,0.0,82577.60596011601,3194.5869540350873,173.11867077592456,0.0,0.0,0.0,3409.9523666666664
333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,444.0,210.0,"Южный и Северо-Кавказский, Центральный, Дальневосточный и Сибирский, Северо-Западный, Беларусь",271,0,0.0,0.0,935.3288213523132,,,0.0,0.0,969.8428
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,381.0,180.0,"Дальневосточный и Сибирский, Центральный, Южный и Северо-Кавказский, Приволжский, Северо-Западный",183,0,0.0,0.0,1417.0227183246075,,,231.92,99464.83,1478.9690666666668
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,341.0,163.0,"Приволжский, Дальневосточный и Сибирский, Южный и Северо-Кавказский, Центральный, Северо-Западный",186,0,31964.82535960105,44662.635207349085,2062.176722051282,130.97546981627298,32953.42820577428,251.6,141184.38,2161.9594666666667
